      -251.5066,	       6307.1582,	      -1464.3962 ; 		 //plane 0 point @1 
      1896.6590,	       6339.1802,	      -1470.8709 ; 		 //plane 0 point @2 
      2137.2995,	      -4349.4305,	      -1490.3068 ; 		 //plane 0 point @3 
     -3391.8061,	      -4465.0525,	      -1473.6997 ; 		 //plane 0 point @4 
     -3013.2565,	      -2374.0892,	      -1471.1915 ; 		 //plane 0 point @5 
      -251.5066,	       6307.1582,	      -1464.3962 ; 		 //plane 0 point @6 
      1897.2038,	       6314.9836,	       6242.4198 ; 		 //plane 1  NOT REORDER point @7 
     -2547.7650,	       6248.9193,	       6193.5597 ; 		 //plane 1  NOT REORDER point @8 
      2004.6365,	       1543.1086,	       6232.1485 ; 		 //plane 1  NOT REORDER point @9 
     -2975.5556,	       1436.7402,	       6177.3275 ; 		 //plane 1  NOT REORDER point @10 
     -2820.5825,	      -4453.1074,	       6164.8950 ; 		 //plane 1  NOT REORDER point @11 
      2137.2995,	      -4349.4305,	       6219.4651 ; 		 //plane 1  NOT REORDER point @12 
     -4685.5234,	      -4492.1062,	       6144.3681 ; 		 //plane 1  NOT REORDER point @13 
     -4486.5308,	      -2571.2346,	       6151.1568 ; 		 //plane 1  NOT REORDER point @14 
      2004.5897,	       1545.1844,	       7603.3884 ; 		 //plane 2 point @15 
     -2969.9558,	       1439.0339,	       7612.8505 ; 		 //plane 2 point @16 
     -2814.9010,	      -4452.9886,	       7606.5995 ; 		 //plane 2 point @17 
      2137.2995,	      -4349.4305,	       7597.1778 ; 		 //plane 2 point @18 
      2004.5897,	       1545.1844,	       7603.3884 ; 		 //plane 2 point @19 
      -251.5066,	       6307.1582,	      -1464.3962 ; 		 //plane 3 point @20 
      1896.6590,	       6339.1802,	      -1470.8709 ; 		 //plane 3 point @21 
      1897.2038,	       6314.9836,	       6242.4198 ; 		 //plane 3 point @22 
     -2547.7650,	       6248.9193,	       6193.5597 ; 		 //plane 3 point @23 
     -2759.5540,	       6248.3121,	       5381.6252 ; 		 //plane 3 point @24 
     -2764.7466,	       6250.8123,	       4560.2586 ; 		 //plane 3 point @25 
     -1939.8830,	       6273.4866,	       1250.5003 ; 		 //plane 3 point @26 
      -251.5066,	       6307.1582,	      -1464.3962 ; 		 //plane 3 point @27 
      2004.6365,	       1543.1086,	       6232.1485 ; 		 //plane 4 point @28 
     -2975.5556,	       1436.7402,	       6177.3275 ; 		 //plane 4 point @29 
     -2969.9558,	       1439.0339,	       7612.8505 ; 		 //plane 4 point @30 
      2004.5897,	       1545.1844,	       7603.3884 ; 		 //plane 4 point @31 
      2004.6365,	       1543.1086,	       6232.1485 ; 		 //plane 4 point @32 
      1896.6590,	       6339.1802,	      -1470.8709 ; 		 //plane 5  NOT REORDER point @33 
      2137.2995,	      -4349.4305,	      -1490.3068 ; 		 //plane 5  NOT REORDER point @34 
      1897.2038,	       6314.9836,	       6242.4198 ; 		 //plane 5  NOT REORDER point @35 
      2004.6365,	       1543.1086,	       6232.1485 ; 		 //plane 5  NOT REORDER point @36 
      2004.5897,	       1545.1844,	       7603.3884 ; 		 //plane 5  NOT REORDER point @37 
      2137.2995,	      -4349.4305,	       7597.1778 ; 		 //plane 5  NOT REORDER point @38 
      2137.2995,	      -4349.4305,	       6219.4651 ; 		 //plane 5  NOT REORDER point @39 
     -3391.8061,	      -4465.0525,	      -1473.6997 ; 		 //plane 6  NOT REORDER point @40 
      2137.2995,	      -4349.4305,	      -1490.3068 ; 		 //plane 6  NOT REORDER point @41 
     -3919.4838,	      -4476.0871,	       -666.4154 ; 		 //plane 6  NOT REORDER point @42 
     -4929.2724,	      -4497.2033,	       3280.4318 ; 		 //plane 6  NOT REORDER point @43 
     -4883.6798,	      -4496.2499,	       5391.0959 ; 		 //plane 6  NOT REORDER point @44 
     -4685.5234,	      -4492.1062,	       6144.3681 ; 		 //plane 6  NOT REORDER point @45 
     -2820.5825,	      -4453.1074,	       6164.8950 ; 		 //plane 6  NOT REORDER point @46 
     -2814.9010,	      -4452.9886,	       7606.5995 ; 		 //plane 6  NOT REORDER point @47 
      2137.2995,	      -4349.4305,	       7597.1778 ; 		 //plane 6  NOT REORDER point @48 
      2137.2995,	      -4349.4305,	       6219.4651 ; 		 //plane 6  NOT REORDER point @49 
      -251.5066,	       6307.1582,	      -1464.3962 ; 		 //plane 7 point @50 
     -3013.2565,	      -2374.0892,	      -1471.1915 ; 		 //plane 7 point @51 
     -3777.2628,	      -2640.9217,	       -372.3985 ; 		 //plane 7 point @52 
     -1939.8830,	       6273.4866,	       1250.5003 ; 		 //plane 7 point @53 
      -251.5066,	       6307.1582,	      -1464.3962 ; 		 //plane 7 point @54 
     -1939.8830,	       6273.4866,	       1250.5003 ; 		 //plane 8 point @55 
     -3745.8327,	      -2488.4324,	       -344.6373 ; 		 //plane 8 point @56 
     -4768.5923,	      -2731.3367,	       3541.2013 ; 		 //plane 8 point @57 
     -2764.7466,	       6250.8123,	       4560.2586 ; 		 //plane 8 point @58 
     -1939.8830,	       6273.4866,	       1250.5003 ; 		 //plane 8 point @59 
     -2764.7466,	       6250.8123,	       4560.2586 ; 		 //plane 9 point @60 
