   -251.5066000000,	    6307.1582000000,	   -1464.3962000000 ; 		 //plane 0 point @1 
   1896.6590000000,	    6339.1802000000,	   -1470.8709000000 ; 		 //plane 0 point @2 
   2137.2995000000,	   -4349.4305000000,	   -1490.3068000000 ; 		 //plane 0 point @3 
  -3391.8061000000,	   -4465.0525000000,	   -1473.6997000000 ; 		 //plane 0 point @4 
  -3013.2565000000,	   -2374.0892000000,	   -1471.1915000000 ; 		 //plane 0 point @5 
   -251.5066000000,	    6307.1582000000,	   -1464.3962000000 ; 		 //plane 0 point @6 
  -2547.7650000000,	    6248.9193000000,	    6193.5597000000 ; 		 //plane 1 point @7 
   1897.2038000000,	    6314.9836000000,	    6242.4198000000 ; 		 //plane 1 point @8 
   2004.6365000000,	    1543.1086000000,	    6232.1485000000 ; 		 //plane 1 point @9 
  -2975.5556000000,	    1436.7402000000,	    6177.3275000000 ; 		 //plane 1 point @10 
  -2820.5825000000,	   -4453.1074000000,	    6164.8950000000 ; 		 //plane 1 point @11 
  -4685.5234000000,	   -4492.1062000000,	    6144.3681000000 ; 		 //plane 1 point @13 
  -4486.5308000000,	   -2571.2346000000,	    6151.1568000000 ; 		 //plane 1 point @14 
   2004.5897000000,	    1545.1844000000,	    7603.3884000000 ; 		 //plane 2 point @15 
  -2969.9558000000,	    1439.0339000000,	    7612.8505000000 ; 		 //plane 2 point @16 
  -2814.9010000000,	   -4452.9886000000,	    7606.5995000000 ; 		 //plane 2 point @17 
   2137.2995000000,	   -4349.4305000000,	    7597.1778000000 ; 		 //plane 2 point @18 
   2004.5897000000,	    1545.1844000000,	    7603.3884000000 ; 		 //plane 2 point @19 
   -251.5066000000,	    6307.1582000000,	   -1464.3962000000 ; 		 //plane 3 point @20 
   1896.6590000000,	    6339.1802000000,	   -1470.8709000000 ; 		 //plane 3 point @21 
   1897.2038000000,	    6314.9836000000,	    6242.4198000000 ; 		 //plane 3 point @22 
  -2547.7650000000,	    6248.9193000000,	    6193.5597000000 ; 		 //plane 3 point @23 
  -2759.5540000000,	    6248.3121000000,	    5381.6252000000 ; 		 //plane 3 point @24 
  -2764.7466000000,	    6250.8123000000,	    4560.2586000000 ; 		 //plane 3 point @25 
  -1939.8830000000,	    6273.4866000000,	    1250.5003000000 ; 		 //plane 3 point @26 
   -251.5066000000,	    6307.1582000000,	   -1464.3962000000 ; 		 //plane 3 point @27 
   2004.6365000000,	    1543.1086000000,	    6232.1485000000 ; 		 //plane 4 point @28 
  -2975.5556000000,	    1436.7402000000,	    6177.3275000000 ; 		 //plane 4 point @29 
  -2969.9558000000,	    1439.0339000000,	    7612.8505000000 ; 		 //plane 4 point @30 
   2004.5897000000,	    1545.1844000000,	    7603.3884000000 ; 		 //plane 4 point @31 
   2004.6365000000,	    1543.1086000000,	    6232.1485000000 ; 		 //plane 4 point @32 
   2137.2995000000,	   -4349.4305000000,	   -1490.3068000000 ; 		 //plane 5 point @33 
   1896.6590000000,	    6339.1802000000,	   -1470.8709000000 ; 		 //plane 5 point @34 
   1897.2038000000,	    6314.9836000000,	    6242.4198000000 ; 		 //plane 5 point @35 
   2004.6365000000,	    1543.1086000000,	    6232.1485000000 ; 		 //plane 5 point @36 
   2004.5897000000,	    1545.1844000000,	    7603.3884000000 ; 		 //plane 5 point @37 
   2137.2995000000,	   -4349.4305000000,	    7597.1778000000 ; 		 //plane 5 point @38 
   2137.2995000000,	   -4349.4305000000,	   -1490.3068000000 ; 		 //plane 6 point @40 
  -3391.8061000000,	   -4465.0525000000,	   -1473.6997000000 ; 		 //plane 6 point @41 
  -3919.4838000000,	   -4476.0871000000,	    -666.4154000000 ; 		 //plane 6 point @42 
  -4929.2724000000,	   -4497.2033000000,	    3280.4318000000 ; 		 //plane 6 point @43 
  -4883.6798000000,	   -4496.2499000000,	    5391.0959000000 ; 		 //plane 6 point @44 
  -4685.5234000000,	   -4492.1062000000,	    6144.3681000000 ; 		 //plane 6 point @45 
  -2820.5825000000,	   -4453.1074000000,	    6164.8950000000 ; 		 //plane 6 point @46 
  -2814.9010000000,	   -4452.9886000000,	    7606.5995000000 ; 		 //plane 6 point @47 
   2137.2995000000,	   -4349.4305000000,	    7597.1778000000 ; 		 //plane 6 point @48 
   -251.5066000000,	    6307.1582000000,	   -1464.3962000000 ; 		 //plane 7 point @50 
  -3013.2565000000,	   -2374.0892000000,	   -1471.1915000000 ; 		 //plane 7 point @51 
  -3749.9273750000,	   -2561.0197000000,	    -383.7047750000 ; 		 //plane 7 point @52 
  -1939.8830000000,	    6273.4866000000,	    1250.5003000000 ; 		 //plane 7 point @53 
   -251.5066000000,	    6307.1582000000,	   -1464.3962000000 ; 		 //plane 7 point @54 
  -1939.8830000000,	    6273.4866000000,	    1250.5003000000 ; 		 //plane 8 point @55 
  -3749.9273750000,	   -2561.0197000000,	    -383.7047750000 ; 		 //plane 8 point @56 
  -4770.1548250000,	   -2736.8828750000,	    3543.1745750000 ; 		 //plane 8 point @57 
  -2764.7466000000,	    6250.8123000000,	    4560.2586000000 ; 		 //plane 8 point @58 
  -1939.8830000000,	    6273.4866000000,	    1250.5003000000 ; 		 //plane 8 point @59 
  -2764.7466000000,	    6250.8123000000,	    4560.2586000000 ; 		 //plane 9 point @60 
  -4770.1548250000,	   -2736.8828750000,	    3543.1745750000 ; 		 //plane 9 point @61 
  -4720.0649500000,	   -2571.4193500000,	    5258.5830500000 ; 		 //plane 9 point @62 
  -2759.5540000000,	    6248.3121000000,	    5381.6252000000 ; 		 //plane 9 point @63 
  -2764.7466000000,	    6250.8123000000,	    4560.2586000000 ; 		 //plane 9 point @64 
  -2759.5540000000,	    6248.3121000000,	    5381.6252000000 ; 		 //plane 10 point @65 
  -4720.0649500000,	   -2571.4193500000,	    5258.5830500000 ; 		 //plane 10 point @66 
  -4486.5308000000,	   -2571.2346000000,	    6151.1568000000 ; 		 //plane 10 point @67 
  -2547.7650000000,	    6248.9193000000,	    6193.5597000000 ; 		 //plane 10 point @68 
  -2759.5540000000,	    6248.3121000000,	    5381.6252000000 ; 		 //plane 10 point @69 
  -3013.2565000000,	   -2374.0892000000,	   -1471.1915000000 ; 		 //plane 11 point @70 
  -3391.8061000000,	   -4465.0525000000,	   -1473.6997000000 ; 		 //plane 11 point @71 
  -3919.4838000000,	   -4476.0871000000,	    -666.4154000000 ; 		 //plane 11 point @72 
  -3749.9273750000,	   -2561.0197000000,	    -383.7047750000 ; 		 //plane 11 point @73 
  -3013.2565000000,	   -2374.0892000000,	   -1471.1915000000 ; 		 //plane 11 point @74 
  -3919.4838000000,	   -4476.0871000000,	    -666.4154000000 ; 		 //plane 12 point @75 
  -3749.9273750000,	   -2561.0197000000,	    -383.7047750000 ; 		 //plane 12 point @76 
  -4770.1548250000,	   -2736.8828750000,	    3543.1745750000 ; 		 //plane 12 point @77 
  -4929.2724000000,	   -4497.2033000000,	    3280.4318000000 ; 		 //plane 12 point @78 
  -3919.4838000000,	   -4476.0871000000,	    -666.4154000000 ; 		 //plane 12 point @79 
  -4929.2724000000,	   -4497.2033000000,	    3280.4318000000 ; 		 //plane 13 point @80 
  -4770.1548250000,	   -2736.8828750000,	    3543.1745750000 ; 		 //plane 13 point @81 
  -4720.0649500000,	   -2571.4193500000,	    5258.5830500000 ; 		 //plane 13 point @82 
