   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 58 ,   89 51 46,          0,      0.000,      0.000,            0,            0,          0
2               ,    0 51 12 ,   89 53 46,      6.305,      0.000,      0.000,        0.094,        6.305,      0.011
3               ,  292 34 00 ,  142 54 43,      1.844,      0.000,      0.000,       -1.027,        0.427,     -1.471
4               ,  291 05 51 ,    8 10 34,      7.688,      0.000,      0.000,       -1.020,        0.394,      7.610
5               ,   14 08 00 ,  101 00 21,      6.654,      0.000,      0.000,        1.595,        6.334,     -1.270
6               ,   14 08 00 ,   93 05 41,      6.540,      0.000,      0.000,        1.595,        6.333,     -0.353
7               ,   14 07 58 ,   89 40 18,      6.530,      0.000,      0.000,        1.595,        6.333,      0.037
8               ,   14 08 00 ,   84 19 46,      6.561,      0.000,      0.000,        1.594,        6.331,      0.648
9               ,   14 07 59 ,   77 33 25,      6.684,      0.000,      0.000,        1.594,        6.329,      1.440
10              ,   14 07 59 ,   72 17 22,      6.852,      0.000,      0.000,        1.594,        6.330,      2.084
11              ,   14 08 02 ,   65 25 59,      7.169,      0.000,      0.000,        1.592,        6.323,      2.981
12              ,   14 08 03 ,   61 21 26,      7.423,      0.000,      0.000,        1.591,        6.317,      3.558
13              ,   14 08 07 ,   54 45 57,      7.969,      0.000,      0.000,        1.590,        6.312,      4.597
14              ,   14 08 05 ,   52 11 17,      8.237,      0.000,      0.000,        1.589,        6.310,      5.050
15              ,   14 08 01 ,   47 41 50,      8.813,      0.000,      0.000,        1.592,        6.321,      5.931
16              ,    6 17 10 ,   46 25 15,      8.769,      0.000,      0.000,        0.696,        6.315,      6.045
17              ,    6 17 03 ,   51 27 07,      8.095,      0.000,      0.000,        0.693,        6.293,      5.044
18              ,    6 17 05 ,   55 19 24,      7.690,      0.000,      0.000,        0.692,        6.286,      4.375
19              ,    6 17 04 ,   61 42 40,      7.195,      0.000,      0.000,        0.694,        6.297,      3.410
20              ,    6 17 04 ,   68 06 23,      6.844,      0.000,      0.000,        0.695,        6.313,      2.552
21              ,    6 17 04 ,   72 15 44,      6.675,      0.000,      0.000,        0.696,        6.319,      2.034
22              ,    6 17 05 ,   77 51 49,      6.499,      0.000,      0.000,        0.696,        6.316,      1.366
23              ,    6 17 07 ,   86 11 05,      6.370,      0.000,      0.000,        0.696,        6.317,      0.424
24              ,    6 17 06 ,   91 03 15,      6.356,      0.000,      0.000,        0.696,        6.316,     -0.117
25              ,    6 49 01 ,  100 38 11,      6.473,      0.000,      0.000,        0.755,        6.317,     -1.195
26              ,    0 12 10 ,  100 32 50,      6.414,      0.000,      0.000,        0.022,        6.306,     -1.174
27              ,    0 12 11 ,   94 53 59,      6.328,      0.000,      0.000,        0.022,        6.305,     -0.541
28              ,    0 12 10 ,   90 24 07,      6.304,      0.000,      0.000,        0.022,        6.304,     -0.044
29              ,    0 12 10 ,   85 42 19,      6.323,      0.000,      0.000,        0.022,        6.305,      0.473
30              ,    0 12 17 ,   77 32 00,      6.461,      0.000,      0.000,        0.023,        6.308,      1.395
31              ,    0 12 22 ,   72 02 21,      6.629,      0.000,      0.000,        0.023,        6.306,      2.044
32              ,    0 12 23 ,   64 39 15,      6.973,      0.000,      0.000,        0.023,        6.302,      2.985
33              ,    0 12 23 ,   60 18 46,      7.248,      0.000,      0.000,        0.023,        6.297,      3.590
34              ,    0 12 28 ,   55 10 14,      7.665,      0.000,      0.000,        0.023,        6.291,      4.377
