   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 59 ,   89 57 07,          0,      0.000,      0.000,            0,            0,          0
2               ,  359 57 50 ,   89 59 02,      7.586,      0.000,      0.000,       -0.005,        7.586,      0.002
3               ,   17 09 43 ,  138 44 35,      1.936,      0.000,      0.000,        0.377,        1.220,     -1.456
4               ,   15 50 56 ,    9 54 48,      7.728,      0.000,      0.000,        0.363,        1.280,      7.613
5               ,   25 35 15 ,   99 24 57,      8.024,      0.000,      0.000,        3.419,        7.139,     -1.313
6               ,   25 35 15 ,   95 17 01,      7.945,      0.000,      0.000,        3.417,        7.135,     -0.732
7               ,   25 09 25 ,   87 24 44,      7.892,      0.000,      0.000,        3.351,        7.136,      0.356
8               ,   25 09 31 ,   79 02 27,      8.033,      0.000,      0.000,        3.353,        7.138,      1.527
9               ,   25 09 22 ,   70 54 49,      8.349,      0.000,      0.000,        3.354,        7.142,      2.730
10              ,   24 26 49 ,   66 45 13,      8.538,      0.000,      0.000,        3.247,        7.141,      3.370
11              ,   24 26 58 ,   60 01 26,      9.058,      0.000,      0.000,        3.248,        7.143,      4.526
12              ,   24 26 57 ,   53 37 04,      9.742,      0.000,      0.000,        3.246,        7.140,      5.779
13              ,   24 26 57 ,   49 10 18,     10.368,      0.000,      0.000,        3.247,        7.141,      6.778
14              ,   24 26 58 ,   46 34 57,     10.803,      0.000,      0.000,        3.248,        7.143,      7.425
15              ,   11 36 14 ,   44 23 41,     10.430,      0.000,      0.000,        1.468,        7.147,      7.452
16              ,   11 55 22 ,   48 18 01,      9.785,      0.000,      0.000,        1.509,        7.148,      6.509
17              ,   11 55 22 ,   51 53 29,      9.287,      0.000,      0.000,        1.510,        7.150,      5.732
18              ,   11 55 22 ,   56 06 29,      8.801,      0.000,      0.000,        1.509,        7.148,      4.907
19              ,   11 55 21 ,   62 41 17,      8.220,      0.000,      0.000,        1.509,        7.146,      3.772
20              ,   11 55 16 ,   69 04 39,      7.818,      0.000,      0.000,        1.509,        7.145,      2.792
21              ,   11 55 17 ,   75 34 08,      7.538,      0.000,      0.000,        1.508,        7.143,      1.879
22              ,   12 12 00 ,   82 20 14,      7.374,      0.000,      0.000,        1.544,        7.143,      0.983
23              ,   11 33 52 ,   88 32 38,      7.293,      0.000,      0.000,        1.461,        7.142,      0.185
24              ,    9 34 59 ,   92 32 06,      7.247,      0.000,      0.000,        1.205,        7.139,     -0.321
25              ,    9 34 59 ,   85 52 02,      7.264,      0.000,      0.000,        1.206,        7.144,      0.523
26              ,    9 34 58 ,   78 16 27,      7.400,      0.000,      0.000,        1.206,        7.144,      1.504
27              ,    9 34 59 ,   73 09 41,      7.571,      0.000,      0.000,        1.206,        7.145,      2.193
28              ,    9 35 06 ,   67 28 47,      7.846,      0.000,      0.000,        1.207,        7.146,      3.005
29              ,    9 35 06 ,   62 16 23,      8.186,      0.000,      0.000,        1.207,        7.145,      3.809
30              ,    9 35 06 ,   57 05 34,      8.632,      0.000,      0.000,        1.207,        7.146,      4.689
31              ,    9 35 05 ,   50 57 04,      9.333,      0.000,      0.000,        1.207,        7.147,      5.879
32              ,    9 35 04 ,   45 53 44,     10.088,      0.000,      0.000,        1.206,        7.143,      7.021
33              ,  357 39 41 ,   43 57 27,     10.320,      0.000,      0.000,       -0.292,        7.157,      7.429
34              ,  357 39 39 ,   48 37 45,      9.539,      0.000,      0.000,       -0.292,        7.153,      6.305
35              ,  357 39 41 ,   55 28 19,      8.683,      0.000,      0.000,       -0.292,        7.147,      4.921
36              ,  357 39 38 ,   65 03 14,      7.885,      0.000,      0.000,       -0.292,        7.144,      3.326
37              ,  357 39 39 ,   75 20 35,      7.392,      0.000,      0.000,       -0.292,        7.145,      1.870
38              ,  357 39 40 ,   83 08 32,      7.205,      0.000,      0.000,       -0.292,        7.148,      0.860
39              ,  357 39 40 ,   91 34 04,      7.156,      0.000,      0.000,       -0.292,        7.147,     -0.196
40              ,  357 39 41 ,   98 59 11,      7.245,      0.000,      0.000,       -0.292,        7.150,     -1.132
41              ,  354 10 36 ,   98 58 53,      7.269,      0.000,      0.000,       -0.729,        7.143,     -1.135
42              ,  354 10 38 ,   90 52 09,      7.181,      0.000,      0.000,       -0.728,        7.143,     -0.109
43              ,  354 10 38 ,   81 51 18,      7.255,      0.000,      0.000,       -0.729,        7.144,      1.028
44              ,  354 10 47 ,   72 29 48,      7.529,      0.000,      0.000,       -0.728,        7.144,      2.265
45              ,  354 10 55 ,   64 13 10,      7.972,      0.000,      0.000,       -0.728,        7.142,      3.467
46              ,  354 10 59 ,   56 53 39,      8.574,      0.000,      0.000,       -0.728,        7.145,      4.683
47              ,  354 10 58 ,   49 33 34,      9.454,      0.000,      0.000,       -0.729,        7.158,      6.132
48              ,  354 10 55 ,   44 44 42,     10.231,      0.000,      0.000,       -0.730,        7.165,      7.266
49              ,  343 02 26 ,   53 53 31,      9.225,      0.000,      0.000,       -2.174,        7.129,      5.436
50              ,  343 02 26 ,   60 59 36,      8.534,      0.000,      0.000,       -2.177,        7.139,      4.138
51              ,  343 02 27 ,   67 45 27,      8.065,      0.000,      0.000,       -2.177,        7.140,      3.053
52              ,  343 02 32 ,   76 36 54,      7.674,      0.000,      0.000,       -2.177,        7.141,      1.776
53              ,  343 02 33 ,   82 36 16,      7.529,      0.000,      0.000,       -2.178,        7.142,      0.969
54              ,  339 29 11 ,   86 57 55,      7.619,      0.000,      0.000,       -2.666,        7.126,      0.403
55              ,  339 29 11 ,   78 11 10,      7.774,      0.000,      0.000,       -2.667,        7.127,      1.592
56              ,  339 44 34 ,   71 53 39,      7.997,      0.000,      0.000,       -2.632,        7.131,      2.485
57              ,  339 44 37 ,   67 09 55,      8.248,      0.000,      0.000,       -2.632,        7.131,      3.201
58              ,  339 44 38 ,   60 42 55,      8.720,      0.000,      0.000,       -2.633,        7.135,      4.265
59              ,  339 44 39 ,   54 16 00,      9.359,      0.000,      0.000,       -2.630,        7.128,      5.466
60              ,  338 16 22 ,   72 43 55,      8.831,      0.000,      0.000,       -3.122,        7.834,      2.621
61              ,  338 16 23 ,   68 16 40,      9.080,      0.000,      0.000,       -3.123,        7.836,      3.361
62              ,  338 16 27 ,   61 41 43,      9.585,      0.000,      0.000,       -3.124,        7.840,      4.545
63              ,  338 16 26 ,   55 40 24,     10.219,      0.000,      0.000,       -3.124,        7.840,      5.763
64              ,  337 14 10 ,   58 37 30,      9.954,      0.000,      0.000,       -3.288,        7.837,      5.183
65              ,  337 14 10 ,   62 25 30,      9.584,      0.000,      0.000,       -3.287,        7.833,      4.436
66              ,  337 14 11 ,   67 54 58,      9.164,      0.000,      0.000,       -3.286,        7.830,      3.445
67              ,  348 12 45 ,   98 56 02,      8.125,      0.000,      0.000,       -1.640,        7.858,     -1.262
68              ,  348 12 45 ,   92 19 41,      8.034,      0.000,      0.000,       -1.640,        7.858,     -0.326
69              ,  348 12 42 ,   83 47 21,      8.073,      0.000,      0.000,       -1.640,        7.857,      0.873
70              ,  348 12 44 ,   76 33 58,      8.253,      0.000,      0.000,       -1.640,        7.858,      1.917
71              ,  348 12 46 ,   69 56 38,      8.547,      0.000,      0.000,       -1.640,        7.860,      2.931
72              ,  348 12 45 ,   64 41 22,      8.881,      0.000,      0.000,       -1.640,        7.860,      3.797
73              ,  348 12 45 ,   59 10 54,      9.342,      0.000,      0.000,       -1.639,        7.853,      4.786
74              ,  351 12 22 ,   47 19 35,     10.826,      0.000,      0.000,       -1.217,        7.866,      7.338
75              ,  351 12 20 ,   52 06 26,     10.079,      0.000,      0.000,       -1.216,        7.861,      6.190
76              ,  351 12 20 ,   60 44 15,      9.118,      0.000,      0.000,       -1.216,        7.861,      4.457
77              ,  350 50 59 ,   67 51 14,      8.596,      0.000,      0.000,       -1.266,        7.860,      3.240
78              ,  350 50 57 ,   74 53 46,      8.245,      0.000,      0.000,       -1.266,        7.859,      2.148
79              ,  350 50 57 ,   83 17 14,      8.014,      0.000,      0.000,       -1.266,        7.858,      0.937
80              ,  350 50 57 ,   88 53 39,      7.961,      0.000,      0.000,       -1.266,        7.858,      0.154
81              ,  350 50 58 ,   98 51 35,      8.055,      0.000,      0.000,       -1.266,        7.857,     -1.241
