       287.7926,	       6275.9814,	      -1444.4639 ; 		 //plane 0 point @1 
     -1857.9225,	       6245.8779,	      -1449.4047 ; 		 //plane 0 point @2 
     -1666.4288,	      -4534.3712,	      -1485.8850 ; 		 //plane 0 point @3 
      3898.3580,	      -4449.8459,	      -1473.0492 ; 		 //plane 0 point @4 
      3504.3886,	      -2559.1011,	      -1467.4635 ; 		 //plane 0 point @5 
       287.7926,	       6275.9814,	      -1444.4639 ; 		 //plane 0 point @6 
      2630.6318,	       6285.9385,	       6190.8675 ; 		 //plane 1  NOT REORDER point @7 
     -1857.5152,	       6222.9487,	       6188.1751 ; 		 //plane 1  NOT REORDER point @8 
     -1772.4411,	       1433.6546,	       6165.0539 ; 		 //plane 1  NOT REORDER point @9 
      3205.8479,	       1519.7795,	       6168.1190 ; 		 //plane 1  NOT REORDER point @10 
      3294.3805,	      -4459.0199,	       6139.2459 ; 		 //plane 1  NOT REORDER point @11 
     -1666.4288,	      -4534.3712,	       6136.2422 ; 		 //plane 1  NOT REORDER point @12 
      5164.3467,	      -4430.6164,	       6140.3781 ; 		 //plane 1  NOT REORDER point @13 
      4876.7616,	      -2425.1739,	       6149.9257 ; 		 //plane 1  NOT REORDER point @14 
     -1772.4976,	       1436.8313,	       7617.6810 ; 		 //plane 2 point @15 
      3194.7476,	       1522.7664,	       7621.2859 ; 		 //plane 2 point @16 
      3283.2686,	      -4459.1887,	       7600.0536 ; 		 //plane 2 point @17 
     -1666.4288,	      -4534.3712,	       7596.4986 ; 		 //plane 2 point @18 
     -1772.4976,	       1436.8313,	       7617.6810 ; 		 //plane 2 point @19 
       287.7926,	       6275.9814,	      -1444.4639 ; 		 //plane 3 point @20 
     -1857.9225,	       6245.8779,	      -1449.4047 ; 		 //plane 3 point @21 
     -1857.5152,	       6222.9487,	       6188.1751 ; 		 //plane 3 point @22 
      2630.6318,	       6285.9385,	       6190.8675 ; 		 //plane 3 point @23 
      2846.6536,	       6291.3855,	       5386.7037 ; 		 //plane 3 point @24 
      2855.0790,	       6293.9007,	       4588.4954 ; 		 //plane 3 point @25 
      2024.0429,	       6292.4736,	       1179.2240 ; 		 //plane 3 point @26 
       287.7926,	       6275.9814,	      -1444.4639 ; 		 //plane 3 point @27 
     -1772.4411,	       1433.6546,	       6165.0539 ; 		 //plane 4 point @28 
      3205.8479,	       1519.7795,	       6168.1190 ; 		 //plane 4 point @29 
      3194.7476,	       1522.7664,	       7621.2859 ; 		 //plane 4 point @30 
     -1772.4976,	       1436.8313,	       7617.6810 ; 		 //plane 4 point @31 
     -1772.4411,	       1433.6546,	       6165.0539 ; 		 //plane 4 point @32 
     -1666.4288,	      -4534.3712,	      -1485.8850 ; 		 //plane 5  NOT REORDER point @33 
     -1857.9225,	       6245.8779,	      -1449.4047 ; 		 //plane 5  NOT REORDER point @34
     -1857.5152,	       6222.9487,	       6188.1751 ; 		 //plane 5  NOT REORDER point @35 
     -1772.4411,	       1433.6546,	       6165.0539 ; 		 //plane 5  NOT REORDER point @36 
     -1772.4976,	       1436.8313,	       7617.6810 ; 		 //plane 5  NOT REORDER point @37 
     -1666.4288,	      -4534.3712,	       7596.4986 ; 		 //plane 5  NOT REORDER point @38 
     -1666.4288,	      -4534.3712,	       6136.2422 ; 		 //plane 5  NOT REORDER point @39 
     -1666.4288,	      -4534.3712,	      -1485.8850 ; 		 //plane 6  NOT REORDER point @40
      3898.3580,	      -4449.8459,	      -1473.0492 ; 		 //plane 6  NOT REORDER point @41 
      4429.6497,	      -4441.7759,	       -648.1624 ; 		 //plane 6  NOT REORDER point @42 
      5392.0978,	      -4427.1570,	       3338.3430 ; 		 //plane 6  NOT REORDER point @43 
      5394.8325,	      -4427.1154,	       5285.4731 ; 		 //plane 6  NOT REORDER point @44 
      5164.3467,	      -4430.6164,	       6140.3781 ; 		 //plane 6  NOT REORDER point @45 
      3294.3805,	      -4459.0199,	       6139.2459 ; 		 //plane 6  NOT REORDER point @46 
      3283.2686,	      -4459.1887,	       7600.0536 ; 		 //plane 6  NOT REORDER point @47 
     -1666.4288,	      -4534.3712,	       7596.4986 ; 		 //plane 6  NOT REORDER point @48 
     -1666.4288,	      -4534.3712,	       6136.2422 ; 		 //plane 6  NOT REORDER point @49 
       287.7926,	       6275.9814,	      -1444.4639 ; 		 //plane 7 point @50 
      3504.3886,	      -2559.1011,	      -1467.4635 ; 		 //plane 7 point @51 
      4151.1019,	      -2439.2571,	       -427.5674 ; 		 //plane 7 point @52 
      2024.0429,	       6292.4736,	       1179.2240 ; 		 //plane 7 point @53 
       287.7926,	       6275.9814,	      -1444.4639 ; 		 //plane 7 point @54 
      2024.0429,	       6292.4736,	       1179.2240 ; 		 //plane 8 point @55 
      4153.2095,	      -2447.9091,	       -429.1596 ; 		 //plane 8 point @56 
      5111.0151,	      -2388.0249,	       3569.0656 ; 		 //plane 8 point @57 
      2855.0790,	       6293.9007,	       4588.4954 ; 		 //plane 8 point @58 
      2024.0429,	       6292.4736,	       1179.2240 ; 		 //plane 8 point @59 
      2855.0790,	       6293.9007,	       4588.4954 ; 		 //plane 9 point @60 
      5082.9207,	      -2279.9043,	       3581.7611 ; 		 //plane 9 point @61 
      5113.3855,	      -2474.2634,	       5321.3166 ; 		 //plane 9 point @62 
      2846.6536,	       6291.3855,	       5386.7037 ; 		 //plane 9 point @63 
      2855.0790,	       6293.9007,	       4588.4954 ; 		 //plane 9 point @64 
      2846.6536,	       6291.3855,	       5386.7037 ; 		 //plane 10 point @65 
      5100.3522,	      -2423.8627,	       5321.6925 ; 		 //plane 10 point @66 
      4876.7616,	      -2425.1739,	       6149.9257 ; 		 //plane 10 point @67 
      2630.6318,	       6285.9385,	       6190.8675 ; 		 //plane 10 point @68 
      2846.6536,	       6291.3855,	       5386.7037 ; 		 //plane 10 point @69 
      3504.3886,	      -2559.1011,	      -1467.4635 ; 		 //plane 11 point @70 
      3898.3580,	      -4449.8459,	      -1473.0492 ; 		 //plane 11 point @71 
      4429.6497,	      -4441.7759,	       -648.1624 ; 		 //plane 11 point @72 
      4152.7598,	      -2438.9499,	       -424.9017 ; 		 //plane 11 point @73 
      3504.3886,	      -2559.1011,	      -1467.4635 ; 		 //plane 11 point @74 
      4429.6497,	      -4441.7759,	       -648.1624 ; 		 //plane 12 point @75 
      4153.9916,	      -2447.8602,	       -425.8949 ; 		 //plane 12 point @76 
      5098.5273,	      -2388.8056,	       3516.9369 ; 		 //plane 12 point @77 
      5392.0978,	      -4427.1570,	       3338.3430 ; 		 //plane 12 point @78 
      4429.6497,	      -4441.7759,	       -648.1624 ; 		 //plane 12 point @79 
      5392.0978,	      -4427.1570,	       3338.3430 ; 		 //plane 13 point @80 
      5081.9619,	      -2273.7875,	       3527.0145 ; 		 //plane 13 point @81 
