    287.7926000000,	    6275.9814000000,	   -1444.4639000000 ; 		 //plane 0 point @1 
  -1857.9225000000,	    6245.8779000000,	   -1449.4047000000 ; 		 //plane 0 point @2 
  -1666.4288000000,	   -4534.3712000000,	   -1485.8850000000 ; 		 //plane 0 point @3 
   3898.3580000000,	   -4449.8459000000,	   -1473.0492000000 ; 		 //plane 0 point @4 
   3504.3886000000,	   -2559.1011000000,	   -1467.4635000000 ; 		 //plane 0 point @5 
    287.7926000000,	    6275.9814000000,	   -1444.4639000000 ; 		 //plane 0 point @6 
   2630.6318000000,	    6285.9385000000,	    6190.8675000000 ; 		 //plane 1 point @7 
  -1857.5152000000,	    6222.9487000000,	    6188.1751000000 ; 		 //plane 1 point @8 
  -1772.4411000000,	    1433.6546000000,	    6165.0539000000 ; 		 //plane 1 point @9 
   3205.8479000000,	    1519.7795000000,	    6168.1190000000 ; 		 //plane 1 point @10 
   3294.3805000000,	   -4459.0199000000,	    6139.2459000000 ; 		 //plane 1 point @11 
  -1666.4288000000,	   -4534.3712000000,	    6136.2422000000 ; 		 //plane 1 point @12 
   5164.3467000000,	   -4430.6164000000,	    6140.3781000000 ; 		 //plane 1 point @13 
   4876.7616000000,	   -2425.1739000000,	    6149.9257000000 ; 		 //plane 1 point @14 
  -1772.4976000000,	    1436.8313000000,	    7617.6810000000 ; 		 //plane 2 point @15 
   3194.7476000000,	    1522.7664000000,	    7621.2859000000 ; 		 //plane 2 point @16 
   3283.2686000000,	   -4459.1887000000,	    7600.0536000000 ; 		 //plane 2 point @17 
  -1666.4288000000,	   -4534.3712000000,	    7596.4986000000 ; 		 //plane 2 point @18 
  -1772.4976000000,	    1436.8313000000,	    7617.6810000000 ; 		 //plane 2 point @19 
    287.7926000000,	    6275.9814000000,	   -1444.4639000000 ; 		 //plane 3 point @20 
  -1857.9225000000,	    6245.8779000000,	   -1449.4047000000 ; 		 //plane 3 point @21 
  -1857.5152000000,	    6222.9487000000,	    6188.1751000000 ; 		 //plane 3 point @22 
   2630.6318000000,	    6285.9385000000,	    6190.8675000000 ; 		 //plane 3 point @23 
   2846.6536000000,	    6291.3855000000,	    5386.7037000000 ; 		 //plane 3 point @24 
   2855.0790000000,	    6293.9007000000,	    4588.4954000000 ; 		 //plane 3 point @25 
   2024.0429000000,	    6292.4736000000,	    1179.2240000000 ; 		 //plane 3 point @26 
    287.7926000000,	    6275.9814000000,	   -1444.4639000000 ; 		 //plane 3 point @27 
  -1772.4411000000,	    1433.6546000000,	    6165.0539000000 ; 		 //plane 4 point @28 
   3205.8479000000,	    1519.7795000000,	    6168.1190000000 ; 		 //plane 4 point @29 
   3194.7476000000,	    1522.7664000000,	    7621.2859000000 ; 		 //plane 4 point @30 
  -1772.4976000000,	    1436.8313000000,	    7617.6810000000 ; 		 //plane 4 point @31 
  -1772.4411000000,	    1433.6546000000,	    6165.0539000000 ; 		 //plane 4 point @32 
  -1666.4288000000,	   -4534.3712000000,	   -1485.8850000000 ; 		 //plane 5 point @33 
  -1857.9225000000,	    6245.8779000000,	   -1449.4047000000 ; 		 //plane 5 point @34 
  -1857.5152000000,	    6222.9487000000,	    6188.1751000000 ; 		 //plane 5 point @35 
  -1772.4411000000,	    1433.6546000000,	    6165.0539000000 ; 		 //plane 5 point @36 
  -1772.4976000000,	    1436.8313000000,	    7617.6810000000 ; 		 //plane 5 point @37 
  -1666.4288000000,	   -4534.3712000000,	    7596.4986000000 ; 		 //plane 5 point @38 
  -1666.4288000000,	   -4534.3712000000,	    6136.2422000000 ; 		 //plane 5 point @39 
  -1666.4288000000,	   -4534.3712000000,	   -1485.8850000000 ; 		 //plane 6 point @40 
   3898.3580000000,	   -4449.8459000000,	   -1473.0492000000 ; 		 //plane 6 point @41 
   4429.6497000000,	   -4441.7759000000,	    -648.1624000000 ; 		 //plane 6 point @42 
   5392.0978000000,	   -4427.1570000000,	    3338.3430000000 ; 		 //plane 6 point @43 
   5394.8325000000,	   -4427.1154000000,	    5285.4731000000 ; 		 //plane 6 point @44 
   5164.3467000000,	   -4430.6164000000,	    6140.3781000000 ; 		 //plane 6 point @45 
   3294.3805000000,	   -4459.0199000000,	    6139.2459000000 ; 		 //plane 6 point @46 
   3283.2686000000,	   -4459.1887000000,	    7600.0536000000 ; 		 //plane 6 point @47 
  -1666.4288000000,	   -4534.3712000000,	    7596.4986000000 ; 		 //plane 6 point @48 
  -1666.4288000000,	   -4534.3712000000,	    6136.2422000000 ; 		 //plane 6 point @49 
    287.7926000000,	    6275.9814000000,	   -1444.4639000000 ; 		 //plane 7 point @50 
