     -1942.7390,	       7545.4478,	      -1452.2860 ; 		 //plane 0 point @1 
      3571.4947,	       7553.3748,	      -1465.5056 ; 		 //plane 0 point @2 
      3595.0204,	      -4353.5466,	      -1462.9719 ; 		 //plane 0 point @3 
     -3439.3095,	      -4351.7002,	      -1446.1107 ; 		 //plane 0 point @4 
     -3449.2537,	      -1040.1086,	      -1446.8073 ; 		 //plane 0 point @5 
     -1942.7390,	       7545.4478,	      -1452.2860 ; 		 //plane 0 point @6 
     -1338.9045,	       7552.4975,	       6210.0463 ; 		 //plane 1 point @7 
     -3214.6001,	       7549.7702,	       6176.2341 ; 		 //plane 1 point @8 
     -3417.7788,	       5991.3557,	       6169.8927 ; 		 //plane 1 point @9 
     -3398.9567,	      -4351.7108,	       6152.4494 ; 		 //plane 1 point @10 
     -1313.8826,	      -4352.2581,	       6190.0297 ; 		 //plane 1 point @11 
     -1338.9045,	       7552.4975,	       6210.0463 ; 		 //plane 1 point @12 
      3571.4802,	       7560.7013,	       7617.6929 ; 		 //plane 2 point @13 
     -1330.6068,	       7553.6438,	       7616.4689 ; 		 //plane 2 point @14 
     -1305.4724,	      -4352.2603,	       7615.1096 ; 		 //plane 2 point @15 
      3595.0204,	      -4353.5466,	       7616.3322 ; 		 //plane 2 point @16 
      3571.4802,	       7560.7013,	       7617.6929 ; 		 //plane 2 point @17 
     -1942.7390,	       7545.4478,	      -1452.2860 ; 		 //plane 3 point @18 
      3571.4947,	       7553.3748,	      -1465.5056 ; 		 //plane 3 point @19 
      3571.4802,	       7560.7013,	       7617.6929 ; 		 //plane 3 point @20 
     -1330.6068,	       7553.6438,	       7616.4689 ; 		 //plane 3 point @21 
     -1338.9045,	       7552.4975,	       6210.0463 ; 		 //plane 3 point @22 
     -3214.6001,	       7549.7702,	       6176.2341 ; 		 //plane 3 point @23 
     -3412.7269,	       7548.7968,	       5323.0406 ; 		 //plane 3 point @24 
     -3432.4155,	       7547.1213,	       3280.9550 ; 		 //plane 3 point @25 
     -2487.2483,	       7545.3482,	       -604.0015 ; 		 //plane 3 point @26 
     -1942.7390,	       7545.4478,	      -1452.2860 ; 		 //plane 3 point @27 
     -3439.3095,	      -4351.7002,	      -1446.1107 ; 		 //plane 4 point @28 
      3595.0204,	      -4353.5466,	      -1462.9719 ; 		 //plane 4 point @29 
      3595.0204,	      -4353.5466,	       7616.3322 ; 		 //plane 4 point @30 
     -1305.4724,	      -4352.2603,	       7615.1096 ; 		 //plane 4 point @31 
     -1313.8826,	      -4352.2581,	       6190.0297 ; 		 //plane 4 point @32 
     -3398.9567,	      -4351.7108,	       6152.4494 ; 		 //plane 4 point @33 
     -3601.6068,	      -4351.6576,	       5334.0281 ; 		 //plane 4 point @34 
     -3644.3801,	      -4351.6464,	       -646.4067 ; 		 //plane 4 point @35 
     -3439.3095,	      -4351.7002,	      -1446.1107 ; 		 //plane 4 point @36 
      3571.4947,	       7553.3748,	      -1465.5056 ; 		 //plane 5 point @37 
      3595.0204,	      -4353.5466,	      -1462.9719 ; 		 //plane 5 point @38 
      3595.0204,	      -4353.5466,	       7616.3322 ; 		 //plane 5 point @39 
      3571.4802,	       7560.7013,	       7617.6929 ; 		 //plane 5 point @40 
      3571.4947,	       7553.3748,	      -1465.5056 ; 		 //plane 5 point @41 
     -1942.7390,	       7545.4478,	      -1452.2860 ; 		 //plane 6 point @42 
     -3449.6658,	      -1042.4571,	      -1446.8058 ; 		 //plane 6 point @43 
     -2487.2483,	       7545.3482,	       -604.0015 ; 		 //plane 6 point @44 
