  -1942.7390000000,	    7545.4478000000,	   -1452.2860000000 ; 		 //plane 0 point @1 
   3571.4947000000,	    7553.3748000000,	   -1465.5056000000 ; 		 //plane 0 point @2 
   3595.0204000000,	   -4353.5466000000,	   -1462.9719000000 ; 		 //plane 0 point @3 
  -3439.3095000000,	   -4351.7002000000,	   -1446.1107000000 ; 		 //plane 0 point @4 
  -3449.2537000000,	   -1040.1086000000,	   -1446.8073000000 ; 		 //plane 0 point @5 
  -1942.7390000000,	    7545.4478000000,	   -1452.2860000000 ; 		 //plane 0 point @6 
  -1338.9045000000,	    7552.4975000000,	    6210.0463000000 ; 		 //plane 1 point @7 
  -3214.6001000000,	    7549.7702000000,	    6176.2341000000 ; 		 //plane 1 point @8 
  -3417.7788000000,	    5991.3557000000,	    6169.8927000000 ; 		 //plane 1 point @9 
  -3398.9567000000,	   -4351.7108000000,	    6152.4494000000 ; 		 //plane 1 point @10 
  -1313.8826000000,	   -4352.2581000000,	    6190.0297000000 ; 		 //plane 1 point @11 
  -1338.9045000000,	    7552.4975000000,	    6210.0463000000 ; 		 //plane 1 point @12 
   3571.4802000000,	    7560.7013000000,	    7617.6929000000 ; 		 //plane 2 point @13 
  -1330.6068000000,	    7553.6438000000,	    7616.4689000000 ; 		 //plane 2 point @14 
  -1305.4724000000,	   -4352.2603000000,	    7615.1096000000 ; 		 //plane 2 point @15 
   3595.0204000000,	   -4353.5466000000,	    7616.3322000000 ; 		 //plane 2 point @16 
   3571.4802000000,	    7560.7013000000,	    7617.6929000000 ; 		 //plane 2 point @17 
  -1942.7390000000,	    7545.4478000000,	   -1452.2860000000 ; 		 //plane 3 point @18 
   3571.4947000000,	    7553.3748000000,	   -1465.5056000000 ; 		 //plane 3 point @19 
   3571.4802000000,	    7560.7013000000,	    7617.6929000000 ; 		 //plane 3 point @20 
  -1330.6068000000,	    7553.6438000000,	    7616.4689000000 ; 		 //plane 3 point @21 
  -1338.9045000000,	    7552.4975000000,	    6210.0463000000 ; 		 //plane 3 point @22 
  -3214.6001000000,	    7549.7702000000,	    6176.2341000000 ; 		 //plane 3 point @23 
  -3412.7269000000,	    7548.7968000000,	    5323.0406000000 ; 		 //plane 3 point @24 
  -3432.4155000000,	    7547.1213000000,	    3280.9550000000 ; 		 //plane 3 point @25 
