      2105.5904,	       7704.7348,	      -1451.2479 ; 		 //plane 0 point @1 
     -3517.9430,	       7667.4865,	      -1454.1536 ; 		 //plane 0 point @2 
     -3403.9225,	      -4136.0258,	      -1448.9335 ; 		 //plane 0 point @3 
      3703.8238,	      -4092.9436,	      -1445.2590 ; 		 //plane 0 point @4 
      3668.9470,	       -629.6414,	      -1446.7914 ; 		 //plane 0 point @5 
      2105.5904,	       7704.7348,	      -1451.2479 ; 		 //plane 0 point @6 
      1490.1473,	       7708.5733,	       6195.3884 ; 		 //plane 1 point @7 
      3360.8008,	       7720.9348,	       6168.3304 ; 		 //plane 1 point @8 
      3585.7945,	       6124.0821,	       6162.1745 ; 		 //plane 1 point @9 
      3687.8267,	      -4093.0406,	       6142.1501 ; 		 //plane 1 point @10 
      1600.9604,	      -4105.6897,	       6172.3375 ; 		 //plane 1 point @11 
      1490.1473,	       7708.5733,	       6195.3884 ; 		 //plane 1 point @12 
     -3518.0338,	       7676.8889,	       7630.4089 ; 		 //plane 2 point @13 
      1470.4295,	       7709.9176,	       7620.3149 ; 		 //plane 2 point @14 
      1581.0378,	      -4105.8105,	       7613.0634 ; 		 //plane 2 point @15 
     -3403.9225,	      -4136.0258,	       7623.1520 ; 		 //plane 2 point @16 
     -3518.0338,	       7676.8889,	       7630.4089 ; 		 //plane 2 point @17 
      2105.5904,	       7704.7348,	      -1451.2479 ; 		 //plane 3 point @18 
     -3517.9430,	       7667.4865,	      -1454.1536 ; 		 //plane 3 point @19 
     -3518.0338,	       7676.8889,	       7630.4089 ; 		 //plane 3 point @20 
      1470.4295,	       7709.9176,	       7620.3149 ; 		 //plane 3 point @21 
      1490.1473,	       7708.5733,	       6195.3884 ; 		 //plane 3 point @22 
      3360.8008,	       7720.9348,	       6168.3304 ; 		 //plane 3 point @23 
      3579.5825,	       7721.4930,	       5307.6860 ; 		 //plane 3 point @24 
      3588.3049,	       7719.4900,	       3316.7127 ; 		 //plane 3 point @25 
      2631.0282,	       7709.0876,	       -608.0433 ; 		 //plane 3 point @26 
      2105.5904,	       7704.7348,	      -1451.2479 ; 		 //plane 3 point @27 
      3703.8238,	      -4092.9436,	      -1445.2590 ; 		 //plane 4 point @28 
     -3403.9225,	      -4136.0258,	      -1448.9335 ; 		 //plane 4 point @29 
     -3403.9225,	      -4136.0258,	       7623.1520 ; 		 //plane 4 point @30 
