   2105.5904000000,	    7704.7348000000,	   -1451.2479000000 ; 		 //plane 0 point @1 
  -3517.9430000000,	    7667.4865000000,	   -1454.1536000000 ; 		 //plane 0 point @2 
  -3403.9225000000,	   -4136.0258000000,	   -1448.9335000000 ; 		 //plane 0 point @3 
   3703.8238000000,	   -4092.9436000000,	   -1445.2590000000 ; 		 //plane 0 point @4 
   3668.9470000000,	    -629.6414000000,	   -1446.7914000000 ; 		 //plane 0 point @5 
   2105.5904000000,	    7704.7348000000,	   -1451.2479000000 ; 		 //plane 0 point @6 
   1490.1473000000,	    7708.5733000000,	    6195.3884000000 ; 		 //plane 1 point @7 
   3360.8008000000,	    7720.9348000000,	    6168.3304000000 ; 		 //plane 1 point @8 
   3585.7945000000,	    6124.0821000000,	    6162.1745000000 ; 		 //plane 1 point @9 
   3687.8267000000,	   -4093.0406000000,	    6142.1501000000 ; 		 //plane 1 point @10 
   1600.9604000000,	   -4105.6897000000,	    6172.3375000000 ; 		 //plane 1 point @11 
   1490.1473000000,	    7708.5733000000,	    6195.3884000000 ; 		 //plane 1 point @12 
  -3518.0338000000,	    7676.8889000000,	    7630.4089000000 ; 		 //plane 2 point @13 
   1470.4295000000,	    7709.9176000000,	    7620.3149000000 ; 		 //plane 2 point @14 
   1581.0378000000,	   -4105.8105000000,	    7613.0634000000 ; 		 //plane 2 point @15 
  -3403.9225000000,	   -4136.0258000000,	    7623.1520000000 ; 		 //plane 2 point @16 
  -3518.0338000000,	    7676.8889000000,	    7630.4089000000 ; 		 //plane 2 point @17 
   2105.5904000000,	    7704.7348000000,	   -1451.2479000000 ; 		 //plane 3 point @18 
  -3517.9430000000,	    7667.4865000000,	   -1454.1536000000 ; 		 //plane 3 point @19 
  -3518.0338000000,	    7676.8889000000,	    7630.4089000000 ; 		 //plane 3 point @20 
   1470.4295000000,	    7709.9176000000,	    7620.3149000000 ; 		 //plane 3 point @21 
   1490.1473000000,	    7708.5733000000,	    6195.3884000000 ; 		 //plane 3 point @22 
   3360.8008000000,	    7720.9348000000,	    6168.3304000000 ; 		 //plane 3 point @23 
   3579.5825000000,	    7721.4930000000,	    5307.6860000000 ; 		 //plane 3 point @24 
   3588.3049000000,	    7719.4900000000,	    3316.7127000000 ; 		 //plane 3 point @25 
   2631.0282000000,	    7709.0876000000,	    -608.0433000000 ; 		 //plane 3 point @26 
   2105.5904000000,	    7704.7348000000,	   -1451.2479000000 ; 		 //plane 3 point @27 
   3703.8238000000,	   -4092.9436000000,	   -1445.2590000000 ; 		 //plane 4 point @28 
  -3403.9225000000,	   -4136.0258000000,	   -1448.9335000000 ; 		 //plane 4 point @29 
  -3403.9225000000,	   -4136.0258000000,	    7623.1520000000 ; 		 //plane 4 point @30 
   1581.0378000000,	   -4105.8105000000,	    7613.0634000000 ; 		 //plane 4 point @31 
   1600.9604000000,	   -4105.6897000000,	    6172.3375000000 ; 		 //plane 4 point @32 
   3687.8267000000,	   -4093.0406000000,	    6142.1501000000 ; 		 //plane 4 point @33 
   3894.0689000000,	   -4091.7905000000,	    5306.2988000000 ; 		 //plane 4 point @34 
   3912.2756000000,	   -4091.6802000000,	    -609.4981000000 ; 		 //plane 4 point @35 
   3703.8238000000,	   -4092.9436000000,	   -1445.2590000000 ; 		 //plane 4 point @36 
  -3517.9430000000,	    7667.4865000000,	   -1454.1536000000 ; 		 //plane 5 point @37 
  -3403.9225000000,	   -4136.0258000000,	   -1448.9335000000 ; 		 //plane 5 point @38 
  -3403.9225000000,	   -4136.0258000000,	    7623.1520000000 ; 		 //plane 5 point @39 
  -3518.0338000000,	    7676.8889000000,	    7630.4089000000 ; 		 //plane 5 point @40 
  -3517.9430000000,	    7667.4865000000,	   -1454.1536000000 ; 		 //plane 5 point @41 
   2105.5904000000,	    7704.7348000000,	   -1451.2479000000 ; 		 //plane 6 point @42 
   3668.9470000000,	    -629.6414000000,	   -1446.7914000000 ; 		 //plane 6 point @43 
   2631.0282000000,	    7709.0876000000,	    -608.0433000000 ; 		 //plane 6 point @44 
   2105.5904000000,	    7704.7348000000,	   -1451.2479000000 ; 		 //plane 6 point @45 
   2631.0282000000,	    7709.0876000000,	    -608.0433000000 ; 		 //plane 7 point @46 
   3668.9470000000,	    -629.6414000000,	   -1446.7914000000 ; 		 //plane 7 point @47 
   3880.8988000000,	    -603.7115000000,	    -596.0137000000 ; 		 //plane 7 point @48 
   3808.6200000000,	    6127.2300000000,	    3240.8806000000 ; 		 //plane 7 point @49 
   3588.3049000000,	    7719.4900000000,	    3316.7127000000 ; 		 //plane 7 point @50 
   2631.0282000000,	    7709.0876000000,	    -608.0433000000 ; 		 //plane 7 point @51 
   3588.3049000000,	    7719.4900000000,	    3316.7127000000 ; 		 //plane 8 point @52 
   3808.6200000000,	    6127.2300000000,	    3240.8806000000 ; 		 //plane 8 point @53 
   3802.3922000000,	    6108.5025000000,	    5318.9978000000 ; 		 //plane 8 point @54 
   3579.5825000000,	    7721.4930000000,	    5307.6860000000 ; 		 //plane 8 point @55 
   3588.3049000000,	    7719.4900000000,	    3316.7127000000 ; 		 //plane 8 point @56 
   3579.5825000000,	    7721.4930000000,	    5307.6860000000 ; 		 //plane 9 point @57 
   3802.3922000000,	    6108.5025000000,	    5318.9978000000 ; 		 //plane 9 point @58 
   3585.7945000000,	    6124.0821000000,	    6162.1745000000 ; 		 //plane 9 point @59 
