   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 59 ,   90 08 23,          0,      0.000,      0.000,            0,            0,          0
2               ,    0 00 00 ,   90 08 13,      5.922,      0.000,      0.000,        0.000,        5.922,     -0.014
3               ,   92 23 11 ,  130 06 49,      2.072,      0.100,      0.000,        1.583,       -0.066,     -1.435
4               ,   92 25 24 ,  130 08 37,      2.062,      0.100,      0.000,        1.575,       -0.067,     -1.430
5               ,   92 17 07 ,  132 47 27,      2.090,      0.000,      0.000,        1.533,       -0.061,     -1.420
6               ,   94 10 18 ,  130 17 53,      2.194,      0.000,      0.000,        1.669,       -0.122,     -1.419
7               ,   88 07 38 ,  129 59 43,      2.208,      0.000,      0.000,        1.690,        0.055,     -1.419
8               ,   84 14 30 ,   10 24 31,      7.767,      0.000,      0.000,        1.396,        0.141,      7.639
9               ,  344 19 58 ,   46 46 04,      8.496,      0.000,      0.000,       -1.672,        5.960,      5.819
10              ,  340 05 38 ,   53 40 07,      7.906,      0.000,      0.000,       -2.169,        5.989,      4.684
11              ,  344 40 08 ,   60 19 26,      7.136,      0.000,      0.000,       -1.639,        5.979,      3.533
12              ,  340 22 21 ,   66 38 55,      6.932,      0.000,      0.000,       -2.138,        5.995,      2.748
13              ,  344 47 30 ,   73 14 28,      6.472,      0.000,      0.000,       -1.626,        5.980,      1.866
14              ,  339 51 29 ,   79 55 44,      6.489,      0.000,      0.000,       -2.200,        5.998,      1.135
15              ,  344 36 34 ,   87 06 08,      6.210,      0.000,      0.000,       -1.646,        5.980,      0.314
16              ,  340 24 55 ,   92 36 55,      6.372,      0.000,      0.000,       -2.133,        5.997,     -0.291
17              ,  344 29 06 ,  100 51 49,      6.316,      0.000,      0.000,       -1.659,        5.977,     -1.190
18              ,  339 41 55 ,  100 38 21,      6.507,      0.000,      0.000,       -2.219,        5.998,     -1.201
19              ,  357 06 49 ,  101 29 23,      6.054,      0.000,      0.000,       -0.299,        5.925,     -1.206
20              ,    2 37 40 ,  101 30 03,      6.031,      0.000,      0.000,        0.271,        5.903,     -1.202
21              ,  357 01 29 ,   90 31 15,      5.936,      0.000,      0.000,       -0.308,        5.928,     -0.054
22              ,    2 39 18 ,   80 51 00,      5.997,      0.000,      0.000,        0.274,        5.914,      0.954
23              ,  356 59 51 ,   75 06 27,      6.148,      0.000,      0.000,       -0.311,        5.933,      1.580
24              ,    2 19 37 ,   66 28 20,      6.465,      0.000,      0.000,        0.241,        5.923,      2.581
25              ,  357 10 31 ,   61 16 44,      6.779,      0.000,      0.000,       -0.293,        5.937,      3.257
26              ,    2 22 30 ,   54 59 36,      7.241,      0.000,      0.000,        0.246,        5.926,      4.154
27              ,  357 17 28 ,   49 54 57,      7.764,      0.000,      0.000,       -0.281,        5.933,      4.999
28              ,    2 18 18 ,   45 31 42,      8.295,      0.000,      0.000,        0.238,        5.915,      5.811
29              ,  356 59 38 ,   42 22 30,      8.824,      0.000,      0.000,       -0.312,        5.939,      6.519
30              ,    1 42 48 ,   38 15 53,      9.544,      0.000,      0.000,        0.177,        5.908,      7.494
31              ,  357 50 21 ,   38 28 18,      9.546,      0.000,      0.000,       -0.224,        5.935,      7.474
32              ,   14 57 09 ,   39 02 55,      9.651,      0.000,      0.000,        1.569,        5.874,      7.495
33              ,   18 57 06 ,   42 28 44,      9.177,      0.000,      0.000,        2.013,        5.861,      6.768
34              ,   14 58 37 ,   44 44 47,      8.625,      0.000,      0.000,        1.569,        5.865,      6.125
35              ,   19 15 49 ,   50 13 05,      8.071,      0.000,      0.000,        2.046,        5.856,      5.165
36              ,   15 04 24 ,   54 36 47,      7.454,      0.000,      0.000,        1.580,        5.868,      4.317
37              ,   19 04 45 ,   61 01 53,      7.091,      0.000,      0.000,        2.028,        5.863,      3.434
38              ,   14 59 42 ,   66 46 04,      6.614,      0.000,      0.000,        1.573,        5.871,      2.609
39              ,   18 50 17 ,   74 53 05,      6.412,      0.000,      0.000,        1.999,        5.859,      1.672
40              ,   14 53 06 ,   80 25 28,      6.159,      0.000,      0.000,        1.560,        5.869,      1.025
41              ,   19 11 37 ,   88 06 05,      6.208,      0.000,      0.000,        2.040,        5.859,      0.206
42              ,   14 47 52 ,   95 09 13,      6.095,      0.000,      0.000,        1.550,        5.869,     -0.547
43              ,   20 07 30 ,  101 36 10,      6.368,      0.000,      0.000,        2.146,        5.857,     -1.281
44              ,   14 57 20 ,  102 15 19,      6.216,      0.000,      0.000,        1.567,        5.868,     -1.319
45              ,   31 30 09 ,  100 17 43,      6.919,      0.000,      0.000,        3.557,        5.804,     -1.237
46              ,   32 30 24 ,  100 21 50,      6.989,      0.000,      0.000,        3.695,        5.798,     -1.257
47              ,   34 14 32 ,   86 12 19,      7.015,      0.000,      0.000,        3.939,        5.786,      0.464
48              ,   31 16 28 ,   81 43 20,      6.854,      0.000,      0.000,        3.521,        5.797,      0.987
