      4034.8575,	       6145.7538,	      -1424.4957 ; 		 //plane 0 point @1 
     -3014.5008,	       6369.7358,	      -1419.6866 ; 		 //plane 0 point @2 
     -3405.1066,	      -6225.6868,	      -1428.3567 ; 		 //plane 0 point @3 
      3663.6979,	      -6437.3882,	      -1433.1699 ; 		 //plane 0 point @4 
      4034.8575,	       6145.7538,	      -1424.4957 ; 		 //plane 0 point @5 
      4034.5482,	       6135.2688,	       7643.9814 ; 		 //plane 1 point @6 
      -893.4492,	       6291.8547,	       7641.5837 ; 		 //plane 1 point @7 
     -1303.0882,	      -6288.6394,	       7645.1976 ; 		 //plane 1 point @8 
      3663.6979,	      -6437.3882,	       7647.6113 ; 		 //plane 1 point @9 
      4034.5482,	       6135.2688,	       7643.9814 ; 		 //plane 1 point @10 
     -3014.5008,	       6369.7358,	      -1419.6866 ; 		 //plane 2 point @11 
      4034.8575,	       6145.7538,	      -1424.4957 ; 		 //plane 2 point @12 
      4034.5482,	       6135.2688,	       7643.9814 ; 		 //plane 2 point @13 
      -893.4492,	       6291.8547,	       7641.5837 ; 		 //plane 2 point @14 
      -901.2241,	       6293.7651,	       6204.2933 ; 		 //plane 2 point @15 
     -2989.6274,	       6360.1742,	       6159.5293 ; 		 //plane 2 point @16 
     -3194.7602,	       6367.6801,	       5305.8581 ; 		 //plane 2 point @17 
     -3213.1811,	       6375.1621,	       -653.5459 ; 		 //plane 2 point @18 
     -3014.5008,	       6369.7358,	      -1419.6866 ; 		 //plane 2 point @19 
      4034.8575,	       6145.7538,	      -1424.4957 ; 		 //plane 3 point @20 
      3663.6979,	      -6437.3882,	      -1433.1699 ; 		 //plane 3 point @21 
      3663.6979,	      -6437.3882,	       7647.6113 ; 		 //plane 3 point @22 
      4034.5482,	       6135.2688,	       7643.9814 ; 		 //plane 3 point @23 
      4034.8575,	       6145.7538,	      -1424.4957 ; 		 //plane 3 point @24 
     -3405.1066,	      -6225.6868,	      -1428.3567 ; 		 //plane 4 point @25 
      3663.6979,	      -6437.3882,	      -1433.1699 ; 		 //plane 4 point @26 
      3663.6979,	      -6437.3882,	       7647.6113 ; 		 //plane 4 point @27 
     -1303.0882,	      -6288.6394,	       7645.1976 ; 		 //plane 4 point @28 
     -1310.6961,	      -6288.4116,	       6248.5871 ; 		 //plane 4 point @29 
     -3386.0576,	      -6226.2572,	       6204.1188 ; 		 //plane 4 point @30 
     -3590.2448,	      -6220.1421,	       5354.5650 ; 		 //plane 4 point @31 
     -3608.9998,	      -6219.5804,	       -642.0499 ; 		 //plane 4 point @32 
     -3405.1066,	      -6225.6868,	      -1428.3567 ; 		 //plane 4 point @33 
     -3014.5008,	       6369.7358,	      -1419.6866 ; 		 //plane 5 point @34 
     -3405.1066,	      -6225.6868,	      -1428.3567 ; 		 //plane 5 point @35 
     -3608.9998,	      -6219.5804,	       -642.0499 ; 		 //plane 5 point @36 
     -3213.1811,	       6375.1621,	       -653.5459 ; 		 //plane 5 point @37 
     -3014.5008,	       6369.7358,	      -1419.6866 ; 		 //plane 5 point @38 
     -3213.1811,	       6375.1621,	       -653.5459 ; 		 //plane 6 point @39 
     -3608.9998,	      -6219.5804,	       -642.0499 ; 		 //plane 6 point @40 
     -3590.2448,	      -6220.1421,	       5354.5650 ; 		 //plane 6 point @41 
     -3194.7602,	       6367.6801,	       5305.8581 ; 		 //plane 6 point @42 
     -3213.1811,	       6375.1621,	       -653.5459 ; 		 //plane 6 point @43 
     -3194.7602,	       6367.6801,	       5305.8581 ; 		 //plane 7 point @44 
     -3590.2448,	      -6220.1421,	       5354.5650 ; 		 //plane 7 point @45 
     -3386.0576,	      -6226.2572,	       6204.1188 ; 		 //plane 7 point @46 
     -2989.6274,	       6360.1742,	       6159.5293 ; 		 //plane 7 point @47 
     -3194.7602,	       6367.6801,	       5305.8581 ; 		 //plane 7 point @48 
     -2989.6274,	       6360.1742,	       6159.5293 ; 		 //plane 8 point @49 
     -3386.0576,	      -6226.2572,	       6204.1188 ; 		 //plane 8 point @50 
     -1310.6961,	      -6288.4116,	       6248.5871 ; 		 //plane 8 point @51 
      -901.2241,	       6293.7651,	       6204.2933 ; 		 //plane 8 point @52 
     -2989.6274,	       6360.1742,	       6159.5293 ; 		 //plane 8 point @53 
      -901.2241,	       6293.7651,	       6204.2933 ; 		 //plane 9 point @54 
     -1310.6961,	      -6288.4116,	       6248.5871 ; 		 //plane 9 point @55 
     -1303.0882,	      -6288.6394,	       7645.1976 ; 		 //plane 9 point @56 
      -893.4492,	       6291.8547,	       7641.5837 ; 		 //plane 9 point @57 
      -901.2241,	       6293.7651,	       6204.2933 ; 		 //plane 9 point @58 
