The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
    -3      -1433        0.030049             0.000015 
    -2      -1432        1.453928             0.000757 
    -1      -1431        5.009681             0.003989 
     0      -1430       10.697309             0.011842 
     1      -1429       18.516811             0.026449 
     2      -1428       28.333889             0.049875 
     3      -1427       38.592584             0.083338 
     4      -1426       48.848464             0.127058 
     5      -1425       59.101530             0.181033 
     6      -1424       69.093377             0.245131 
     7      -1423       77.228174             0.318292 
     8      -1422       83.232233             0.398522 
     9      -1421       87.105553             0.483691 
    10      -1420       88.848135             0.571668 
    11      -1419       88.957982             0.660571 
    12      -1418       88.961242             0.749530 
    13      -1417       88.964503             0.838493 
    14      -1416       88.967763             0.927459 
    15      -1415       88.971024             1.016429 
    16      -1414       88.974284             1.105401 
    17      -1413       88.977545             1.194377 
    18      -1412       88.980805             1.283356 
    19      -1411       88.984066             1.372339 
    20      -1410       88.987326             1.461325 
    21      -1409       88.990587             1.550314 
    22      -1408       88.993847             1.639306 
    23      -1407       88.997108             1.728301 
    24      -1406       89.000368             1.817300 
    25      -1405       89.003629             1.906302 
    26      -1404       89.006889             1.995307 
    27      -1403       89.010150             2.084316 
    28      -1402       89.013410             2.173328 
    29      -1401       89.016671             2.262343 
    30      -1400       89.019931             2.351361 
    31      -1399       89.023192             2.440382 
    32      -1398       89.026453             2.529407 
    33      -1397       89.029713             2.618435 
    34      -1396       89.032974             2.707467 
    35      -1395       89.036234             2.796501 
    36      -1394       89.039495             2.885539 
    37      -1393       89.042755             2.974580 
    38      -1392       89.046016             3.063625 
    39      -1391       89.049276             3.152672 
    40      -1390       89.052537             3.241723 
    41      -1389       89.055797             3.330777 
    42      -1388       89.059058             3.419835 
    43      -1387       89.062318             3.508896 
    44      -1386       89.065579             3.597959 
    45      -1385       89.068839             3.687027 
    46      -1384       89.072100             3.776097 
    47      -1383       89.075360             3.865171 
    48      -1382       89.078621             3.954248 
    49      -1381       89.081881             4.043328 
    50      -1380       89.085142             4.132412 
    51      -1379       89.088402             4.221498 
    52      -1378       89.091663             4.310588 
    53      -1377       89.094923             4.399682 
    54      -1376       89.098184             4.488778 
    55      -1375       89.101444             4.577878 
    56      -1374       89.104705             4.666981 
    57      -1373       89.107965             4.756087 
    58      -1372       89.111226             4.845197 
    59      -1371       89.114486             4.934310 
    60      -1370       89.117747             5.023426 
    61      -1369       89.121007             5.112545 
    62      -1368       89.124268             5.201668 
    63      -1367       89.127528             5.290794 
    64      -1366       89.130789             5.379923 
    65      -1365       89.134049             5.469056 
    66      -1364       89.137310             5.558191 
    67      -1363       89.140570             5.647330 
    68      -1362       89.143831             5.736472 
    69      -1361       89.147091             5.825618 
    70      -1360       89.150352             5.914767 
    71      -1359       89.153612             6.003919 
    72      -1358       89.156873             6.093074 
    73      -1357       89.160133             6.182232 
    74      -1356       89.163394             6.271394 
    75      -1355       89.166654             6.360559 
    76      -1354       89.169915             6.449727 
    77      -1353       89.173175             6.538899 
    78      -1352       89.176436             6.628074 
    79      -1351       89.179696             6.717252 
    80      -1350       89.182957             6.806433 
    81      -1349       89.186217             6.895618 
    82      -1348       89.189478             6.984806 
    83      -1347       89.192738             7.073997 
    84      -1346       89.195999             7.163191 
    85      -1345       89.199259             7.252389 
    86      -1344       89.202520             7.341590 
    87      -1343       89.205780             7.430794 
    88      -1342       89.209041             7.520001 
    89      -1341       89.212301             7.609212 
    90      -1340       89.215562             7.698426 
    91      -1339       89.218822             7.787643 
