Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.03486,	   6.14575,	  -1.42450
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.01450,	   6.36974,	  -1.41969
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.40511,	  -6.22569,	  -1.42836
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66370,	  -6.43739,	  -1.43317
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.03486,	   6.14575,	  -1.42450
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.03455,	   6.13527,	   7.64398
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.89345,	   6.29185,	   7.64158
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.30309,	  -6.28864,	   7.64520
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66370,	  -6.43739,	   7.64761
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.03455,	   6.13527,	   7.64398
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.01450,	   6.36974,	  -1.41969
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.03486,	   6.14575,	  -1.42450
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.03455,	   6.13527,	   7.64398
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.89345,	   6.29185,	   7.64158
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.90122,	   6.29377,	   6.20429
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.98963,	   6.36017,	   6.15953
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.19476,	   6.36768,	   5.30586
