      4034.9421,	       6148.6213,	      -1424.4928 ; 		 //plane 0 point @1 
     -3014.4126,	       6372.5792,	      -1419.6837 ; 		 //plane 0 point @2 
     -3404.9733,	      -6221.3874,	      -1428.3547 ; 		 //plane 0 point @3 
      3663.8236,	      -6433.1257,	      -1433.1679 ; 		 //plane 0 point @4 
      4034.9421,	       6148.6213,	      -1424.4928 ; 		 //plane 0 point @5 
      4034.6319,	       6138.1060,	       7643.9815 ; 		 //plane 1 point @6 
      -893.3573,	       6294.6748,	       7641.5839 ; 		 //plane 1 point @7 
     -1302.9486,	      -6284.3513,	       7645.1954 ; 		 //plane 1 point @8 
      3663.8236,	      -6433.1257,	       7647.6092 ; 		 //plane 1 point @9 
      4034.6319,	       6138.1060,	       7643.9815 ; 		 //plane 1 point @10 
     -3014.4126,	       6372.5792,	      -1419.6837 ; 		 //plane 2 point @11 
      4034.9421,	       6148.6213,	      -1424.4928 ; 		 //plane 2 point @12 
      4034.6319,	       6138.1060,	       7643.9815 ; 		 //plane 2 point @13 
      -893.3573,	       6294.6748,	       7641.5839 ; 		 //plane 2 point @14 
      -901.1322,	       6296.5900,	       6204.2843 ; 		 //plane 2 point @15 
     -2989.5386,	       6362.9922,	       6159.5203 ; 		 //plane 2 point @16 
     -3194.6716,	       6370.5002,	       5305.8481 ; 		 //plane 2 point @17 
     -3213.0919,	       6378.0022,	       -653.5476 ; 		 //plane 2 point @18 
     -3014.4126,	       6372.5792,	      -1419.6837 ; 		 //plane 2 point @19 
      4034.9421,	       6148.6213,	      -1424.4928 ; 		 //plane 3 point @20 
      3663.8236,	      -6433.1257,	      -1433.1679 ; 		 //plane 3 point @21 
      3663.8236,	      -6433.1257,	       7647.6092 ; 		 //plane 3 point @22 
      4034.6319,	       6138.1060,	       7643.9815 ; 		 //plane 3 point @23 
      4034.9421,	       6148.6213,	      -1424.4928 ; 		 //plane 3 point @24 
     -3404.9733,	      -6221.3874,	      -1428.3547 ; 		 //plane 4 point @25 
      3663.8236,	      -6433.1257,	      -1433.1679 ; 		 //plane 4 point @26 
      3663.8236,	      -6433.1257,	       7647.6092 ; 		 //plane 4 point @27 
     -1302.9486,	      -6284.3513,	       7645.1954 ; 		 //plane 4 point @28 
     -1310.5566,	      -6284.1234,	       6248.5710 ; 		 //plane 4 point @29 
     -3385.9222,	      -6221.9580,	       6204.1026 ; 		 //plane 4 point @30 
     -3590.1097,	      -6215.8418,	       5354.5474 ; 		 //plane 4 point @31 
     -3608.8647,	      -6215.2800,	       -642.0548 ; 		 //plane 4 point @32 
     -3404.9733,	      -6221.3874,	      -1428.3547 ; 		 //plane 4 point @33 
     -3014.4126,	       6372.5792,	      -1419.6837 ; 		 //plane 5 point @34 
     -3404.9733,	      -6221.3874,	      -1428.3547 ; 		 //plane 5 point @35 
     -3608.8647,	      -6215.2800,	       -642.0548 ; 		 //plane 5 point @36 
     -3213.0919,	       6378.0022,	       -653.5476 ; 		 //plane 5 point @37 
     -3014.4126,	       6372.5792,	      -1419.6837 ; 		 //plane 5 point @38 
     -3213.0919,	       6378.0022,	       -653.5476 ; 		 //plane 6 point @39 
     -3608.8647,	      -6215.2800,	       -642.0548 ; 		 //plane 6 point @40 
     -3590.1097,	      -6215.8418,	       5354.5474 ; 		 //plane 6 point @41 
     -3194.6716,	       6370.5002,	       5305.8481 ; 		 //plane 6 point @42 
     -3213.0919,	       6378.0022,	       -653.5476 ; 		 //plane 6 point @43 
     -3194.6716,	       6370.5002,	       5305.8481 ; 		 //plane 7 point @44 
     -3590.1097,	      -6215.8418,	       5354.5474 ; 		 //plane 7 point @45 
     -3385.9222,	      -6221.9580,	       6204.1026 ; 		 //plane 7 point @46 
     -2989.5386,	       6362.9922,	       6159.5203 ; 		 //plane 7 point @47 
     -3194.6716,	       6370.5002,	       5305.8481 ; 		 //plane 7 point @48 
     -2989.5386,	       6362.9922,	       6159.5203 ; 		 //plane 8 point @49 
     -3385.9222,	      -6221.9580,	       6204.1026 ; 		 //plane 8 point @50 
     -1310.5566,	      -6284.1234,	       6248.5710 ; 		 //plane 8 point @51 
      -901.1322,	       6296.5900,	       6204.2843 ; 		 //plane 8 point @52 
     -2989.5386,	       6362.9922,	       6159.5203 ; 		 //plane 8 point @53 
      -901.1322,	       6296.5900,	       6204.2843 ; 		 //plane 9 point @54 
     -1310.5566,	      -6284.1234,	       6248.5710 ; 		 //plane 9 point @55 
     -1302.9486,	      -6284.3513,	       7645.1954 ; 		 //plane 9 point @56 
      -893.3573,	       6294.6748,	       7641.5839 ; 		 //plane 9 point @57 
      -901.1322,	       6296.5900,	       6204.2843 ; 		 //plane 9 point @58 
