Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76128,	   7.59564,	  -1.43652
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.33899,	   7.57527,	  -1.42066
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.32924,	  -4.97678,	  -1.43303
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72718,	  -4.98874,	  -1.44883
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76128,	   7.59564,	  -1.43652
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76131,	   7.60610,	   7.62555
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.19403,	   7.59187,	   7.63017
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.22252,	  -4.98035,	   7.64108
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72718,	  -4.98874,	   7.63649
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76131,	   7.60610,	   7.62555
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.33899,	   7.57527,	  -1.42066
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76128,	   7.59564,	  -1.43652
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76131,	   7.60610,	   7.62555
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.19403,	   7.59187,	   7.63017
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.20244,	   7.59018,	   6.18386
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29265,	   7.58414,	   6.15334
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50687,	   7.58254,	   5.29766
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53392,	   7.57562,	  -0.62867
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.33899,	   7.57527,	  -1.42066
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76128,	   7.59564,	  -1.43652
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72718,	  -4.98874,	  -1.44883
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72718,	  -4.98874,	   7.63649
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76131,	   7.60610,	   7.62555
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76128,	   7.59564,	  -1.43652
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.32924,	  -4.97678,	  -1.43303
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72718,	  -4.98874,	  -1.44883
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72718,	  -4.98874,	   7.63649
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.22252,	  -4.98035,	   7.64108
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.23081,	  -4.98033,	   6.21563
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29645,	  -4.97683,	   6.18544
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50409,	  -4.97648,	   5.35604
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53134,	  -4.97644,	  -0.61195
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.32924,	  -4.97678,	  -1.43303
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.33899,	   7.57527,	  -1.42066
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.32924,	  -4.97678,	  -1.43303
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53134,	  -4.97644,	  -0.61195
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53392,	   7.57562,	  -0.62867
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.33899,	   7.57527,	  -1.42066
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53392,	   7.57562,	  -0.62867
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53134,	  -4.97644,	  -0.61195
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50409,	  -4.97648,	   5.35604
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50687,	   7.58254,	   5.29766
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53392,	   7.57562,	  -0.62867
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50687,	   7.58254,	   5.29766
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50409,	  -4.97648,	   5.35604
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29645,	  -4.97683,	   6.18544
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29265,	   7.58414,	   6.15334
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50687,	   7.58254,	   5.29766
50   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29265,	   7.58414,	   6.15334
51   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29645,	  -4.97683,	   6.18544
52   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.23081,	  -4.98033,	   6.21563
53   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.20244,	   7.59018,	   6.18386
54   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29265,	   7.58414,	   6.15334
55   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.20244,	   7.59018,	   6.18386
56   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.23081,	  -4.98033,	   6.21563
57   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.22252,	  -4.98035,	   7.64108
58   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.19403,	   7.59187,	   7.63017
59   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.20244,	   7.59018,	   6.18386
