     -3761.2900,	       7598.4783,	      -1436.5333 ; 		 //plane 0 point @1 
      3338.9881,	       7578.1101,	      -1420.6706 ; 		 //plane 0 point @2 
      3329.2419,	      -4972.5267,	      -1433.0085 ; 		 //plane 0 point @3 
     -3727.1911,	      -4984.4426,	      -1448.8048 ; 		 //plane 0 point @4 
     -3761.2900,	       7598.4783,	      -1436.5333 ; 		 //plane 0 point @5 
     -3761.3184,	       7608.9650,	       7625.5324 ; 		 //plane 1 point @6 
      1194.0284,	       7594.7424,	       7630.1443 ; 		 //plane 1 point @7 
      1222.5145,	      -4976.0843,	       7641.0921 ; 		 //plane 1 point @8 
     -3727.1911,	      -4984.4426,	       7636.5050 ; 		 //plane 1 point @9 
     -3761.3184,	       7608.9650,	       7625.5324 ; 		 //plane 1 point @10 
      3338.9881,	       7578.1101,	      -1420.6706 ; 		 //plane 2 point @11 
     -3761.2900,	       7598.4783,	      -1436.5333 ; 		 //plane 2 point @12 
     -3761.3184,	       7608.9650,	       7625.5324 ; 		 //plane 2 point @13 
      1194.0284,	       7594.7424,	       7630.1443 ; 		 //plane 2 point @14 
      1202.4374,	       7593.0446,	       6183.8370 ; 		 //plane 2 point @15 
      3292.6461,	       7587.0078,	       6153.3149 ; 		 //plane 2 point @16 
      3506.8684,	       7585.4025,	       5297.6265 ; 		 //plane 2 point @17 
      3533.9197,	       7578.4669,	       -628.6955 ; 		 //plane 2 point @18 
      3338.9881,	       7578.1101,	      -1420.6706 ; 		 //plane 2 point @19 
     -3761.2900,	       7598.4783,	      -1436.5333 ; 		 //plane 3 point @20 
     -3727.1911,	      -4984.4426,	      -1448.8048 ; 		 //plane 3 point @21 
     -3727.1911,	      -4984.4426,	       7636.5050 ; 		 //plane 3 point @22 
     -3761.3184,	       7608.9650,	       7625.5324 ; 		 //plane 3 point @23 
     -3761.2900,	       7598.4783,	      -1436.5333 ; 		 //plane 3 point @24 
      3329.2419,	      -4972.5267,	      -1433.0085 ; 		 //plane 4 point @25 
     -3727.1911,	      -4984.4426,	      -1448.8048 ; 		 //plane 4 point @26 
     -3727.1911,	      -4984.4426,	       7636.5050 ; 		 //plane 4 point @27 
      1222.5145,	      -4976.0843,	       7641.0921 ; 		 //plane 4 point @28 
      1230.7984,	      -4976.0703,	       6215.6352 ; 		 //plane 4 point @29 
      3296.4514,	      -4972.5821,	       6185.4475 ; 		 //plane 4 point @30 
      3504.0931,	      -4972.2315,	       5356.0372 ; 		 //plane 4 point @31 
      3531.3359,	      -4972.1855,	       -611.9337 ; 		 //plane 4 point @32 
      3329.2419,	      -4972.5267,	      -1433.0085 ; 		 //plane 4 point @33 
      3338.9881,	       7578.1101,	      -1420.6706 ; 		 //plane 5 point @34 
      3329.2419,	      -4972.5267,	      -1433.0085 ; 		 //plane 5 point @35 
      3531.3359,	      -4972.1855,	       -611.9337 ; 		 //plane 5 point @36 
      3533.9197,	       7578.4669,	       -628.6955 ; 		 //plane 5 point @37 
      3338.9881,	       7578.1101,	      -1420.6706 ; 		 //plane 5 point @38 
      3533.9197,	       7578.4669,	       -628.6955 ; 		 //plane 6 point @39 
      3531.3359,	      -4972.1855,	       -611.9337 ; 		 //plane 6 point @40 
      3504.0931,	      -4972.2315,	       5356.0372 ; 		 //plane 6 point @41 
      3506.8684,	       7585.4025,	       5297.6265 ; 		 //plane 6 point @42 
      3533.9197,	       7578.4669,	       -628.6955 ; 		 //plane 6 point @43 
      3506.8684,	       7585.4025,	       5297.6265 ; 		 //plane 7 point @44 
      3504.0931,	      -4972.2315,	       5356.0372 ; 		 //plane 7 point @45 
      3296.4514,	      -4972.5821,	       6185.4475 ; 		 //plane 7 point @46 
      3292.6461,	       7587.0078,	       6153.3149 ; 		 //plane 7 point @47 
      3506.8684,	       7585.4025,	       5297.6265 ; 		 //plane 7 point @48 
      3292.6461,	       7587.0078,	       6153.3149 ; 		 //plane 8 point @49 
      3296.4514,	      -4972.5821,	       6185.4475 ; 		 //plane 8 point @50 
      1230.7984,	      -4976.0703,	       6215.6352 ; 		 //plane 8 point @51 
      1202.4374,	       7593.0446,	       6183.8370 ; 		 //plane 8 point @52 
      3292.6461,	       7587.0078,	       6153.3149 ; 		 //plane 8 point @53 
      1202.4374,	       7593.0446,	       6183.8370 ; 		 //plane 9 point @54 
      1230.7984,	      -4976.0703,	       6215.6352 ; 		 //plane 9 point @55 
      1222.5145,	      -4976.0843,	       7641.0921 ; 		 //plane 9 point @56 
      1194.0284,	       7594.7424,	       7630.1443 ; 		 //plane 9 point @57 
      1202.4374,	       7593.0446,	       6183.8370 ; 		 //plane 9 point @58 
