Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76129,	   7.59848,	  -1.43653
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.33899,	   7.57811,	  -1.42067
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.32924,	  -4.97253,	  -1.43301
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72719,	  -4.98444,	  -1.44880
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76129,	   7.59848,	  -1.43653
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76132,	   7.60897,	   7.62553
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.19403,	   7.59474,	   7.63014
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.22251,	  -4.97608,	   7.64109
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72719,	  -4.98444,	   7.63651
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76132,	   7.60897,	   7.62553
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.33899,	   7.57811,	  -1.42067
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76129,	   7.59848,	  -1.43653
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76132,	   7.60897,	   7.62553
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.19403,	   7.59474,	   7.63014
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.20244,	   7.59304,	   6.18384
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29265,	   7.58701,	   6.15331
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50687,	   7.58540,	   5.29763
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53392,	   7.57847,	  -0.62870
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.33899,	   7.57811,	  -1.42067
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76129,	   7.59848,	  -1.43653
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72719,	  -4.98444,	  -1.44880
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72719,	  -4.98444,	   7.63651
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76132,	   7.60897,	   7.62553
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76129,	   7.59848,	  -1.43653
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.32924,	  -4.97253,	  -1.43301
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72719,	  -4.98444,	  -1.44880
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72719,	  -4.98444,	   7.63651
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.22251,	  -4.97608,	   7.64109
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.23080,	  -4.97607,	   6.21564
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29645,	  -4.97258,	   6.18545
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50409,	  -4.97223,	   5.35604
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53134,	  -4.97219,	  -0.61193
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.32924,	  -4.97253,	  -1.43301
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.33899,	   7.57811,	  -1.42067
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.32924,	  -4.97253,	  -1.43301
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53134,	  -4.97219,	  -0.61193
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53392,	   7.57847,	  -0.62870
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.33899,	   7.57811,	  -1.42067
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53392,	   7.57847,	  -0.62870
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53134,	  -4.97219,	  -0.61193
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50409,	  -4.97223,	   5.35604
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50687,	   7.58540,	   5.29763
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53392,	   7.57847,	  -0.62870
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50687,	   7.58540,	   5.29763
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50409,	  -4.97223,	   5.35604
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29645,	  -4.97258,	   6.18545
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29265,	   7.58701,	   6.15331
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.50687,	   7.58540,	   5.29763
50   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29265,	   7.58701,	   6.15331
51   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29645,	  -4.97258,	   6.18545
52   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.23080,	  -4.97607,	   6.21564
53   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.20244,	   7.59304,	   6.18384
54   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29265,	   7.58701,	   6.15331
55   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.20244,	   7.59304,	   6.18384
56   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.23080,	  -4.97607,	   6.21564
57   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.22251,	  -4.97608,	   7.64109
58   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.19403,	   7.59474,	   7.63014
59   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.20244,	   7.59304,	   6.18384
