Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.38184,	   6.50237,	  -1.43470
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.70077,	   6.55855,	  -1.42919
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.83308,	  -7.39849,	  -1.43032
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.27170,	  -7.46699,	  -1.43586
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.38184,	   6.50237,	  -1.43470
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.38179,	   6.49505,	   7.65366
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.61100,	   6.53465,	   7.65782
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.74387,	  -7.41863,	   7.62740
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.27170,	  -7.46699,	   7.62321
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.38179,	   6.49505,	   7.65366
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.70077,	   6.55855,	  -1.42919
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.38184,	   6.50237,	  -1.43470
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.38179,	   6.49505,	   7.65366
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.61100,	   6.53465,	   7.65782
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.61160,	   6.53580,	   6.24332
