      4381.8441,	       6502.3720,	      -1434.7049 ; 		 //plane 0 point @1 
     -2700.7661,	       6558.5520,	      -1429.1862 ; 		 //plane 0 point @2 
     -2833.0795,	      -7398.4870,	      -1430.3238 ; 		 //plane 0 point @3 
      4271.7009,	      -7466.9894,	      -1435.8609 ; 		 //plane 0 point @4 
      4381.8441,	       6502.3720,	      -1434.7049 ; 		 //plane 0 point @5 
      4381.7864,	       6495.0513,	       7653.6599 ; 		 //plane 1 point @6 
      -611.0030,	       6534.6544,	       7657.8155 ; 		 //plane 1 point @7 
      -743.8711,	      -7418.6306,	       7627.4043 ; 		 //plane 1 point @8 
      4271.7009,	      -7466.9894,	       7623.2109 ; 		 //plane 1 point @9 
      4381.7864,	       6495.0513,	       7653.6599 ; 		 //plane 1 point @10 
     -2700.7661,	       6558.5520,	      -1429.1862 ; 		 //plane 2 point @11 
      4381.8441,	       6502.3720,	      -1434.7049 ; 		 //plane 2 point @12 
      4381.7864,	       6495.0513,	       7653.6599 ; 		 //plane 2 point @13 
      -611.0030,	       6534.6544,	       7657.8155 ; 		 //plane 2 point @14 
      -611.5980,	       6535.7986,	       6243.3243 ; 		 //plane 2 point @15 
     -2691.3561,	       6552.3359,	       6194.7054 ; 		 //plane 2 point @16 
     -2898.3288,	       6554.6648,	       5341.8257 ; 		 //plane 2 point @17 
     -2902.8131,	       6559.5080,	       -626.3608 ; 		 //plane 2 point @18 
     -2700.7661,	       6558.5520,	      -1429.1862 ; 		 //plane 2 point @19 
      4381.8441,	       6502.3720,	      -1434.7049 ; 		 //plane 3 point @20 
      4271.7009,	      -7466.9894,	      -1435.8609 ; 		 //plane 3 point @21 
      4271.7009,	      -7466.9894,	       7623.2109 ; 		 //plane 3 point @22 
      4381.7864,	       6495.0513,	       7653.6599 ; 		 //plane 3 point @23 
      4381.8441,	       6502.3720,	      -1434.7049 ; 		 //plane 3 point @24 
     -2833.0795,	      -7398.4870,	      -1430.3238 ; 		 //plane 4 point @25 
      4271.7009,	      -7466.9894,	      -1435.8609 ; 		 //plane 4 point @26 
      4271.7009,	      -7466.9894,	       7623.2109 ; 		 //plane 4 point @27 
      -743.8711,	      -7418.6306,	       7627.4043 ; 		 //plane 4 point @28 
      -744.4797,	      -7418.6247,	       6206.2966 ; 		 //plane 4 point @29 
     -2832.8441,	      -7398.4893,	       6157.4850 ; 		 //plane 4 point @30 
     -3035.0311,	      -7396.5399,	       5324.3384 ; 		 //plane 4 point @31 
     -3039.5367,	      -7396.4964,	       -609.9363 ; 		 //plane 4 point @32 
     -2833.0795,	      -7398.4870,	      -1430.3238 ; 		 //plane 4 point @33 
     -2700.7661,	       6558.5520,	      -1429.1862 ; 		 //plane 5 point @34 
     -2833.0795,	      -7398.4870,	      -1430.3238 ; 		 //plane 5 point @35 
     -3039.5367,	      -7396.4964,	       -609.9363 ; 		 //plane 5 point @36 
     -2902.8131,	       6559.5080,	       -626.3608 ; 		 //plane 5 point @37 
     -2700.7661,	       6558.5520,	      -1429.1862 ; 		 //plane 5 point @38 
     -2902.8131,	       6559.5080,	       -626.3608 ; 		 //plane 6 point @39 
     -3039.5367,	      -7396.4964,	       -609.9363 ; 		 //plane 6 point @40 
     -3035.0311,	      -7396.5399,	       5324.3384 ; 		 //plane 6 point @41 
     -2898.3288,	       6554.6648,	       5341.8257 ; 		 //plane 6 point @42 
     -2902.8131,	       6559.5080,	       -626.3608 ; 		 //plane 6 point @43 
     -2898.3288,	       6554.6648,	       5341.8257 ; 		 //plane 7 point @44 
     -3035.0311,	      -7396.5399,	       5324.3384 ; 		 //plane 7 point @45 
     -2832.8441,	      -7398.4893,	       6157.4850 ; 		 //plane 7 point @46 
     -2691.3561,	       6552.3359,	       6194.7054 ; 		 //plane 7 point @47 
     -2898.3288,	       6554.6648,	       5341.8257 ; 		 //plane 7 point @48 
     -2691.3561,	       6552.3359,	       6194.7054 ; 		 //plane 8 point @49 
     -2832.8441,	      -7398.4893,	       6157.4850 ; 		 //plane 8 point @50 
      -744.4797,	      -7418.6247,	       6206.2966 ; 		 //plane 8 point @51 
      -611.5980,	       6535.7986,	       6243.3243 ; 		 //plane 8 point @52 
     -2691.3561,	       6552.3359,	       6194.7054 ; 		 //plane 8 point @53 
      -611.5980,	       6535.7986,	       6243.3243 ; 		 //plane 9 point @54 
      -744.4797,	      -7418.6247,	       6206.2966 ; 		 //plane 9 point @55 
      -743.8711,	      -7418.6306,	       7627.4043 ; 		 //plane 9 point @56 
      -611.0030,	       6534.6544,	       7657.8155 ; 		 //plane 9 point @57 
      -611.5980,	       6535.7986,	       6243.3243 ; 		 //plane 9 point @58 
