     -3828.6587,	       5663.4594,	      -1436.4758 ; 		 //plane 0 point @1 
      3196.1876,	       5784.8240,	      -1444.7666 ; 		 //plane 0 point @2 
      3435.7996,	      -8179.7039,	      -1427.8333 ; 		 //plane 0 point @3 
     -3598.7522,	      -8294.9017,	      -1419.5389 ; 		 //plane 0 point @4 
     -3828.6587,	       5663.4594,	      -1436.4758 ; 		 //plane 0 point @5 
     -3828.6281,	       5661.5990,	       7634.6241 ; 		 //plane 1 point @6 
      1114.8416,	       5747.0030,	       7637.0062 ; 		 //plane 1 point @7 
      1352.4628,	      -8213.8206,	       7644.6117 ; 		 //plane 1 point @8 
     -3598.7522,	      -8294.9017,	       7642.2235 ; 		 //plane 1 point @9 
     -3828.6281,	       5661.5990,	       7634.6241 ; 		 //plane 1 point @10 
      3196.1876,	       5784.8240,	      -1444.7666 ; 		 //plane 2 point @11 
     -3828.6587,	       5663.4594,	      -1436.4758 ; 		 //plane 2 point @12 
     -3828.6281,	       5661.5990,	       7634.6241 ; 		 //plane 2 point @13 
      1114.8416,	       5747.0030,	       7637.0062 ; 		 //plane 2 point @14 
      1110.8786,	       5747.2260,	       6216.1871 ; 		 //plane 2 point @15 
      3185.8051,	       5783.0841,	       6161.8163 ; 		 //plane 2 point @16 
      3383.3250,	       5786.6726,	       5303.5635 ; 		 //plane 2 point @17 
      3399.7391,	       5788.1731,	       -628.2928 ; 		 //plane 2 point @18 
      3196.1876,	       5784.8240,	      -1444.7666 ; 		 //plane 2 point @19 
     -3828.6587,	       5663.4594,	      -1436.4758 ; 		 //plane 3 point @20 
     -3598.7522,	      -8294.9017,	      -1419.5389 ; 		 //plane 3 point @21 
     -3598.7522,	      -8294.9017,	       7642.2235 ; 		 //plane 3 point @22 
     -3828.6281,	       5661.5990,	       7634.6241 ; 		 //plane 3 point @23 
     -3828.6587,	       5663.4594,	      -1436.4758 ; 		 //plane 3 point @24 
      3435.7996,	      -8179.7039,	      -1427.8333 ; 		 //plane 4 point @25 
     -3598.7522,	      -8294.9017,	      -1419.5389 ; 		 //plane 4 point @26 
     -3598.7522,	      -8294.9017,	       7642.2235 ; 		 //plane 4 point @27 
      1352.4628,	      -8213.8206,	       7644.6117 ; 		 //plane 4 point @28 
      1348.4972,	      -8213.8855,	       6221.1071 ; 		 //plane 4 point @29 
      3441.0545,	      -8179.6178,	       6166.2758 ; 		 //plane 4 point @30 
      3631.7382,	      -8176.4952,	       5337.7543 ; 		 //plane 4 point @31 
      3648.1246,	      -8176.2269,	       -576.1690 ; 		 //plane 4 point @32 
      3435.7996,	      -8179.7039,	      -1427.8333 ; 		 //plane 4 point @33 
      3196.1876,	       5784.8240,	      -1444.7666 ; 		 //plane 5 point @34 
      3435.7996,	      -8179.7039,	      -1427.8333 ; 		 //plane 5 point @35 
      3648.1246,	      -8176.2269,	       -576.1690 ; 		 //plane 5 point @36 
      3399.7391,	       5788.1731,	       -628.2928 ; 		 //plane 5 point @37 
      3196.1876,	       5784.8240,	      -1444.7666 ; 		 //plane 5 point @38 
      3399.7391,	       5788.1731,	       -628.2928 ; 		 //plane 6 point @39 
      3648.1246,	      -8176.2269,	       -576.1690 ; 		 //plane 6 point @40 
      3631.7382,	      -8176.4952,	       5337.7543 ; 		 //plane 6 point @41 
      3383.3250,	       5786.6726,	       5303.5635 ; 		 //plane 6 point @42 
      3399.7391,	       5788.1731,	       -628.2928 ; 		 //plane 6 point @43 
      3383.3250,	       5786.6726,	       5303.5635 ; 		 //plane 7 point @44 
      3631.7382,	      -8176.4952,	       5337.7543 ; 		 //plane 7 point @45 
      3441.0545,	      -8179.6178,	       6166.2758 ; 		 //plane 7 point @46 
      3185.8051,	       5783.0841,	       6161.8163 ; 		 //plane 7 point @47 
      3383.3250,	       5786.6726,	       5303.5635 ; 		 //plane 7 point @48 
      3185.8051,	       5783.0841,	       6161.8163 ; 		 //plane 8 point @49 
      3441.0545,	      -8179.6178,	       6166.2758 ; 		 //plane 8 point @50 
      1348.4972,	      -8213.8855,	       6221.1071 ; 		 //plane 8 point @51 
      1110.8786,	       5747.2260,	       6216.1871 ; 		 //plane 8 point @52 
      3185.8051,	       5783.0841,	       6161.8163 ; 		 //plane 8 point @53 
      1110.8786,	       5747.2260,	       6216.1871 ; 		 //plane 9 point @54 
      1348.4972,	      -8213.8855,	       6221.1071 ; 		 //plane 9 point @55 
      1352.4628,	      -8213.8206,	       7644.6117 ; 		 //plane 9 point @56 
      1114.8416,	       5747.0030,	       7637.0062 ; 		 //plane 9 point @57 
      1110.8786,	       5747.2260,	       6216.1871 ; 		 //plane 9 point @58 
