   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
AMG             ,    0 00 01 ,   90 02 49,          0,      0.000,      0.000,            0,            0,          0
2               ,  359 58 11 ,   90 02 49,      5.372,      0.000,      0.000,       -0.003,        5.372,     -0.004
3               ,  210 19 56 ,  139 22 31,      1.859,      0.000,      0.000,       -0.611,       -1.045,     -1.411
4               ,  207 32 00 ,    8 07 22,      7.722,      0.000,      0.000,       -0.504,       -0.967,      7.644
5               ,   23 32 36 ,  101 50 52,      6.036,      0.000,      0.000,        2.360,        5.416,     -1.239
6               ,   18 43 19 ,  102 10 32,      5.836,      0.000,      0.000,        1.831,        5.403,     -1.231
7               ,   23 43 06 ,   92 49 58,      5.921,      0.000,      0.000,        2.379,        5.414,     -0.293
8               ,   18 47 41 ,   84 02 29,      5.738,      0.000,      0.000,        1.839,        5.403,      0.596
9               ,   23 14 00 ,   76 05 24,      6.066,      0.000,      0.000,        2.323,        5.411,      1.458
10              ,   19 06 10 ,   68 42 00,      6.136,      0.000,      0.000,        1.871,        5.402,      2.229
11              ,   23 36 35 ,   63 13 17,      6.609,      0.000,      0.000,        2.363,        5.406,      2.978
12              ,   18 50 16 ,   56 43 24,      6.822,      0.000,      0.000,        1.842,        5.398,      3.743
13              ,   23 11 11 ,   50 37 50,      7.608,      0.000,      0.000,        2.316,        5.406,      4.826
14              ,   19 02 48 ,   44 27 24,      8.145,      0.000,      0.000,        1.862,        5.392,      5.814
15              ,    4 07 34 ,   36 03 56,      9.142,      0.000,      0.000,        0.387,        5.368,      7.390
16              ,  359 23 43 ,   41 02 57,      8.159,      0.000,      0.000,       -0.057,        5.358,      6.153
17              ,    4 32 25 ,   45 12 38,      7.585,      0.000,      0.000,        0.426,        5.366,      5.344
18              ,  359 23 12 ,   51 57 56,      6.809,      0.000,      0.000,       -0.057,        5.363,      4.195
19              ,    4 14 28 ,   58 28 04,      6.319,      0.000,      0.000,        0.398,        5.371,      3.304
20              ,  359 05 21 ,   66 20 50,      5.861,      0.000,      0.000,       -0.085,        5.368,      2.352
21              ,    4 26 50 ,   71 29 46,      5.686,      0.000,      0.000,        0.418,        5.375,      1.804
22              ,  359 23 31 ,   78 51 46,      5.474,      0.000,      0.000,       -0.057,        5.370,      1.057
23              ,    4 24 01 ,   84 59 28,      5.418,      0.000,      0.000,        0.414,        5.381,      0.473
24              ,  359 41 33 ,   94 27 33,      5.388,      0.000,      0.000,       -0.029,        5.371,     -0.419
25              ,    4 29 57 ,  102 28 29,      5.533,      0.000,      0.000,        0.424,        5.386,     -1.195
26              ,  344 57 15 ,  103 05 35,      5.682,      0.000,      0.000,       -1.437,        5.344,     -1.287
27              ,  339 58 13 ,   94 02 27,      5.699,      0.000,      0.000,       -1.947,        5.341,     -0.402
28              ,  343 58 20 ,   84 42 12,      5.577,      0.000,      0.000,       -1.533,        5.337,      0.515
29              ,  339 57 42 ,   77 54 20,      5.809,      0.000,      0.000,       -1.946,        5.336,      1.217
30              ,  344 16 44 ,   71 14 48,      5.857,      0.000,      0.000,       -1.503,        5.338,      1.883
31              ,  340 01 15 ,   63 31 17,      6.336,      0.000,      0.000,       -1.938,        5.330,      2.825
32              ,  344 44 56 ,   56 40 27,      6.618,      0.000,      0.000,       -1.455,        5.335,      3.636
33              ,  340 23 25 ,   52 28 07,      7.129,      0.000,      0.000,       -1.897,        5.325,      4.343
34              ,  345 17 32 ,   45 50 00,      7.696,      0.000,      0.000,       -1.402,        5.340,      5.362
35              ,  340 25 47 ,   42 11 49,      8.430,      0.000,      0.000,       -1.897,        5.335,      6.246
36              ,  344 09 39 ,   37 23 42,      9.146,      0.000,      0.000,       -1.516,        5.343,      7.266
37              ,  339 39 41 ,   37 25 58,      9.375,      0.000,      0.000,       -1.981,        5.343,      7.445
38              ,  325 18 20 ,   41 06 24,      9.830,      0.000,      0.000,       -3.679,        5.314,      7.406
39              ,  327 49 04 ,   45 02 39,      8.852,      0.000,      0.000,       -3.336,        5.302,      6.254
40              ,  325 06 07 ,   50 40 18,      8.351,      0.000,      0.000,       -3.696,        5.298,      5.292
41              ,  328 01 19 ,   55 25 46,      7.584,      0.000,      0.000,       -3.307,        5.297,      4.303
42              ,  325 04 23 ,   62 05 34,      7.311,      0.000,      0.000,       -3.699,        5.297,      3.422
43              ,  327 58 07 ,   69 15 20,      6.682,      0.000,      0.000,       -3.314,        5.297,      2.367
44              ,  324 55 31 ,   76 40 02,      6.659,      0.000,      0.000,       -3.724,        5.303,      1.536
45              ,  328 06 26 ,   81 10 15,      6.321,      0.000,      0.000,       -3.300,        5.303,      0.970
46              ,  324 27 27 ,   85 49 16,      6.538,      0.000,      0.000,       -3.791,        5.306,      0.476
47              ,  328 29 42 ,  102 32 50,      6.386,      0.000,      0.000,       -3.258,        5.315,     -1.387
48              ,   27 24 47 ,  100 17 13,      7.017,      0.000,      0.000,        3.179,        6.129,     -1.253
49              ,   24 37 43 ,   92 09 27,      6.750,      0.000,      0.000,        2.811,        6.131,     -0.254
50              ,   28 09 07 ,   83 32 05,      6.993,      0.000,      0.000,        3.278,        6.126,      0.787
51              ,   24 53 19 ,   76 00 49,      6.958,      0.000,      0.000,        2.842,        6.125,      1.682
52              ,   27 56 48 ,   68 17 53,      7.465,      0.000,      0.000,        3.250,        6.127,      2.760
53              ,   24 49 05 ,   58 15 50,      7.923,      0.000,      0.000,        2.828,        6.116,      4.168
54              ,   27 31 37 ,   51 55 15,      8.782,      0.000,      0.000,        3.195,        6.130,      5.416
55              ,   24 29 58 ,   48 19 40,      9.003,      0.000,      0.000,        2.789,        6.120,      5.986
56              ,    8 21 15 ,   39 45 32,      9.633,      0.000,      0.000,        0.895,        6.095,      7.405
57              ,    9 43 56 ,   44 55 04,      8.760,      0.000,      0.000,        1.046,        6.096,      6.203
58              ,    7 57 38 ,   51 35 39,      7.846,      0.000,      0.000,        0.852,        6.089,      4.874
59              ,   12 18 35 ,   60 47 13,      7.157,      0.000,      0.000,        1.332,        6.103,      3.493
60              ,    8 01 20 ,   67 32 31,      6.656,      0.000,      0.000,        0.858,        6.091,      2.543
61              ,   12 20 27 ,   75 32 02,      6.452,      0.000,      0.000,        1.335,        6.103,      1.612
62              ,    8 20 36 ,   83 14 25,      6.208,      0.000,      0.000,        0.895,        6.100,      0.731
63              ,   12 37 22 ,   91 57 47,      6.266,      0.000,      0.000,        1.369,        6.111,     -0.215
64              ,    8 20 04 ,  101 56 28,      6.307,      0.000,      0.000,        0.894,        6.105,     -1.305
65              ,    8 17 24 ,  101 55 30,      6.306,      0.000,      0.000,        0.890,        6.105,     -1.303
66              ,  355 26 43 ,  101 49 10,      6.228,      0.000,      0.000,       -0.484,        6.076,     -1.276
67              ,  350 32 57 ,   89 57 19,      6.149,      0.000,      0.000,       -1.010,        6.065,      0.005
68              ,  355 02 49 ,   80 55 35,      6.173,      0.000,      0.000,       -0.526,        6.073,      0.974
69              ,  350 22 26 ,   73 10 13,      6.423,      0.000,      0.000,       -1.028,        6.061,      1.859
70              ,  355 22 39 ,   65 00 17,      6.722,      0.000,      0.000,       -0.491,        6.072,      2.840
71              ,  350 32 30 ,   60 09 49,      7.082,      0.000,      0.000,       -1.010,        6.060,      3.524
72              ,  354 57 37 ,   53 35 46,      7.570,      0.000,      0.000,       -0.535,        6.069,      4.493
73              ,  350 23 57 ,   49 11 56,      8.113,      0.000,      0.000,       -1.024,        6.055,      5.301
74              ,  355 31 05 ,   44 14 01,      8.717,      0.000,      0.000,       -0.475,        6.062,      6.245
75              ,  350 36 07 ,   40 48 44,      9.400,      0.000,      0.000,       -1.003,        6.061,      7.114
76              ,  354 35 07 ,   39 08 57,      9.639,      0.000,      0.000,       -0.574,        6.058,      7.475
77              ,  334 20 11 ,   41 58 19,     10.025,      0.000,      0.000,       -2.904,        6.043,      7.453
78              ,  337 39 57 ,   46 50 24,      8.937,      0.000,      0.000,       -2.477,        6.030,      6.113
79              ,  334 16 19 ,   54 22 34,      8.218,      0.000,      0.000,       -2.900,        6.018,      4.787
80              ,  337 59 50 ,   59 25 48,      7.541,      0.000,      0.000,       -2.433,        6.020,      3.835
81              ,  334 21 16 ,   65 29 33,      7.341,      0.000,      0.000,       -2.891,        6.022,      3.045
82              ,  337 57 28 ,   73 19 35,      6.792,      0.000,      0.000,       -2.442,        6.031,      1.949
83              ,  334 34 21 ,   79 59 35,      6.779,      0.000,      0.000,       -2.866,        6.029,      1.178
84              ,  338 11 20 ,   89 01 42,      6.502,      0.000,      0.000,       -2.415,        6.035,      0.110
85              ,  334 19 29 ,   96 09 28,      6.741,      0.000,      0.000,       -2.904,        6.041,     -0.723
86              ,  336 53 30 ,  101 44 48,      6.711,      0.000,      0.000,       -2.579,        6.043,     -1.366
87              ,   29 47 54 ,   96 19 02,      6.831,      0.000,      0.000,        3.374,        5.891,     -0.752
88              ,   35 22 39 ,  102 53 23,      5.889,      0.000,      0.000,        3.323,        4.680,     -1.314
89              ,   45 31 06 ,   98 43 59,      4.816,      0.000,      0.000,        3.396,        3.335,     -0.731
90              ,   54 08 50 ,  107 47 45,      4.266,      0.000,      0.000,        3.292,        2.379,     -1.304
91              ,   71 47 28 ,  101 12 08,      3.711,      0.000,      0.000,        3.458,        1.138,     -0.721
92              ,   87 43 10 ,  111 10 18,      3.573,      0.000,      0.000,        3.329,        0.133,     -1.290
93              ,  108 15 12 ,  100 59 04,      3.749,      0.000,      0.000,        3.495,       -1.153,     -0.714
94              ,  124 42 29 ,  108 08 29,      4.290,      0.000,      0.000,        3.351,       -2.321,     -1.336
95              ,  133 57 14 ,   98 43 46,      4.937,      0.000,      0.000,        3.513,       -3.387,     -0.749
96              ,  142 58 00 ,  102 22 48,      5.797,      0.000,      0.000,        3.410,       -4.520,     -1.243
97              ,  148 14 14 ,   95 52 48,      6.821,      0.000,      0.000,        3.572,       -5.769,     -0.699
98              ,  155 41 31 ,   99 11 51,      8.496,      0.000,      0.000,        3.452,       -7.643,     -1.358
99              ,  154 07 05 ,   95 23 33,      8.254,      0.000,      0.000,        3.587,       -7.393,     -0.776
100             ,  150 42 02 ,   97 40 09,      7.257,      0.000,      0.000,        3.520,       -6.272,     -0.968
101             ,  143 50 17 ,   99 34 40,      5.988,      0.000,      0.000,        3.484,       -4.767,     -0.996
102             ,  135 30 02 ,  101 54 27,      5.023,      0.000,      0.000,        3.445,       -3.506,     -1.036
103             ,  123 19 21 ,  104 06 04,      4.233,      0.000,      0.000,        3.431,       -2.255,     -1.031
104             ,  109 48 50 ,  106 43 23,      3.772,      0.000,      0.000,        3.399,       -1.225,     -1.085
105             ,   94 10 06 ,  107 16 55,      3.562,      0.000,      0.000,        3.392,       -0.247,     -1.058
106             ,   74 23 12 ,  107 16 58,      3.660,      0.000,      0.000,        3.366,        0.941,     -1.087
107             ,   58 23 26 ,  105 19 08,      4.082,      0.000,      0.000,        3.353,        2.064,     -1.078
108             ,   46 06 53 ,  102 38 58,      4.736,      0.000,      0.000,        3.330,        3.203,     -1.037
109             ,   36 53 43 ,  101 07 11,      5.605,      0.000,      0.000,        3.302,        4.399,     -1.081
110             ,   29 13 58 ,   98 50 50,      6.814,      0.000,      0.000,        3.288,        5.876,     -1.048
111             ,   30 10 20 ,   93 47 33,      6.773,      0.000,      0.000,        3.397,        5.843,     -0.448
112             ,   30 10 11 ,   86 29 59,      6.752,      0.000,      0.000,        3.387,        5.826,      0.412
113             ,   30 01 26 ,   79 39 48,      6.873,      0.000,      0.000,        3.383,        5.854,      1.233
114             ,   30 01 08 ,   73 00 18,      7.062,      0.000,      0.000,        3.379,        5.848,      2.064
115             ,   30 01 16 ,   67 37 42,      7.295,      0.000,      0.000,        3.375,        5.841,      2.776
116             ,   30 01 21 ,   62 27 13,      7.606,      0.000,      0.000,        3.374,        5.839,      3.517
117             ,   36 25 02 ,   59 31 31,      6.672,      0.000,      0.000,        3.414,        4.627,      3.384
118             ,   36 31 21 ,   65 26 48,      6.309,      0.000,      0.000,        3.415,        4.612,      2.622
119             ,   36 25 03 ,   70 38 30,      6.076,      0.000,      0.000,        3.403,        4.613,      2.014
120             ,   36 24 57 ,   78 30 50,      5.862,      0.000,      0.000,        3.410,        4.622,      1.167
121             ,   36 24 57 ,   83 45 21,      5.778,      0.000,      0.000,        3.410,        4.622,      0.628
122             ,   36 24 45 ,   92 49 54,      5.755,      0.000,      0.000,        3.412,        4.626,     -0.284
123             ,   50 24 04 ,   93 18 17,      4.479,      0.000,      0.000,        3.445,        2.850,     -0.258
124             ,   50 24 14 ,   82 09 50,      4.510,      0.000,      0.000,        3.443,        2.848,      0.615
125             ,   50 24 07 ,   74 21 21,      4.636,      0.000,      0.000,        3.440,        2.846,      1.250
126             ,   50 24 07 ,   64 44 30,      4.923,      0.000,      0.000,        3.431,        2.838,      2.101
127             ,   50 24 09 ,   58 04 57,      5.247,      0.000,      0.000,        3.432,        2.839,      2.774
128             ,   50 24 03 ,   51 30 01,      5.683,      0.000,      0.000,        3.427,        2.835,      3.538
129             ,   66 45 47 ,   47 13 10,      5.109,      0.000,      0.000,        3.446,        1.479,      3.470
130             ,   66 45 48 ,   53 51 37,      4.655,      0.000,      0.000,        3.454,        1.483,      2.745
131             ,   66 45 41 ,   62 10 58,      4.264,      0.000,      0.000,        3.465,        1.488,      1.990
132             ,   66 45 48 ,   72 11 00,      3.962,      0.000,      0.000,        3.466,        1.488,      1.212
133             ,   66 45 49 ,   81 43 55,      3.825,      0.000,      0.000,        3.478,        1.493,      0.550
134             ,   67 04 06 ,   93 18 16,      3.785,      0.000,      0.000,        3.480,        1.472,     -0.218
135             ,   92 49 22 ,   93 17 15,      3.512,      0.000,      0.000,        3.502,       -0.173,     -0.201
136             ,   92 49 28 ,   79 35 54,      3.563,      0.000,      0.000,        3.500,       -0.173,      0.643
137             ,   92 49 28 ,   70 54 14,      3.706,      0.000,      0.000,        3.498,       -0.173,      1.212
138             ,   92 49 34 ,   60 08 06,      4.031,      0.000,      0.000,        3.492,       -0.172,      2.007
139             ,   92 49 26 ,   51 47 10,      4.442,      0.000,      0.000,        3.486,       -0.172,      2.748
140             ,   92 49 35 ,   45 09 26,      4.913,      0.000,      0.000,        3.479,       -0.172,      3.465
141             ,  117 23 47 ,   47 35 16,      5.365,      0.000,      0.000,        3.517,       -1.823,      3.619
142             ,  117 23 41 ,   55 28 44,      4.816,      0.000,      0.000,        3.523,       -1.826,      2.730
143             ,  117 23 36 ,   62 31 48,      4.478,      0.000,      0.000,        3.528,       -1.828,      2.066
144             ,  117 23 30 ,   73 13 00,      4.156,      0.000,      0.000,        3.533,       -1.831,      1.200
145             ,  117 23 36 ,   82 25 11,      4.018,      0.000,      0.000,        3.536,       -1.832,      0.530
146             ,  117 23 36 ,   94 31 02,      3.995,      0.000,      0.000,        3.536,       -1.833,     -0.315
147             ,  132 57 19 ,   94 30 15,      4.865,      0.000,      0.000,        3.550,       -3.305,     -0.382
148             ,  132 57 21 ,   82 26 57,      4.893,      0.000,      0.000,        3.550,       -3.305,      0.643
149             ,  132 57 22 ,   75 02 52,      5.019,      0.000,      0.000,        3.549,       -3.304,      1.295
150             ,  132 57 33 ,   65 54 44,      5.307,      0.000,      0.000,        3.546,       -3.302,      2.166
151             ,  132 57 28 ,   60 11 38,      5.584,      0.000,      0.000,        3.546,       -3.302,      2.775
152             ,  133 03 37 ,   54 42 25,      5.931,      0.000,      0.000,        3.537,       -3.305,      3.427
153             ,  142 47 13 ,   59 37 52,      6.844,      0.000,      0.000,        3.571,       -4.703,      3.460
154             ,  142 40 42 ,   65 34 57,      6.474,      0.000,      0.000,        3.574,       -4.688,      2.676
155             ,  142 40 34 ,   70 29 50,      6.252,      0.000,      0.000,        3.573,       -4.686,      2.087
156             ,  142 40 23 ,   78 38 46,      6.007,      0.000,      0.000,        3.571,       -4.683,      1.183
157             ,  142 40 33 ,   84 35 54,      5.922,      0.000,      0.000,        3.575,       -4.688,      0.557
158             ,  144 04 12 ,   93 57 49,      5.917,      0.000,      0.000,        3.464,       -4.780,     -0.409
159             ,  150 20 06 ,   92 21 25,      7.289,      0.000,      0.000,        3.605,       -6.329,     -0.300
160             ,  150 20 10 ,   84 50 52,      7.305,      0.000,      0.000,        3.601,       -6.322,      0.656
161             ,  150 20 27 ,   80 28 31,      7.367,      0.000,      0.000,        3.595,       -6.313,      1.219
162             ,  150 20 23 ,   74 18 13,      7.556,      0.000,      0.000,        3.600,       -6.321,      2.044
163             ,  150 20 11 ,   69 40 37,      7.750,      0.000,      0.000,        3.597,       -6.315,      2.692
164             ,  150 20 39 ,   64 10 33,      8.062,      0.000,      0.000,        3.591,       -6.307,      3.512
165             ,  154 11 33 ,   92 17 16,      8.350,      0.000,      0.000,        3.632,       -7.511,     -0.333
166             ,  154 05 46 ,   85 30 13,      8.345,      0.000,      0.000,        3.634,       -7.483,      0.654
167             ,  154 05 47 ,   81 05 02,      8.397,      0.000,      0.000,        3.624,       -7.462,      1.301
168             ,  154 11 45 ,   74 22 30,      8.586,      0.000,      0.000,        3.599,       -7.444,      2.313
169             ,  154 11 41 ,   71 43 46,      8.763,      0.000,      0.000,        3.622,       -7.491,      2.747
170             ,  154 12 00 ,   66 43 08,      9.011,      0.000,      0.000,        3.602,       -7.452,      3.561
171             ,  154 51 58 ,   60 02 18,      9.831,      0.000,      0.000,        3.618,       -7.711,      4.910
172             ,  153 05 57 ,   56 51 35,      9.526,      0.000,      0.000,        3.609,       -7.113,      5.208
173             ,  149 43 54 ,   57 33 04,      8.417,      0.000,      0.000,        3.580,       -6.134,      4.516
174             ,  149 43 34 ,   53 49 12,      8.779,      0.000,      0.000,        3.572,       -6.120,      5.183
175             ,  143 40 21 ,   56 01 59,      7.265,      0.000,      0.000,        3.569,       -4.854,      4.059
176             ,  142 52 01 ,   50 01 20,      7.691,      0.000,      0.000,        3.558,       -4.699,      4.942
177             ,  136 37 08 ,   51 43 50,      6.577,      0.000,      0.000,        3.547,       -3.753,      4.073
178             ,  135 57 34 ,   44 20 52,      7.285,      0.000,      0.000,        3.540,       -3.661,      5.210
179             ,  124 17 41 ,   45 51 17,      5.949,      0.000,      0.000,        3.527,       -2.405,      4.143
180             ,  124 17 47 ,   39 46 25,      6.660,      0.000,      0.000,        3.520,       -2.401,      5.119
181             ,  107 41 44 ,   42 25 49,      5.438,      0.000,      0.000,        3.496,       -1.115,      4.014
182             ,  106 52 55 ,   35 20 28,      6.286,      0.000,      0.000,        3.479,       -1.056,      5.127
183             ,   86 35 46 ,   41 00 26,      5.292,      0.000,      0.000,        3.466,        0.206,      3.993
184             ,   86 35 54 ,   34 00 33,      6.188,      0.000,      0.000,        3.455,        0.205,      5.130
185             ,   65 50 56 ,   43 19 51,      5.488,      0.000,      0.000,        3.437,        1.541,      3.992
186             ,   63 00 44 ,   36 45 43,      6.409,      0.000,      0.000,        3.418,        1.741,      5.135
187             ,   53 29 49 ,   46 57 51,      5.830,      0.000,      0.000,        3.425,        2.535,      3.979
188             ,   51 11 12 ,   40 23 23,      6.765,      0.000,      0.000,        3.416,        2.748,      5.153
189             ,   44 37 47 ,   50 14 08,      6.327,      0.000,      0.000,        3.417,        3.461,      4.047
190             ,   41 11 13 ,   45 15 48,      7.278,      0.000,      0.000,        3.404,        3.891,      5.122
191             ,   33 46 56 ,   55 51 54,      7.359,      0.000,      0.000,        3.387,        5.063,      4.130
192             ,   32 31 26 ,   50 43 46,      8.130,      0.000,      0.000,        3.384,        5.307,      5.146
193             ,   29 36 27 ,   53 04 13,      8.543,      0.000,      0.000,        3.374,        5.938,      5.133
194             ,   29 40 42 ,   58 14 40,      8.013,      0.000,      0.000,        3.374,        5.920,      4.217
195             ,   29 14 57 ,   51 46 05,      8.736,      0.000,      0.000,        3.353,        5.988,      5.407
196             ,   28 07 20 ,   47 52 03,      9.094,      0.000,      0.000,        3.179,        5.948,      6.100
197             ,   32 08 10 ,   47 36 06,      8.425,      0.000,      0.000,        3.310,        5.268,      5.681
198             ,   35 47 15 ,   46 05 40,      7.959,      0.000,      0.000,        3.353,        4.651,      5.519
199             ,   35 22 12 ,   43 12 41,      8.185,      0.000,      0.000,        3.244,        4.570,      5.965
200             ,   42 44 34 ,   42 01 38,      7.399,      0.000,      0.000,        3.362,        3.638,      5.496
201             ,   42 34 50 ,   39 10 38,      7.672,      0.000,      0.000,        3.279,        3.569,      5.947
202             ,   48 09 05 ,   38 23 23,      7.217,      0.000,      0.000,        3.339,        2.990,      5.657
