      3361.3427,	       8123.6761,	      -1396.8777 ; 		 //plane 0 point @1 
     -3712.7000,	       8167.4506,	      -1389.5248 ; 		 //plane 0 point @2 
     -3160.4251,	       -255.0360,	      -1414.4589 ; 		 //plane 0 point @3 
     -2243.2370,	      -5107.5302,	      -1429.4362 ; 		 //plane 0 point @4 
      3289.5229,	      -5139.7018,	      -1435.1811 ; 		 //plane 0 point @5 
      3361.3427,	       8123.6761,	      -1396.8777 ; 		 //plane 0 point @6 
     -3697.7034,	       8170.7784,	       6211.2902 ; 		 //plane 1 point @7 
     -3728.4373,	      -5098.8942,	       6183.4878 ; 		 //plane 1 point @8 
     -1653.1316,	      -5110.9616,	       6221.3544 ; 		 //plane 1 point @9 
     -1607.4035,	       8157.8617,	       6249.4287 ; 		 //plane 1 point @10 
     -3697.7034,	       8170.7784,	       6211.2902 ; 		 //plane 1 point @11 
     -1606.9423,	       8158.4990,	       7671.9552 ; 		 //plane 2 point @12 
     -1652.6677,	      -5110.9643,	       7659.2317 ; 		 //plane 2 point @13 
      3289.5229,	      -5139.7018,	       7648.0836 ; 		 //plane 2 point @14 
      3361.3648,	       8127.7522,	       7660.7464 ; 		 //plane 2 point @15 
     -1606.9423,	       8158.4990,	       7671.9552 ; 		 //plane 2 point @16 
      3361.3427,	       8123.6761,	      -1396.8777 ; 		 //plane 3 point @17 
     -3702.3699,	       8167.3867,	      -1389.5355 ; 		 //plane 3 point @18 
     -3903.5577,	       8168.9859,	       -602.1437 ; 		 //plane 3 point @19 
     -3898.6676,	       8171.6520,	       5389.3101 ; 		 //plane 3 point @20 
     -3697.7034,	       8170.7784,	       6211.2902 ; 		 //plane 3 point @21 
     -1607.4035,	       8157.8617,	       6249.4287 ; 		 //plane 3 point @22 
     -1606.9423,	       8158.4990,	       7671.9552 ; 		 //plane 3 point @23 
      3361.3648,	       8127.7522,	       7660.7464 ; 		 //plane 3 point @24 
      3361.3427,	       8123.6761,	      -1396.8777 ; 		 //plane 3 point @25 
     -2243.2370,	      -5107.5302,	      -1429.4362 ; 		 //plane 4 point @26 
      3289.5229,	      -5139.7018,	      -1435.1811 ; 		 //plane 4 point @27 
      3289.5229,	      -5139.7018,	       7648.0836 ; 		 //plane 4 point @28 
     -1652.6677,	      -5110.9643,	       7659.2317 ; 		 //plane 4 point @29 
     -1653.1316,	      -5110.9616,	       6221.3544 ; 		 //plane 4 point @30 
     -3728.4373,	      -5098.8942,	       6183.4878 ; 		 //plane 4 point @31 
     -3942.9356,	      -5097.6469,	       5306.1484 ; 		 //plane 4 point @32 
     -3945.2803,	      -5097.6333,	       2428.1602 ; 		 //plane 4 point @33 
     -3337.1664,	      -5101.1693,	        -72.1409 ; 		 //plane 4 point @34 
     -2243.2370,	      -5107.5302,	      -1429.4362 ; 		 //plane 4 point @35 
      3361.3427,	       8123.6761,	      -1396.8777 ; 		 //plane 5 point @36 
      3289.5229,	      -5139.7018,	      -1435.1811 ; 		 //plane 5 point @37 
      3289.5229,	      -5139.7018,	       7648.0836 ; 		 //plane 5 point @38 
      3361.3648,	       8127.7522,	       7660.7464 ; 		 //plane 5 point @39 
      3361.3427,	       8123.6761,	      -1396.8777 ; 		 //plane 5 point @40 
     -3160.4251,	       -255.0360,	      -1414.4589 ; 		 //plane 6 point @41 
     -3691.5037,	       7844.1965,	      -1390.4818 ; 		 //plane 6 point @42 
     -3548.6197,	       -495.3934,	       -876.5948 ; 		 //plane 6 point @43 
     -3160.4251,	       -255.0360,	      -1414.4589 ; 		 //plane 6 point @44 
     -3903.5577,	       8168.9859,	       -602.1437 ; 		 //plane 7 point @45 
     -3697.0403,	       8167.3443,	      -1410.3942 ; 		 //plane 7 point @46 
     -3549.0330,	       -471.2671,	       -878.0815 ; 		 //plane 7 point @47 
     -3930.3000,	       -146.6104,	        572.6980 ; 		 //plane 7 point @48 
     -3903.5577,	       8168.9859,	       -602.1437 ; 		 //plane 7 point @49 
     -3337.1664,	      -5101.1693,	        -72.1409 ; 		 //plane 8 point @50 
     -3547.7326,	       -472.3745,	       -883.0298 ; 		 //plane 8 point @51 
     -3930.3000,	       -146.6104,	        572.6980 ; 		 //plane 8 point @52 
     -3945.2803,	      -5097.6333,	       2428.1602 ; 		 //plane 8 point @53 
     -3337.1664,	      -5101.1693,	        -72.1409 ; 		 //plane 8 point @54 
     -3160.4251,	       -255.0360,	      -1414.4589 ; 		 //plane 9 point @55 
     -2243.2370,	      -5107.5302,	      -1429.4362 ; 		 //plane 9 point @56 
     -3337.1664,	      -5101.1693,	        -72.1409 ; 		 //plane 9 point @57 
     -3546.7384,	       -494.2286,	       -879.2014 ; 		 //plane 9 point @58 
     -3160.4251,	       -255.0360,	      -1414.4589 ; 		 //plane 9 point @59 
     -3903.5577,	       8168.9859,	       -602.1437 ; 		 //plane 10 point @60 
     -3930.3000,	       -146.6104,	        572.6980 ; 		 //plane 10 point @61 
