   3361.3427000000,	    8123.6761000000,	   -1396.8777000000 ; 		 //plane 0 point @1 
  -3702.3699000000,	    8167.3867000000,	   -1389.5355000000 ; 		 //plane 0 point @2 
  -3160.4251000000,	    -255.0360000000,	   -1414.4589000000 ; 		 //plane 0 point @3 
  -2243.2370000000,	   -5107.5302000000,	   -1429.4362000000 ; 		 //plane 0 point @4 
   3289.5229000000,	   -5139.7018000000,	   -1435.1811000000 ; 		 //plane 0 point @5 
   3361.3427000000,	    8123.6761000000,	   -1396.8777000000 ; 		 //plane 0 point @6 
  -3697.7034000000,	    8170.7784000000,	    6211.2902000000 ; 		 //plane 1 point @7 
  -3728.4373000000,	   -5098.8942000000,	    6183.4878000000 ; 		 //plane 1 point @8 
  -1653.1316000000,	   -5110.9616000000,	    6221.3544000000 ; 		 //plane 1 point @9 
  -1607.4035000000,	    8157.8617000000,	    6249.4287000000 ; 		 //plane 1 point @10 
  -3697.7034000000,	    8170.7784000000,	    6211.2902000000 ; 		 //plane 1 point @11 
  -1606.9423000000,	    8158.4990000000,	    7671.9552000000 ; 		 //plane 2 point @12 
  -1652.6677000000,	   -5110.9643000000,	    7659.2317000000 ; 		 //plane 2 point @13 
   3289.5229000000,	   -5139.7018000000,	    7648.0836000000 ; 		 //plane 2 point @14 
   3361.3648000000,	    8127.7522000000,	    7660.7464000000 ; 		 //plane 2 point @15 
  -1606.9423000000,	    8158.4990000000,	    7671.9552000000 ; 		 //plane 2 point @16 
   3361.3427000000,	    8123.6761000000,	   -1396.8777000000 ; 		 //plane 3 point @17 
  -3702.3699000000,	    8167.3867000000,	   -1389.5355000000 ; 		 //plane 3 point @18 
  -3903.5577000000,	    8168.9859000000,	    -602.1437000000 ; 		 //plane 3 point @19 
  -3898.6676000000,	    8171.6520000000,	    5389.3101000000 ; 		 //plane 3 point @20 
  -3697.7034000000,	    8170.7784000000,	    6211.2902000000 ; 		 //plane 3 point @21 
  -1607.4035000000,	    8157.8617000000,	    6249.4287000000 ; 		 //plane 3 point @22 
  -1606.9423000000,	    8158.4990000000,	    7671.9552000000 ; 		 //plane 3 point @23 
   3361.3648000000,	    8127.7522000000,	    7660.7464000000 ; 		 //plane 3 point @24 
   3361.3427000000,	    8123.6761000000,	   -1396.8777000000 ; 		 //plane 3 point @25 
  -2243.2370000000,	   -5107.5302000000,	   -1429.4362000000 ; 		 //plane 4 point @26 
   3289.5229000000,	   -5139.7018000000,	   -1435.1811000000 ; 		 //plane 4 point @27 
   3289.5229000000,	   -5139.7018000000,	    7648.0836000000 ; 		 //plane 4 point @28 
  -1652.6677000000,	   -5110.9643000000,	    7659.2317000000 ; 		 //plane 4 point @29 
  -1653.1316000000,	   -5110.9616000000,	    6221.3544000000 ; 		 //plane 4 point @30 
  -3728.4373000000,	   -5098.8942000000,	    6183.4878000000 ; 		 //plane 4 point @31 
  -3942.9356000000,	   -5097.6469000000,	    5306.1484000000 ; 		 //plane 4 point @32 
  -3945.2803000000,	   -5097.6333000000,	    2428.1602000000 ; 		 //plane 4 point @33 
  -3337.1664000000,	   -5101.1693000000,	     -72.1409000000 ; 		 //plane 4 point @34 
  -2243.2370000000,	   -5107.5302000000,	   -1429.4362000000 ; 		 //plane 4 point @35 
   3361.3427000000,	    8123.6761000000,	   -1396.8777000000 ; 		 //plane 5 point @36 
   3289.5229000000,	   -5139.7018000000,	   -1435.1811000000 ; 		 //plane 5 point @37 
   3289.5229000000,	   -5139.7018000000,	    7648.0836000000 ; 		 //plane 5 point @38 
   3361.3648000000,	    8127.7522000000,	    7660.7464000000 ; 		 //plane 5 point @39 
   3361.3427000000,	    8123.6761000000,	   -1396.8777000000 ; 		 //plane 5 point @40 
  -3160.4251000000,	    -255.0360000000,	   -1414.4589000000 ; 		 //plane 6 point @41 
  -3702.3699000000,	    8167.3867000000,	   -1389.5355000000 ; 		 //plane 6 point @42 
  -3549.0330000000,	    -471.2671000000,	    -878.0815000000 ; 		 //plane 6 point @43 
  -3160.4251000000,	    -255.0360000000,	   -1414.4589000000 ; 		 //plane 6 point @44 
  -3903.5577000000,	    8168.9859000000,	    -602.1437000000 ; 		 //plane 7 point @45 
  -3702.3699000000,	    8167.3867000000,	   -1389.5355000000 ; 		 //plane 7 point @46 
  -3549.0330000000,	    -471.2671000000,	    -878.0815000000 ; 		 //plane 7 point @47 
  -3930.3000000000,	    -146.6104000000,	     572.6980000000 ; 		 //plane 7 point @48 
  -3903.5577000000,	    8168.9859000000,	    -602.1437000000 ; 		 //plane 7 point @49 
  -3337.1664000000,	   -5101.1693000000,	     -72.1409000000 ; 		 //plane 8 point @50 
  -3549.0330000000,	    -471.2671000000,	    -878.0815000000 ; 		 //plane 8 point @51 
  -3930.3000000000,	    -146.6104000000,	     572.6980000000 ; 		 //plane 8 point @52 
  -3945.2803000000,	   -5097.6333000000,	    2428.1602000000 ; 		 //plane 8 point @53 
  -3337.1664000000,	   -5101.1693000000,	     -72.1409000000 ; 		 //plane 8 point @54 
  -3160.4251000000,	    -255.0360000000,	   -1414.4589000000 ; 		 //plane 9 point @55 
  -2243.2370000000,	   -5107.5302000000,	   -1429.4362000000 ; 		 //plane 9 point @56 
  -3337.1664000000,	   -5101.1693000000,	     -72.1409000000 ; 		 //plane 9 point @57 
  -3549.0330000000,	    -471.2671000000,	    -878.0815000000 ; 		 //plane 9 point @58 
  -3160.4251000000,	    -255.0360000000,	   -1414.4589000000 ; 		 //plane 9 point @59 
  -3903.5577000000,	    8168.9859000000,	    -602.1437000000 ; 		 //plane 10 point @60 
  -3930.3000000000,	    -146.6104000000,	     572.6980000000 ; 		 //plane 10 point @61 
  -3945.2803000000,	   -5097.6333000000,	    2428.1602000000 ; 		 //plane 10 point @62 
  -3942.9356000000,	   -5097.6469000000,	    5306.1484000000 ; 		 //plane 10 point @63 
  -3898.6676000000,	    8171.6520000000,	    5389.3101000000 ; 		 //plane 10 point @64 
  -3903.5577000000,	    8168.9859000000,	    -602.1437000000 ; 		 //plane 10 point @65 
  -3898.6676000000,	    8171.6520000000,	    5389.3101000000 ; 		 //plane 11 point @66 
  -3942.9356000000,	   -5097.6469000000,	    5306.1484000000 ; 		 //plane 11 point @67 
  -3728.4373000000,	   -5098.8942000000,	    6183.4878000000 ; 		 //plane 11 point @68 
  -3697.7034000000,	    8170.7784000000,	    6211.2902000000 ; 		 //plane 11 point @69 
  -3898.6676000000,	    8171.6520000000,	    5389.3101000000 ; 		 //plane 11 point @70 
  -1607.4035000000,	    8157.8617000000,	    6249.4287000000 ; 		 //plane 12 point @71 
  -1653.1316000000,	   -5110.9616000000,	    6221.3544000000 ; 		 //plane 12 point @72 
  -1652.6677000000,	   -5110.9643000000,	    7659.2317000000 ; 		 //plane 12 point @73 
  -1606.9423000000,	    8158.4990000000,	    7671.9552000000 ; 		 //plane 12 point @74 
  -1607.4035000000,	    8157.8617000000,	    6249.4287000000 ; 		 //plane 12 point @75 
