   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
VMD             ,    0 00 03 ,   89 50 51,          0,      0.000,      0.000,            0,            0,          0
2               ,    0 00 02 ,   89 50 51,      7.343,      0.000,      0.000,        0.000,        7.343,      0.020
3               ,  335 55 15 ,  132 14 26,      2.074,      0.000,      0.000,       -0.626,        1.402,     -1.394
4               ,  335 55 24 ,   10 15 22,      7.776,      0.000,      0.000,       -0.565,        1.264,      7.652
5               ,  333 29 50 ,   87 04 52,      8.260,      0.000,      0.000,       -3.681,        7.382,      0.421
6               ,  334 28 07 ,   83 48 31,      8.225,      0.000,      0.000,       -3.524,        7.378,      0.887
7               ,  333 25 24 ,   77 56 05,      8.431,      0.000,      0.000,       -3.689,        7.374,      1.762
8               ,  334 38 31 ,   73 08 40,      8.525,      0.000,      0.000,       -3.494,        7.373,      2.472
9               ,  333 37 19 ,   66 38 00,      8.961,      0.000,      0.000,       -3.655,        7.369,      3.554
10              ,  334 43 36 ,   59 43 03,      9.431,      0.000,      0.000,       -3.477,        7.365,      4.756
11              ,  333 24 19 ,   55 50 09,      9.953,      0.000,      0.000,       -3.687,        7.364,      5.589
12              ,  334 40 57 ,   51 48 19,     10.370,      0.000,      0.000,       -3.485,        7.367,      6.412
13              ,  333 19 08 ,   48 01 44,     11.105,      0.000,      0.000,       -3.707,        7.377,      7.426
14              ,  345 48 24 ,   45 08 58,     10.717,      0.000,      0.000,       -1.863,        7.366,      7.558
15              ,  349 29 38 ,   47 50 33,     10.092,      0.000,      0.000,       -1.364,        7.356,      6.774
16              ,  346 06 36 ,   50 46 34,      9.795,      0.000,      0.000,       -1.822,        7.366,      6.194
17              ,  348 50 42 ,   54 47 57,      9.175,      0.000,      0.000,       -1.450,        7.356,      5.289
18              ,  345 16 43 ,   58 48 20,      8.897,      0.000,      0.000,       -1.934,        7.361,      4.608
19              ,  348 30 45 ,   63 04 55,      8.416,      0.000,      0.000,       -1.494,        7.354,      3.810
20              ,  346 11 50 ,   68 56 19,      8.124,      0.000,      0.000,       -1.809,        7.362,      2.919
21              ,  348 50 03 ,   73 56 14,      7.795,      0.000,      0.000,       -1.451,        7.349,      2.157
22              ,  345 33 33 ,   79 13 19,      7.741,      0.000,      0.000,       -1.896,        7.365,      1.448
23              ,  348 53 49 ,   82 44 43,      7.555,      0.000,      0.000,       -1.443,        7.355,      0.954
24              ,  345 29 10 ,   87 32 37,      7.615,      0.000,      0.000,       -1.907,        7.365,      0.326
25              ,  349 05 54 ,   91 37 10,      7.494,      0.000,      0.000,       -1.417,        7.356,     -0.212
26              ,  345 20 33 ,   98 15 00,      7.694,      0.000,      0.000,       -1.927,        7.366,     -1.104
27              ,  349 11 06 ,   99 20 53,      7.594,      0.000,      0.000,       -1.406,        7.360,     -1.234
28              ,  359 58 44 ,   98 00 38,      7.413,      0.000,      0.000,       -0.003,        7.341,     -1.033
29              ,    4 03 52 ,   98 01 59,      7.431,      0.000,      0.000,        0.522,        7.340,     -1.039
30              ,    0 27 02 ,   90 36 27,      7.344,      0.000,      0.000,        0.058,        7.343,     -0.078
31              ,    4 10 51 ,   85 56 07,      7.377,      0.000,      0.000,        0.536,        7.339,      0.523
32              ,    0 33 52 ,   78 45 57,      7.486,      0.000,      0.000,        0.072,        7.342,      1.458
33              ,    4 08 55 ,   73 19 44,      7.679,      0.000,      0.000,        0.532,        7.337,      2.203
34              ,    0 11 14 ,   67 34 27,      7.945,      0.000,      0.000,        0.024,        7.344,      3.031
35              ,    4 00 54 ,   62 28 23,      8.291,      0.000,      0.000,        0.515,        7.334,      3.832
36              ,    0 11 26 ,   57 27 49,      8.709,      0.000,      0.000,        0.024,        7.342,      4.684
37              ,    4 10 11 ,   52 33 55,      9.256,      0.000,      0.000,        0.534,        7.331,      5.627
38              ,    0 14 19 ,   49 14 26,      9.687,      0.000,      0.000,        0.031,        7.338,      6.325
39              ,    3 31 59 ,   45 57 56,     10.222,      0.000,      0.000,        0.453,        7.335,      7.105
40              ,    0 09 29 ,   44 21 36,     10.495,      0.000,      0.000,        0.020,        7.338,      7.504
41              ,   15 28 22 ,   51 17 44,      9.713,      0.000,      0.000,        2.022,        7.305,      6.074
42              ,   18 06 57 ,   54 43 53,      9.419,      0.000,      0.000,        2.391,        7.309,      5.438
43              ,   15 05 27 ,   59 24 16,      8.809,      0.000,      0.000,        1.974,        7.322,      4.484
44              ,   18 01 25 ,   63 40 54,      8.597,      0.000,      0.000,        2.384,        7.328,      3.811
45              ,   14 54 39 ,   68 47 24,      8.135,      0.000,      0.000,        1.952,        7.329,      2.943
46              ,   18 03 45 ,   73 39 16,      8.035,      0.000,      0.000,        2.391,        7.331,      2.261
