     -3811.9650,	       7740.1700,	      -1401.7412 ; 		 //plane 0 point @1 
      3298.0181,	       7680.3247,	      -1405.3514 ; 		 //plane 0 point @2 
      2606.5356,	       -738.3040,	      -1412.0090 ; 		 //plane 0 point @3 
      1657.9598,	      -5586.2089,	      -1415.5671 ; 		 //plane 0 point @4 
     -3936.1349,	      -5545.0772,	      -1412.7316 ; 		 //plane 0 point @5 
     -3811.9650,	       7740.1700,	      -1401.7412 ; 		 //plane 0 point @6 
      3271.5630,	       7670.3521,	       6188.2005 ; 		 //plane 1 point @7 
      3138.6351,	      -5597.0958,	       6167.7384 ; 		 //plane 1 point @8 
      1053.9778,	      -5581.7680,	       6206.4562 ; 		 //plane 1 point @9 
      1183.1552,	       7687.8797,	       6226.9918 ; 		 //plane 1 point @10 
      3271.5630,	       7670.3521,	       6188.2005 ; 		 //plane 1 point @11 
      1182.9952,	       7685.9637,	       7655.0939 ; 		 //plane 2 point @12 
      1053.8351,	      -5581.7669,	       7648.0182 ; 		 //plane 2 point @13 
     -3936.1349,	      -5545.0772,	       7655.6657 ; 		 //plane 2 point @14 
     -3812.0787,	       7728.0007,	       7662.7522 ; 		 //plane 2 point @15 
      1182.9952,	       7685.9637,	       7655.0939 ; 		 //plane 2 point @16 
     -3811.9650,	       7740.1700,	      -1401.7412 ; 		 //plane 3 point @17 
      3271.1009,	       7680.5513,	      -1405.3377 ; 		 //plane 3 point @18 
      3477.7773,	       7677.6908,	       -570.6405 ; 		 //plane 3 point @19 
      3472.9315,	       7669.7992,	       5337.4799 ; 		 //plane 3 point @20 
      3271.5630,	       7670.3521,	       6188.2005 ; 		 //plane 3 point @21 
      1183.1552,	       7687.8797,	       6226.9918 ; 		 //plane 3 point @22 
      1182.9952,	       7685.9637,	       7655.0939 ; 		 //plane 3 point @23 
     -3812.0787,	       7728.0007,	       7662.7522 ; 		 //plane 3 point @24 
     -3811.9650,	       7740.1700,	      -1401.7412 ; 		 //plane 3 point @25 
      1657.9598,	      -5586.2089,	      -1415.5671 ; 		 //plane 4 point @26 
     -3936.1349,	      -5545.0772,	      -1412.7316 ; 		 //plane 4 point @27 
     -3936.1349,	      -5545.0772,	       7655.6657 ; 		 //plane 4 point @28 
      1053.8351,	      -5581.7669,	       7648.0182 ; 		 //plane 4 point @29 
      1053.9778,	      -5581.7680,	       6206.4562 ; 		 //plane 4 point @30 
      3138.6351,	      -5597.0958,	       6167.7384 ; 		 //plane 4 point @31 
      3336.5491,	      -5598.5511,	       5331.5720 ; 		 //plane 4 point @32 
      3338.7987,	      -5598.5676,	       2541.8927 ; 		 //plane 4 point @33 
      2679.2314,	      -5593.7180,	       -148.7542 ; 		 //plane 4 point @34 
      1657.9598,	      -5586.2089,	      -1415.5671 ; 		 //plane 4 point @35 
     -3811.9650,	       7740.1700,	      -1401.7412 ; 		 //plane 5 point @36 
     -3936.1349,	      -5545.0772,	      -1412.7316 ; 		 //plane 5 point @37 
     -3936.1349,	      -5545.0772,	       7655.6657 ; 		 //plane 5 point @38 
     -3812.0787,	       7728.0007,	       7662.7522 ; 		 //plane 5 point @39 
     -3811.9650,	       7740.1700,	      -1401.7412 ; 		 //plane 5 point @40 
      2606.5356,	       -738.3040,	      -1412.0090 ; 		 //plane 6 point @41 
      3238.7087,	       6958.2476,	      -1405.9224 ; 		 //plane 6 point @42 
      3023.8026,	       -880.2939,	       -860.8521 ; 		 //plane 6 point @43 
      2606.5356,	       -738.3040,	      -1412.0090 ; 		 //plane 6 point @44 
      3477.7773,	       7677.6908,	       -570.6405 ; 		 //plane 7 point @45 
      3258.5166,	       7680.7255,	      -1456.1615 ; 		 //plane 7 point @46 
      3022.8072,	       -916.5994,	       -858.3275 ; 		 //plane 7 point @47 
      3389.0379,	       -862.6370,	        610.1190 ; 		 //plane 7 point @48 
      3477.7773,	       7677.6908,	       -570.6405 ; 		 //plane 7 point @49 
      2679.2314,	      -5593.7180,	       -148.7542 ; 		 //plane 8 point @50 
      3024.5941,	       -916.3361,	       -851.1628 ; 		 //plane 8 point @51 
      3389.0379,	       -862.6370,	        610.1190 ; 		 //plane 8 point @52 
      3338.7987,	      -5598.5676,	       2541.8927 ; 		 //plane 8 point @53 
      2679.2314,	      -5593.7180,	       -148.7542 ; 		 //plane 8 point @54 
      2606.5356,	       -738.3040,	      -1412.0090 ; 		 //plane 9 point @55 
      1657.9598,	      -5586.2089,	      -1415.5671 ; 		 //plane 9 point @56 
      2679.2314,	      -5593.7180,	       -148.7542 ; 		 //plane 9 point @57 
      3027.1707,	       -881.4400,	       -856.4032 ; 		 //plane 9 point @58 
      2606.5356,	       -738.3040,	      -1412.0090 ; 		 //plane 9 point @59 
