  -3811.9650000000,	    7740.1700000000,	   -1401.7412000000 ; 		 //plane 0 point @1 
   3271.1009000000,	    7680.5513000000,	   -1405.3377000000 ; 		 //plane 0 point @2 
   2606.5356000000,	    -738.3040000000,	   -1412.0090000000 ; 		 //plane 0 point @3 
   1657.9598000000,	   -5586.2089000000,	   -1415.5671000000 ; 		 //plane 0 point @4 
  -3936.1349000000,	   -5545.0772000000,	   -1412.7316000000 ; 		 //plane 0 point @5 
  -3811.9650000000,	    7740.1700000000,	   -1401.7412000000 ; 		 //plane 0 point @6 
   3271.5630000000,	    7670.3521000000,	    6188.2005000000 ; 		 //plane 1 point @7 
   3138.6351000000,	   -5597.0958000000,	    6167.7384000000 ; 		 //plane 1 point @8 
   1053.9778000000,	   -5581.7680000000,	    6206.4562000000 ; 		 //plane 1 point @9 
   1183.1552000000,	    7687.8797000000,	    6226.9918000000 ; 		 //plane 1 point @10 
   3271.5630000000,	    7670.3521000000,	    6188.2005000000 ; 		 //plane 1 point @11 
   1182.9952000000,	    7685.9637000000,	    7655.0939000000 ; 		 //plane 2 point @12 
   1053.8351000000,	   -5581.7669000000,	    7648.0182000000 ; 		 //plane 2 point @13 
  -3936.1349000000,	   -5545.0772000000,	    7655.6657000000 ; 		 //plane 2 point @14 
  -3812.0787000000,	    7728.0007000000,	    7662.7522000000 ; 		 //plane 2 point @15 
   1182.9952000000,	    7685.9637000000,	    7655.0939000000 ; 		 //plane 2 point @16 
  -3811.9650000000,	    7740.1700000000,	   -1401.7412000000 ; 		 //plane 3 point @17 
   3271.1009000000,	    7680.5513000000,	   -1405.3377000000 ; 		 //plane 3 point @18 
   3477.7773000000,	    7677.6908000000,	    -570.6405000000 ; 		 //plane 3 point @19 
   3472.9315000000,	    7669.7992000000,	    5337.4799000000 ; 		 //plane 3 point @20 
   3271.5630000000,	    7670.3521000000,	    6188.2005000000 ; 		 //plane 3 point @21 
   1183.1552000000,	    7687.8797000000,	    6226.9918000000 ; 		 //plane 3 point @22 
   1182.9952000000,	    7685.9637000000,	    7655.0939000000 ; 		 //plane 3 point @23 
  -3812.0787000000,	    7728.0007000000,	    7662.7522000000 ; 		 //plane 3 point @24 
  -3811.9650000000,	    7740.1700000000,	   -1401.7412000000 ; 		 //plane 3 point @25 
   1657.9598000000,	   -5586.2089000000,	   -1415.5671000000 ; 		 //plane 4 point @26 
  -3936.1349000000,	   -5545.0772000000,	   -1412.7316000000 ; 		 //plane 4 point @27 
  -3936.1349000000,	   -5545.0772000000,	    7655.6657000000 ; 		 //plane 4 point @28 
   1053.8351000000,	   -5581.7669000000,	    7648.0182000000 ; 		 //plane 4 point @29 
   1053.9778000000,	   -5581.7680000000,	    6206.4562000000 ; 		 //plane 4 point @30 
   3138.6351000000,	   -5597.0958000000,	    6167.7384000000 ; 		 //plane 4 point @31 
   3336.5491000000,	   -5598.5511000000,	    5331.5720000000 ; 		 //plane 4 point @32 
   3338.7987000000,	   -5598.5676000000,	    2541.8927000000 ; 		 //plane 4 point @33 
   2679.2314000000,	   -5593.7180000000,	    -148.7542000000 ; 		 //plane 4 point @34 
   1657.9598000000,	   -5586.2089000000,	   -1415.5671000000 ; 		 //plane 4 point @35 
  -3811.9650000000,	    7740.1700000000,	   -1401.7412000000 ; 		 //plane 5 point @36 
  -3936.1349000000,	   -5545.0772000000,	   -1412.7316000000 ; 		 //plane 5 point @37 
  -3936.1349000000,	   -5545.0772000000,	    7655.6657000000 ; 		 //plane 5 point @38 
  -3812.0787000000,	    7728.0007000000,	    7662.7522000000 ; 		 //plane 5 point @39 
  -3811.9650000000,	    7740.1700000000,	   -1401.7412000000 ; 		 //plane 5 point @40 
   2606.5356000000,	    -738.3040000000,	   -1412.0090000000 ; 		 //plane 6 point @41 
   3271.1009000000,	    7680.5513000000,	   -1405.3377000000 ; 		 //plane 6 point @42 
   3022.8072000000,	    -916.5994000000,	    -858.3275000000 ; 		 //plane 6 point @43 
   2606.5356000000,	    -738.3040000000,	   -1412.0090000000 ; 		 //plane 6 point @44 
   3477.7773000000,	    7677.6908000000,	    -570.6405000000 ; 		 //plane 7 point @45 
   3271.1009000000,	    7680.5513000000,	   -1405.3377000000 ; 		 //plane 7 point @46 
   3022.8072000000,	    -916.5994000000,	    -858.3275000000 ; 		 //plane 7 point @47 
   3389.0379000000,	    -862.6370000000,	     610.1190000000 ; 		 //plane 7 point @48 
   3477.7773000000,	    7677.6908000000,	    -570.6405000000 ; 		 //plane 7 point @49 
   2679.2314000000,	   -5593.7180000000,	    -148.7542000000 ; 		 //plane 8 point @50 
