   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,    0 00 00 ,   89 58 05,          0,      0.000,      0.000,            0,            0,          0
2               ,    0 00 58 ,   89 58 08,      7.235,      0.000,      0.000,        0.002,        7.235,      0.004
3               ,  317 25 19 ,  132 27 51,      2.123,      0.000,      0.000,       -1.060,        1.153,     -1.433
4               ,  317 36 45 ,   13 20 35,      7.836,      0.000,      0.000,       -1.219,        1.336,      7.624
5               ,   18 37 14 ,   98 32 44,      7.709,      0.000,      0.000,        2.434,        7.224,     -1.146
6               ,   18 37 14 ,   91 31 39,      7.627,      0.000,      0.000,        2.435,        7.226,     -0.203
7               ,   18 37 18 ,   84 03 37,      7.667,      0.000,      0.000,        2.435,        7.227,      0.793
8               ,   18 37 17 ,   76 38 58,      7.838,      0.000,      0.000,        2.435,        7.227,      1.810
9               ,   18 37 24 ,   67 51 57,      8.233,      0.000,      0.000,        2.435,        7.227,      3.102
10              ,   18 37 27 ,   61 57 26,      8.641,      0.000,      0.000,        2.436,        7.228,      4.063
11              ,   18 37 15 ,   54 52 48,      9.328,      0.000,      0.000,        2.436,        7.230,      5.366
12              ,   15 26 43 ,   52 50 51,      9.420,      0.000,      0.000,        2.000,        7.237,      5.689
13              ,   15 26 41 ,   60 42 16,      8.600,      0.000,      0.000,        1.997,        7.230,      4.208
14              ,   15 26 39 ,   68 49 50,      8.040,      0.000,      0.000,        1.996,        7.226,      2.903
15              ,   15 26 39 ,   76 14 53,      7.717,      0.000,      0.000,        1.996,        7.225,      1.834
16              ,   15 26 39 ,   83 50 34,      7.536,      0.000,      0.000,        1.995,        7.222,      0.808
17              ,   15 26 38 ,   90 58 34,      7.492,      0.000,      0.000,        1.995,        7.220,     -0.128
18              ,   15 26 40 ,   98 22 22,      7.568,      0.000,      0.000,        1.994,        7.217,     -1.102
19              ,    4 30 40 ,   99 02 21,      7.347,      0.000,      0.000,        0.571,        7.233,     -1.154
20              ,    4 30 43 ,   90 56 53,      7.258,      0.000,      0.000,        0.571,        7.234,     -0.120
21              ,    4 30 51 ,   81 50 26,      7.331,      0.000,      0.000,        0.571,        7.234,      1.040
22              ,    4 30 51 ,   73 23 47,      7.575,      0.000,      0.000,        0.571,        7.236,      2.164
23              ,    4 30 51 ,   66 09 21,      7.941,      0.000,      0.000,        0.572,        7.241,      3.210
24              ,    4 30 54 ,   60 20 07,      8.362,      0.000,      0.000,        0.572,        7.244,      4.139
25              ,    4 30 53 ,   55 41 27,      8.790,      0.000,      0.000,        0.572,        7.238,      4.955
26              ,    4 30 54 ,   50 17 48,      9.442,      0.000,      0.000,        0.572,        7.242,      6.032
