      2679.2907,	       7476.2325,	         -7.4974 ; 		 //plane 0 point @1 
     -2907.4905,	       7463.6009,	        -12.5335 ; 		 //plane 0 point @2 
     -2829.8889,	      -4396.9488,	         -4.2594 ; 		 //plane 0 point @3 
      4242.8396,	      -4379.2039,	          2.1150 ; 		 //plane 0 point @4 
      4219.4650,	       -891.1629,	         -0.3188 ; 		 //plane 0 point @5 
      2679.2907,	       7476.2325,	         -7.4974 ; 		 //plane 0 point @6 
      2077.2334,	       7484.1616,	       7644.3497 ; 		 //plane 1 point @7 
      3938.7626,	       7488.3309,	       7613.4115 ; 		 //plane 1 point @8 
      4150.8696,	       5930.4959,	       7605.6397 ; 		 //plane 1 point @9 
      4236.2966,	      -4379.2203,	       7576.1241 ; 		 //plane 1 point @10 
      2137.3709,	      -4384.4863,	       7611.0062 ; 		 //plane 1 point @11 
      2077.2334,	       7484.1616,	       7644.3497 ; 		 //plane 1 point @12 
     -2907.5627,	       7474.6327,	       9074.4100 ; 		 //plane 2 point @13 
      2059.6458,	       7485.8484,	       9066.4858 ; 		 //plane 2 point @14 
      2119.4847,	      -4384.5312,	       9058.0068 ; 		 //plane 2 point @15 
     -2829.8889,	      -4396.9488,	       9065.9017 ; 		 //plane 2 point @16 
     -2907.5627,	       7474.6327,	       9074.4100 ; 		 //plane 2 point @17 
      2679.2907,	       7476.2325,	         -7.4974 ; 		 //plane 3 point @18 
     -2907.4905,	       7463.6009,	        -12.5335 ; 		 //plane 3 point @19 
     -2907.5627,	       7474.6327,	       9074.4100 ; 		 //plane 3 point @20 
      2059.6458,	       7485.8484,	       9066.4858 ; 		 //plane 3 point @21 
      2077.2334,	       7484.1616,	       7644.3497 ; 		 //plane 3 point @22 
      3938.7626,	       7488.3309,	       7613.4115 ; 		 //plane 3 point @23 
      4153.9739,	       7487.7525,	       6736.4474 ; 		 //plane 3 point @24 
      4166.9505,	       7485.3846,	       4761.8312 ; 		 //plane 3 point @25 
      3211.5342,	       7478.4789,	        852.0897 ; 		 //plane 3 point @26 
      2679.2907,	       7476.2325,	         -7.4974 ; 		 //plane 3 point @27 
      4242.8396,	      -4379.2039,	          2.1150 ; 		 //plane 4 point @28 
     -2829.8889,	      -4396.9488,	         -4.2594 ; 		 //plane 4 point @29 
     -2829.8889,	      -4396.9488,	       9065.9017 ; 		 //plane 4 point @30 
      2119.4847,	      -4384.5312,	       9058.0068 ; 		 //plane 4 point @31 
      2137.3709,	      -4384.4863,	       7611.0062 ; 		 //plane 4 point @32 
      4236.2966,	      -4379.2203,	       7576.1241 ; 		 //plane 4 point @33 
      4434.1799,	      -4378.7238,	       6779.9091 ; 		 //plane 4 point @34 
      4451.5834,	      -4378.6801,	        828.3788 ; 		 //plane 4 point @35 
      4242.8396,	      -4379.2039,	          2.1150 ; 		 //plane 4 point @36 
     -2907.4905,	       7463.6009,	        -12.5335 ; 		 //plane 5 point @37 
     -2829.8889,	      -4396.9488,	         -4.2594 ; 		 //plane 5 point @38 
     -2829.8889,	      -4396.9488,	       9065.9017 ; 		 //plane 5 point @39 
     -2907.5627,	       7474.6327,	       9074.4100 ; 		 //plane 5 point @40 
     -2907.4905,	       7463.6009,	        -12.5335 ; 		 //plane 5 point @41 
      2679.2907,	       7476.2325,	         -7.4974 ; 		 //plane 6 point @42 
      4220.9157,	       -899.0440,	         -0.3121 ; 		 //plane 6 point @43 
      3211.5342,	       7478.4789,	        852.0897 ; 		 //plane 6 point @44 
      2679.2907,	       7476.2325,	         -7.4974 ; 		 //plane 6 point @45 
      3211.5342,	       7478.4789,	        852.0897 ; 		 //plane 7 point @46 
      4219.7101,	       -889.0380,	          0.7060 ; 		 //plane 7 point @47 
      4434.1722,	       -937.9653,	        848.3269 ; 		 //plane 7 point @48 
      4388.7232,	       5844.3412,	       4693.1648 ; 		 //plane 7 point @49 
      4166.9505,	       7485.3846,	       4761.8312 ; 		 //plane 7 point @50 
      3211.5342,	       7478.4789,	        852.0897 ; 		 //plane 7 point @51 
      4166.9505,	       7485.3846,	       4761.8312 ; 		 //plane 8 point @52 
      4388.7232,	       5844.3412,	       4693.1648 ; 		 //plane 8 point @53 
      4383.0236,	       5789.4711,	       6736.8607 ; 		 //plane 8 point @54 
      4153.9739,	       7487.7525,	       6736.4474 ; 		 //plane 8 point @55 
      4166.9505,	       7485.3846,	       4761.8312 ; 		 //plane 8 point @56 
      4153.9739,	       7487.7525,	       6736.4474 ; 		 //plane 9 point @57 
      4366.9649,	       5908.5383,	       6736.8317 ; 		 //plane 9 point @58 
      4150.8696,	       5930.4959,	       7605.6397 ; 		 //plane 9 point @59 
      3938.7626,	       7488.3309,	       7613.4115 ; 		 //plane 9 point @60 
      4153.9739,	       7487.7525,	       6736.4474 ; 		 //plane 9 point @61 
      4150.8696,	       5930.4959,	       7605.6397 ; 		 //plane 10 point @62 
      4382.6152,	       5906.9481,	       6673.9096 ; 		 //plane 10 point @63 
      4434.1799,	      -4378.7238,	       6779.9091 ; 		 //plane 10 point @64 
      4236.2966,	      -4379.2203,	       7576.1241 ; 		 //plane 10 point @65 
      4150.8696,	       5930.4959,	       7605.6397 ; 		 //plane 10 point @66 
      4388.7232,	       5844.3412,	       4693.1648 ; 		 //plane 11 point @67 
      4434.1722,	       -937.9653,	        848.3269 ; 		 //plane 11 point @68 
      4451.5834,	      -4378.6801,	        828.3788 ; 		 //plane 11 point @69 
      4434.1799,	      -4378.7238,	       6779.9091 ; 		 //plane 11 point @70 
      4383.1959,	       5791.1292,	       6675.1032 ; 		 //plane 11 point @71 
      4388.7232,	       5844.3412,	       4693.1648 ; 		 //plane 11 point @72 
      4242.8396,	      -4379.2039,	          2.1150 ; 		 //plane 12 point @73 
      4219.4504,	       -888.9787,	         -0.3203 ; 		 //plane 12 point @74 
      4434.1722,	       -937.9653,	        848.3269 ; 		 //plane 12 point @75 
      4451.5834,	      -4378.6801,	        828.3788 ; 		 //plane 12 point @76 
      4242.8396,	      -4379.2039,	          2.1150 ; 		 //plane 12 point @77 
      2059.6458,	       7485.8484,	       9066.4858 ; 		 //plane 13 point @78 
      2077.2334,	       7484.1616,	       7644.3497 ; 		 //plane 13 point @79 
      2137.3709,	      -4384.4863,	       7611.0062 ; 		 //plane 13 point @80 
      2119.4847,	      -4384.5312,	       9058.0068 ; 		 //plane 13 point @81 
      2059.6458,	       7485.8484,	       9066.4858 ; 		 //plane 13 point @82 
