Point Id	Easting	Northing	Elevation	Code	
DEFAULT15					
1	-0.0005	4.3015	1.3921		
2	-0.4329	-1.5823	0.0246		
3	-0.3760	-1.6296	0.0219		
4	-0.4828	-1.6311	0.0210		
5	-0.5137	-1.6155	0.0117		
6	-0.3485	-1.5938	0.0139		
7	-0.4292	-1.5351	0.0110		
8	-0.4799	-1.7208	9.1003		
9	-0.4110	-1.5615	9.1011		
10	-0.6332	-1.5387	9.1015		
11	-2.0340	4.2114	7.3578		
12	-2.0353	4.2137	6.6300		
13	-2.0493	4.2150	5.5328		
14	-1.9002	4.2257	4.6520		
15	-0.8218	4.2691	7.5476		
16	-0.8206	4.2630	6.0275		
17	-0.8230	4.2757	4.4858		
18	-0.8233	4.2775	3.1514		
19	-0.8215	4.2682	1.9030		
20	0.5142	4.3314	7.5230		
21	0.5140	4.3287	5.8965		
22	0.5150	4.3371	4.5884		
23	0.5154	4.3383	3.0511		
24	0.5145	4.3308	1.5065		
25	0.5144	4.3304	0.2880		
26	2.0077	4.4089	7.4263		
27	2.0047	4.4024	5.9826		
28	2.0084	4.4103	4.7523		
29	2.0079	4.4091	3.4196		
30	2.0058	4.4044	1.8587		
31	2.0056	4.4038	0.3756		
32	2.7688	2.7970	0.1438		
33	2.7537	2.7821	2.0947		
34	2.7437	2.7720	3.7595		
35	2.7321	2.7606	5.6173		
36	2.7280	2.7915	7.5027		
37	2.7333	2.6749	7.3204		
38	2.7384	2.5987	5.7976		
39	2.7511	2.6110	3.9021		
40	2.7660	2.6250	1.7128		
41	2.7768	2.6350	0.2493		
42	2.8588	0.9209	0.1873		
43	2.8535	0.9192	1.9744		
44	2.8465	0.9170	4.0916		
45	2.8363	0.9138	5.7467		
46	2.8319	0.9121	7.3846		
47	2.8573	0.4760	7.2223		
48	2.8657	0.4773	5.4964		
49	2.8699	0.4779	3.3114		
50	2.8750	0.4787	1.8224		
51	2.8801	0.4795	0.3522		
52	2.9581	-1.0357	0.2777		
53	2.9547	-1.0345	2.0227		
54	2.9539	-1.0341	3.5770		
55	2.9540	-1.0341	5.4754		
56	2.9460	-1.0312	8.5560		
57	2.9709	-1.3912	8.9224		
58	2.9827	-1.3968	6.4119		
59	2.9767	-1.3940	4.1193		
60	2.9762	-1.3939	1.9486		
61	2.9755	-1.3937	0.3729		
62	3.0811	-3.4353	0.1564		
63	3.0857	-3.4403	1.8857		
64	3.0880	-3.4427	3.8944		
65	3.0846	-3.4401	6.2347		
66	3.0865	-3.4262	8.6153		
67	2.0054	3.6836	0.2649		
68	2.0027	3.6791	2.6814		
69	1.9951	3.6651	4.1925		
70	1.9885	3.6533	6.1245		
71	1.9854	3.6475	7.4080		
72	1.9955	3.2545	7.5210		
73	2.0016	3.2649	6.2829		
74	2.0109	3.2795	3.5303		
75	2.0205	3.2950	1.6457		
76	2.0263	3.3030	0.4007		
77	2.1085	1.7763	0.3511		
78	2.0993	1.7688	2.1313		
79	2.0866	1.7581	3.9254		
80	2.0750	1.7484	5.7715		
81	2.0767	1.7498	7.1293		
82	2.1037	1.3208	7.5336		
83	2.1039	1.3209	5.6059		
84	2.1109	1.3251	3.8160		
85	2.1222	1.3321	1.9575		
86	2.1299	1.3368	0.4289		
87	2.1965	-0.0361	0.3705		
88	2.1906	-0.0360	1.9578		
89	2.1856	-0.0359	3.4691		
90	2.1831	-0.0358	5.2100		
91	2.1750	-0.0356	6.7266		
92	2.2133	-0.5265	7.3793		
93	2.2382	-0.5325	5.3429		
94	2.2218	-0.5287	3.4222		
95	2.2231	-0.5290	1.9069		
96	2.2227	-0.5289	0.3963		
97	2.2869	-1.9727	0.3684		
98	2.2893	-1.9746	1.7664		
99	2.2887	-1.9743	3.0991		
100	2.2883	-1.9739	4.6213		
101	2.2997	-1.9836	6.5535		
102	2.2984	-1.9824	8.7557		
103	2.3238	-2.4705	8.6739		
104	2.3265	-2.4734	6.4599		
105	2.3159	-2.4622	4.5050		
106	2.3159	-2.4624	2.6281		
107	2.3156	-2.4621	0.6782		
108	2.3902	-3.9360	0.3892		
109	2.3922	-3.9392	1.8047		
110	2.3916	-3.9381	3.3470		
111	2.3958	-3.9453	5.6076		
112	2.4038	-3.9594	8.4525		
113	2.4258	-4.3119	8.8268		
114	2.4191	-4.3000	7.0818		
115	2.4149	-4.2928	4.9842		
116	2.4101	-4.2842	2.8033		
117	2.4080	-4.2807	0.5444		
118	2.8322	-5.5966	0.1897		
119	2.8302	-5.5925	1.9070		
120	2.8245	-5.5813	3.6110		
121	2.8283	-5.5885	5.8391		
122	2.8226	-5.5770	7.9520		
123	2.8445	-6.4179	8.7603		
124	2.8435	-6.4153	6.8119		
125	2.8459	-6.4210	4.1051		
126	2.8539	-6.4390	1.6760		
127	2.8610	-6.4555	0.1948		
128	2.7366	-6.6736	0.1696		
129	2.7356	-6.6712	2.3336		
130	2.7313	-6.6603	4.8451		
131	2.7295	-6.6560	6.7441		
132	2.7263	-6.6480	8.8572		
133	2.4841	-6.6670	8.7824		
134	2.4848	-6.6692	6.8304		
135	2.4865	-6.6744	4.3777		
136	2.4897	-6.6819	2.2636		
137	2.4905	-6.6851	0.2251		
138	0.9353	-6.7664	0.2736		
139	0.9347	-6.7593	2.5088		
140	0.9334	-6.7493	5.2940		
141	0.9322	-6.7412	7.3735		
142	0.9319	-6.7389	8.7461		
143	0.5288	-6.7656	8.7278		
144	0.5289	-6.7693	6.1422		
145	0.5293	-6.7741	3.8932		
146	0.5300	-6.7824	1.5370		
147	0.5302	-6.7865	0.6933		
148	-0.9995	-6.8569	0.1750		
149	-0.9992	-6.8558	1.9948		
150	-0.9987	-6.8531	4.5786		
151	-0.9731	-6.6763	7.0440		
152	-0.9955	-6.8317	8.7442		
153	-1.3849	-6.8429	8.8266		
154	-1.3892	-6.8636	6.6242		
155	-1.3915	-6.8742	4.5608		
156	-1.3922	-6.8773	2.6514		
157	-1.3824	-6.8816	0.4096		
158	-2.9048	-6.9601	0.5145		
159	-2.9050	-6.9605	1.9049		
160	-2.9037	-6.9576	3.9713		
161	-2.8803	-6.9535	5.4123		
162	-2.8840	-6.9622	7.3720		
163	-3.2781	-6.9810	7.4165		
164	-3.2797	-6.9842	6.3313		
165	-3.2794	-6.9835	4.4823		
166	-3.2827	-6.9904	2.7998		
167	-3.1875	-6.9809	1.0997		
168	1.8697	-6.0012	0.3221		
169	1.8751	-5.9968	2.8501		
170	1.9081	-5.9928	4.8362		
171	1.8025	-5.9911	7.1264		
172	1.8023	-5.9905	8.9637		
173	1.4519	-6.0044	8.8684		
174	1.4525	-6.0073	6.7752		
175	1.4541	-6.0140	4.3708		
176	1.3785	-6.0264	2.2174		
177	1.3790	-6.0292	0.2999		
178	-0.0745	-6.0994	0.3157		
179	-0.0744	-6.0943	3.0649		
180	-0.1040	-6.0914	5.0166		
181	-0.1040	-6.0886	6.9182		
182	-0.1044	-6.0855	8.9496		
183	-0.5084	-6.1020	8.9505		
184	-0.5088	-6.1070	7.2895		
185	-0.5092	-6.1121	4.9701		
186	-0.5098	-6.1169	2.5369		
187	-0.5099	-6.1184	0.4554		
188	-1.9385	-6.1952	0.4029		
189	-1.9366	-6.1903	2.8712		
190	-1.9342	-6.1831	4.8192		
191	-1.9331	-6.1794	6.9645		
192	-1.9296	-6.1680	8.7469		
193	-2.0230	-6.1827	8.7929		
194	-2.0246	-6.1868	6.6912		
195	-2.4825	-6.2157	4.6011		
196	-2.4844	-6.2209	2.3498		
197	-2.4849	-6.2217	0.5295		
198	-3.7858	-6.3077	3.7330		
199	-3.7813	-6.3003	4.9414		
200	-3.8140	-6.2989	6.1290		
201	-3.7662	-6.2930	7.4720		
202	-3.8645	-6.2994	7.5180		
203	-4.0437	-6.3148	6.5592		
204	-4.0250	-6.3156	6.1512		
205	-4.0306	-6.3244	4.7952		
206	-3.8818	-6.3142	4.0343		
207	-3.7404	-6.3032	3.3424		
208	-2.3632	-4.7159	0.0355		
209	-3.0352	-4.7250	1.0571		
210	-2.3287	-4.0934	0.2383		
211	-2.7758	-4.0989	0.9042		
212	-2.6034	-2.6029	1.2818		
213	-2.0932	-2.1603	0.6830		
214	-1.6450	-1.6970	0.2047		
215	-2.1380	0.2434	1.8634		
216	-1.5636	0.1781	0.9070		
217	-1.1558	0.1317	0.2309		
218	-1.8441	2.1166	2.2631		
219	-1.0722	2.3986	1.1291		
220	-0.4612	2.5456	0.2011		
221	-1.5459	4.2102	2.7422		
222	-0.7348	4.2623	1.4332		
223	0.0191	4.2831	0.1776		
