Point Id,,,,,,Easting,Northing,Elevation
DEFAULT19,,,,,,,,
1,,,,,,-0.0002,7.8365,1.447
2,,,,,,0.3582,1.281,0.0059
3,,,,,,0.3531,1.2891,0.0074
4,,,,,,0.3259,1.2979,0.0093
5,,,,,,0.2996,1.3013,-0.0031
6,,,,,,0.3356,1.2373,-0.0036
7,,,,,,0.3846,1.2615,-0.0042
8,,,,,,0.3319,1.3607,9.0631
9,,,,,,0.4157,1.1922,9.0652
10,,,,,,0.5788,1.2994,9.0629
11,,,,,,-1.9099,7.8224,0.5919
12,,,,,,-1.9119,7.8309,3.0159
13,,,,,,-1.9156,7.8461,5.76
14,,,,,,-1.9226,7.8742,7.283
15,,,,,,-1.9287,7.8987,8.8336
16,,,,,,-1.4185,7.895,8.8219
17,,,,,,-1.4123,7.8605,6.6677
18,,,,,,-1.4091,7.8439,4.4541
19,,,,,,-1.4073,7.833,2.5186
20,,,,,,-1.4055,7.8249,0.6328
21,,,,,,-0.0133,7.8373,1.1968
22,,,,,,-0.0133,7.8456,3.2213
23,,,,,,-0.0132,7.8576,5.4199
24,,,,,,-0.0134,7.8758,7.6648
25,,,,,,-0.0134,7.8909,8.943
26,,,,,,0.4964,7.8898,8.9549
27,,,,,,0.4954,7.8703,6.9821
28,,,,,,0.4946,7.8586,4.7477
29,,,,,,0.494,7.8496,2.839
30,,,,,,0.4936,7.8406,1.0624
31,,,,,,1.9005,7.8454,0.1775
32,,,,,,1.9018,7.8514,2.1995
33,,,,,,1.9032,7.8571,4.553
34,,,,,,1.9071,7.8728,6.8021
35,,,,,,1.8747,7.9,8.8539
36,,,,,,2.0004,7.8839,7.8261
37,,,,,,2.074,7.8595,6.1168
38,,,,,,2.052,7.8543,4.1562
39,,,,,,2.4799,7.8494,2.1282
40,,,,,,2.4622,7.8488,0.2088
41,,,,,,3.8642,7.8569,3.9235
42,,,,,,3.8651,7.8597,5.0477
43,,,,,,3.8696,7.8685,6.3078
44,,,,,,3.8716,7.8726,7.3057
45,,,,,,4.0335,7.8636,6.7098
46,,,,,,4.0315,7.8597,5.8086
47,,,,,,4.031,7.8591,4.7889
48,,,,,,3.9252,7.8573,4.2264
49,,,,,,3.9253,7.8568,4.2263
50,,,,,,4.0671,7.859,4.8064
51,,,,,,4.0698,7.8636,6.6791
52,,,,,,3.8489,7.8713,6.5505
53,,,,,,3.8455,7.8642,5.6781
54,,,,,,3.2312,7.138,1.2893
55,,,,,,3.3959,7.1431,3.267
56,,,,,,3.3983,7.1495,4.6159
57,,,,,,3.2364,7.1588,6.8872
58,,,,,,2.8321,7.156,6.8318
59,,,,,,2.8282,7.1457,4.7464
60,,,,,,2.8269,7.1418,2.782
61,,,,,,2.8251,7.1372,0.387
62,,,,,,1.4014,7.1308,0.1842
