Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.90580,	   5.70257,	   4.89968
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49363,	   6.87725,	   1.66280
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.96701,	  -2.53406,	  -5.09902
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.60220,	  -4.01979,	  -1.00020
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.85871,	  -1.25192,	   0.98805
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.90580,	   5.70257,	   4.89968
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.83630,	   0.64095,	   9.81187
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.63468,	   0.32288,	  10.69213
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.15469,	  -0.92479,	   9.93607
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.93205,	  -9.12972,	   4.03561
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.31194,	  -8.76478,	   3.02443
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.83630,	   0.64095,	   9.81187
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -7.97497,	   2.44906,	   6.15860
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.99902,	   1.45093,	   8.99597
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.46040,	  -7.93925,	   2.19526
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -5.42209,	  -6.94568,	  -0.63290
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -7.97497,	   2.44906,	   6.15860
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.90580,	   5.70257,	   4.89968
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49363,	   6.87725,	   1.66280
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -7.97497,	   2.44906,	   6.15860
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.99902,	   1.45093,	   8.99597
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.83630,	   0.64095,	   9.81187
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.63468,	   0.32288,	  10.69213
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.83689,	   1.53479,	   9.67073
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.68337,	   2.66182,	   8.53123
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.82751,	   5.09913,	   5.70709
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.90580,	   5.70257,	   4.89968
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.60220,	  -4.01979,	  -1.00020
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.96701,	  -2.53406,	  -5.09902
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -5.42209,	  -6.94568,	  -0.63290
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.46040,	  -7.93925,	   2.19526
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.31194,	  -8.76478,	   3.02443
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.93205,	  -9.12972,	   4.03561
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.83035,	  -7.94424,	   3.04293
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.28848,	  -4.53706,	  -0.39995
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   4.60220,	  -4.01979,	  -1.00020
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49363,	   6.87725,	   1.66280
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.96701,	  -2.53406,	  -5.09902
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -5.42209,	  -6.94568,	  -0.63290
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -7.97497,	   2.44906,	   6.15860
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49363,	   6.87725,	   1.66280
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.90580,	   5.70257,	   4.89968
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.86150,	  -1.25847,	   0.98436
