     -1733.9415,	       7023.1428,	          4.5361 ; 		 //plane 0 point @1 
      3824.3889,	       6976.5549,	         -8.8986 ; 		 //plane 0 point @2 
      3726.8468,	      -4878.4976,	         -5.1700 ; 		 //plane 0 point @3 
     -3338.7597,	      -4808.5467,	         11.9047 ; 		 //plane 0 point @4 
     -3314.1331,	      -1517.2466,	         10.8755 ; 		 //plane 0 point @5 
     -1733.9415,	       7023.1428,	          4.5361 ; 		 //plane 0 point @6 
     -1116.6219,	       7024.3608,	       7669.8702 ; 		 //plane 1 point @7 
     -2998.5005,	       7040.0985,	       7631.8072 ; 		 //plane 1 point @8 
     -3214.7601,	       5532.8437,	       7624.8714 ; 		 //plane 1 point @9 
     -3298.4944,	      -4808.9453,	       7605.6215 ; 		 //plane 1 point @10 
     -1212.9429,	      -4829.5927,	       7647.7985 ; 		 //plane 1 point @11 
     -1116.6219,	       7024.3608,	       7669.8702 ; 		 //plane 1 point @12 
      3824.4512,	       6984.1268,	       9073.7135 ; 		 //plane 2 point @13 
     -1109.2619,	       7025.4693,	       9073.4559 ; 		 //plane 2 point @14 
     -1205.4896,	      -4829.6665,	       9071.0286 ; 		 //plane 2 point @15 
      3726.8468,	      -4878.4976,	       9071.2846 ; 		 //plane 2 point @16 
      3824.4512,	       6984.1268,	       9073.7135 ; 		 //plane 2 point @17 
     -1733.9415,	       7023.1428,	          4.5361 ; 		 //plane 3 point @18 
      3824.3889,	       6976.5549,	         -8.8986 ; 		 //plane 3 point @19 
      3824.4512,	       6984.1268,	       9073.7135 ; 		 //plane 3 point @20 
     -1109.2619,	       7025.4693,	       9073.4559 ; 		 //plane 3 point @21 
     -1116.6219,	       7024.3608,	       7669.8702 ; 		 //plane 3 point @22 
     -2998.5005,	       7040.0985,	       7631.8072 ; 		 //plane 3 point @23 
     -3198.6606,	       7041.0498,	       6761.1398 ; 		 //plane 3 point @24 
     -3218.2734,	       7039.5427,	       4756.3570 ; 		 //plane 3 point @25 
     -2267.7146,	       7028.3161,	        844.7185 ; 		 //plane 3 point @26 
     -1733.9415,	       7023.1428,	          4.5361 ; 		 //plane 3 point @27 
     -3338.7597,	      -4808.5467,	         11.9047 ; 		 //plane 4 point @28 
      3726.8468,	      -4878.4976,	         -5.1700 ; 		 //plane 4 point @29 
      3726.8468,	      -4878.4976,	       9071.2846 ; 		 //plane 4 point @30 
     -1205.4896,	      -4829.6665,	       9071.0286 ; 		 //plane 4 point @31 
     -1212.9429,	      -4829.5927,	       7647.7985 ; 		 //plane 4 point @32 
     -3298.4944,	      -4808.9453,	       7605.6215 ; 		 //plane 4 point @33 
     -3501.2900,	      -4806.9376,	       6781.4043 ; 		 //plane 4 point @34 
     -3545.5620,	      -4806.4993,	        816.6403 ; 		 //plane 4 point @35 
     -3338.7597,	      -4808.5467,	         11.9047 ; 		 //plane 4 point @36 
      3824.3889,	       6976.5549,	         -8.8986 ; 		 //plane 5 point @37 
      3726.8468,	      -4878.4976,	         -5.1700 ; 		 //plane 5 point @38 
      3726.8468,	      -4878.4976,	       9071.2846 ; 		 //plane 5 point @39 
      3824.4512,	       6984.1268,	       9073.7135 ; 		 //plane 5 point @40 
      3824.3889,	       6976.5549,	         -8.8986 ; 		 //plane 5 point @41 
     -1733.9415,	       7023.1428,	          4.5361 ; 		 //plane 6 point @42 
     -3360.8486,	      -1769.7281,	         11.0629 ; 		 //plane 6 point @43 
     -2267.7146,	       7028.3161,	        844.7185 ; 		 //plane 6 point @44 
     -1733.9415,	       7023.1428,	          4.5361 ; 		 //plane 6 point @45 
     -2267.7146,	       7028.3161,	        844.7185 ; 		 //plane 7 point @46 
     -3321.4279,	      -1452.4521,	         41.1263 ; 		 //plane 7 point @47 
     -3521.6722,	      -1527.8112,	        818.1151 ; 		 //plane 7 point @48 
     -3442.3512,	       5413.9969,	       4693.1474 ; 		 //plane 7 point @49 
     -3218.2734,	       7039.5427,	       4756.3570 ; 		 //plane 7 point @50 
     -2267.7146,	       7028.3161,	        844.7185 ; 		 //plane 7 point @51 
     -3218.2734,	       7039.5427,	       4756.3570 ; 		 //plane 8 point @52 
     -3442.3512,	       5413.9969,	       4693.1474 ; 		 //plane 8 point @53 
     -3426.9894,	       5377.4997,	       6798.5010 ; 		 //plane 8 point @54 
     -3198.6606,	       7041.0498,	       6761.1398 ; 		 //plane 8 point @55 
     -3218.2734,	       7039.5427,	       4756.3570 ; 		 //plane 8 point @56 
     -3198.6606,	       7041.0498,	       6761.1398 ; 		 //plane 9 point @57 
     -3419.1671,	       5434.4914,	       6797.2211 ; 		 //plane 9 point @58 
     -3214.7601,	       5532.8437,	       7624.8714 ; 		 //plane 9 point @59 
     -2998.5005,	       7040.0985,	       7631.8072 ; 		 //plane 9 point @60 
     -3198.6606,	       7041.0498,	       6761.1398 ; 		 //plane 9 point @61 
     -3214.7601,	       5532.8437,	       7624.8714 ; 		 //plane 10 point @62 
     -3426.8414,	       5430.7988,	       6766.1475 ; 		 //plane 10 point @63 
     -3501.2900,	      -4806.9376,	       6781.4043 ; 		 //plane 10 point @64 
     -3298.4944,	      -4808.9453,	       7605.6215 ; 		 //plane 10 point @65 
     -3214.7601,	       5532.8437,	       7624.8714 ; 		 //plane 10 point @66 
