Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73395,	   7.02314,	   0.00147
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.79378,	   6.97682,	  -0.00420
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.72942,	  -4.87852,	  -0.00048
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.33876,	  -4.80855,	   0.00677
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.31414,	  -1.51725,	   0.00573
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73395,	   7.02314,	   0.00147
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.12730,	   7.02446,	   7.66766
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.00912,	   7.04020,	   7.62697
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22537,	   5.53294,	   7.61976
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.30906,	  -4.80885,	   7.60053
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22357,	  -4.82949,	   7.64561
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.12730,	   7.02446,	   7.66766
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.79382,	   6.98441,	   9.07835
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.12189,	   7.02559,	   9.07125
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.21810,	  -4.82954,	   9.06885
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.72942,	  -4.87852,	   9.07600
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.79382,	   6.98441,	   9.07835
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73395,	   7.02314,	   0.00147
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.79378,	   6.97682,	  -0.00420
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.79382,	   6.98441,	   9.07835
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.12189,	   7.02559,	   9.07125
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.12730,	   7.02446,	   7.66766
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.00912,	   7.04020,	   7.62697
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.20807,	   7.04114,	   6.75603
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22489,	   7.03960,	   4.75122
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.26889,	   7.02832,	   0.84091
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73395,	   7.02314,	   0.00147
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.33876,	  -4.80855,	   0.00677
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.72942,	  -4.87852,	  -0.00048
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.72942,	  -4.87852,	   9.07600
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.21810,	  -4.82954,	   9.06885
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.22357,	  -4.82949,	   7.64561
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.30906,	  -4.80885,	   7.60053
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.51071,	  -4.80685,	   6.77604
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.54668,	  -4.80649,	   0.81122
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.33876,	  -4.80855,	   0.00677
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.79378,	   6.97682,	  -0.00420
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.72942,	  -4.87852,	  -0.00048
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.72942,	  -4.87852,	   9.07600
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.79382,	   6.98441,	   9.07835
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.79378,	   6.97682,	  -0.00420
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73395,	   7.02314,	   0.00147
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.36085,	  -1.76973,	   0.00585
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.26889,	   7.02832,	   0.84091
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73395,	   7.02314,	   0.00147
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.26889,	   7.02832,	   0.84091
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.32148,	  -1.45246,	   0.03597
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.52280,	  -1.52780,	   0.81268
50   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.44888,	   5.41406,	   4.68772
51   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22489,	   7.03960,	   4.75122
52   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.26889,	   7.02832,	   0.84091
53   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22489,	   7.03960,	   4.75122
54   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.44888,	   5.41406,	   4.68772
55   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.43645,	   5.37759,	   6.79310
56   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.20807,	   7.04114,	   6.75603
57   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22489,	   7.03960,	   4.75122
58   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.20807,	   7.04114,	   6.75603
59   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.42862,	   5.43458,	   6.79183
60   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22537,	   5.53294,	   7.61976
61   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.00912,	   7.04020,	   7.62697
62   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.20807,	   7.04114,	   6.75603
63   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22537,	   5.53294,	   7.61976
64   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.43626,	   5.43089,	   6.76074
65   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.51071,	  -4.80685,	   6.77604
66   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.30906,	  -4.80885,	   7.60053
67   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22537,	   5.53294,	   7.61976
68   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.44888,	   5.41406,	   4.68772
69   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.52280,	  -1.52780,	   0.81268
70   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.54668,	  -4.80649,	   0.81122
71   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.51071,	  -4.80685,	   6.77604
