  -1733.9506000000,	    7023.1402000000,	       1.4708000000 ; 		 //plane 0 point @1 
   3793.7754000000,	    6976.8155000000,	      -4.1974000000 ; 		 //plane 0 point @2 
   3729.4154000000,	   -4878.5189000000,	      -0.4752000000 ; 		 //plane 0 point @3 
  -3338.7631000000,	   -4808.5512000000,	       6.7693000000 ; 		 //plane 0 point @4 
  -3314.1390000000,	   -1517.2510000000,	       5.7290000000 ; 		 //plane 0 point @5 
  -1733.9506000000,	    7023.1402000000,	       1.4708000000 ; 		 //plane 0 point @6 
  -1127.2981000000,	    7024.4645000000,	    7667.6564000000 ; 		 //plane 1 point @7 
  -3009.1219000000,	    7040.1994000000,	    7626.9745000000 ; 		 //plane 1 point @8 
  -3225.3698000000,	    5532.9442000000,	    7619.7587000000 ; 		 //plane 1 point @9 
  -3309.0646000000,	   -4808.8452000000,	    7600.5347000000 ; 		 //plane 1 point @10 
  -1223.5738000000,	   -4829.4894000000,	    7645.6141000000 ; 		 //plane 1 point @11 
  -1127.2981000000,	    7024.4645000000,	    7667.6564000000 ; 		 //plane 1 point @12 
   3793.8166000000,	    6984.4068000000,	    9078.3486000000 ; 		 //plane 2 point @13 
  -1121.8912000000,	    7025.5924000000,	    9071.2510000000 ; 		 //plane 2 point @14 
  -1218.1009000000,	   -4829.5436000000,	    9068.8531000000 ; 		 //plane 2 point @15 
   3729.4154000000,	   -4878.5189000000,	    9075.9952000000 ; 		 //plane 2 point @16 
   3793.8166000000,	    6984.4068000000,	    9078.3486000000 ; 		 //plane 2 point @17 
  -1733.9506000000,	    7023.1402000000,	       1.4708000000 ; 		 //plane 3 point @18 
   3793.7754000000,	    6976.8155000000,	      -4.1974000000 ; 		 //plane 3 point @19 
   3793.8166000000,	    6984.4068000000,	    9078.3486000000 ; 		 //plane 3 point @20 
  -1121.8912000000,	    7025.5924000000,	    9071.2510000000 ; 		 //plane 3 point @21 
  -1127.2981000000,	    7024.4645000000,	    7667.6564000000 ; 		 //plane 3 point @22 
  -3009.1219000000,	    7040.1994000000,	    7626.9745000000 ; 		 //plane 3 point @23 
  -3208.0702000000,	    7041.1385000000,	    6756.0295000000 ; 		 //plane 3 point @24 
  -3224.8933000000,	    7039.6037000000,	    4751.2214000000 ; 		 //plane 3 point @25 
  -2268.8922000000,	    7028.3244000000,	     840.9095000000 ; 		 //plane 3 point @26 
  -1733.9506000000,	    7023.1402000000,	       1.4708000000 ; 		 //plane 3 point @27 
  -3338.7631000000,	   -4808.5512000000,	       6.7693000000 ; 		 //plane 4 point @28 
   3729.4154000000,	   -4878.5189000000,	      -0.4752000000 ; 		 //plane 4 point @29 
   3729.4154000000,	   -4878.5189000000,	    9075.9952000000 ; 		 //plane 4 point @30 
  -1218.1009000000,	   -4829.5436000000,	    9068.8531000000 ; 		 //plane 4 point @31 
  -1223.5738000000,	   -4829.4894000000,	    7645.6141000000 ; 		 //plane 4 point @32 
  -3309.0646000000,	   -4808.8452000000,	    7600.5347000000 ; 		 //plane 4 point @33 
  -3510.7131000000,	   -4806.8491000000,	    6776.0361000000 ; 		 //plane 4 point @34 
  -3546.6849000000,	   -4806.4930000000,	     811.2163000000 ; 		 //plane 4 point @35 
  -3338.7631000000,	   -4808.5512000000,	       6.7693000000 ; 		 //plane 4 point @36 
   3793.7754000000,	    6976.8155000000,	      -4.1974000000 ; 		 //plane 5 point @37 
   3729.4154000000,	   -4878.5189000000,	      -0.4752000000 ; 		 //plane 5 point @38 
   3729.4154000000,	   -4878.5189000000,	    9075.9952000000 ; 		 //plane 5 point @39 
