     -1733.9506,	       7023.1402,	          1.4708 ; 		 //plane 0 point @1 
      3793.7754,	       6976.8155,	         -4.1974 ; 		 //plane 0 point @2 
      3729.4154,	      -4878.5189,	         -0.4752 ; 		 //plane 0 point @3 
     -3338.7631,	      -4808.5512,	          6.7693 ; 		 //plane 0 point @4 
     -3314.1390,	      -1517.2510,	          5.7290 ; 		 //plane 0 point @5 
     -1733.9506,	       7023.1402,	          1.4708 ; 		 //plane 0 point @6 
     -1127.2981,	       7024.4645,	       7667.6564 ; 		 //plane 1 point @7 
     -3009.1219,	       7040.1994,	       7626.9745 ; 		 //plane 1 point @8 
     -3225.3698,	       5532.9442,	       7619.7587 ; 		 //plane 1 point @9 
     -3309.0646,	      -4808.8452,	       7600.5347 ; 		 //plane 1 point @10 
     -1223.5738,	      -4829.4894,	       7645.6141 ; 		 //plane 1 point @11 
     -1127.2981,	       7024.4645,	       7667.6564 ; 		 //plane 1 point @12 
      3793.8166,	       6984.4068,	       9078.3486 ; 		 //plane 2 point @13 
     -1121.8912,	       7025.5924,	       9071.2510 ; 		 //plane 2 point @14 
     -1218.1009,	      -4829.5436,	       9068.8531 ; 		 //plane 2 point @15 
      3729.4154,	      -4878.5189,	       9075.9952 ; 		 //plane 2 point @16 
      3793.8166,	       6984.4068,	       9078.3486 ; 		 //plane 2 point @17 
     -1733.9506,	       7023.1402,	          1.4708 ; 		 //plane 3 point @18 
      3793.7754,	       6976.8155,	         -4.1974 ; 		 //plane 3 point @19 
      3793.8166,	       6984.4068,	       9078.3486 ; 		 //plane 3 point @20 
     -1121.8912,	       7025.5924,	       9071.2510 ; 		 //plane 3 point @21 
     -1127.2981,	       7024.4645,	       7667.6564 ; 		 //plane 3 point @22 
     -3009.1219,	       7040.1994,	       7626.9745 ; 		 //plane 3 point @23 
     -3208.0702,	       7041.1385,	       6756.0295 ; 		 //plane 3 point @24 
     -3224.8933,	       7039.6037,	       4751.2214 ; 		 //plane 3 point @25 
     -2268.8922,	       7028.3244,	        840.9095 ; 		 //plane 3 point @26 
     -1733.9506,	       7023.1402,	          1.4708 ; 		 //plane 3 point @27 
     -3338.7631,	      -4808.5512,	          6.7693 ; 		 //plane 4 point @28 
      3729.4154,	      -4878.5189,	         -0.4752 ; 		 //plane 4 point @29 
      3729.4154,	      -4878.5189,	       9075.9952 ; 		 //plane 4 point @30 
     -1218.1009,	      -4829.5436,	       9068.8531 ; 		 //plane 4 point @31 
     -1223.5738,	      -4829.4894,	       7645.6141 ; 		 //plane 4 point @32 
     -3309.0646,	      -4808.8452,	       7600.5347 ; 		 //plane 4 point @33 
     -3510.7131,	      -4806.8491,	       6776.0361 ; 		 //plane 4 point @34 
     -3546.6849,	      -4806.4930,	        811.2163 ; 		 //plane 4 point @35 
     -3338.7631,	      -4808.5512,	          6.7693 ; 		 //plane 4 point @36 
      3793.7754,	       6976.8155,	         -4.1974 ; 		 //plane 5 point @37 
      3729.4154,	      -4878.5189,	         -0.4752 ; 		 //plane 5 point @38 
      3729.4154,	      -4878.5189,	       9075.9952 ; 		 //plane 5 point @39 
      3793.8166,	       6984.4068,	       9078.3486 ; 		 //plane 5 point @40 
      3793.7754,	       6976.8155,	         -4.1974 ; 		 //plane 5 point @41 
     -1733.9506,	       7023.1402,	          1.4708 ; 		 //plane 6 point @42 
     -3360.8545,	      -1769.7326,	          5.8548 ; 		 //plane 6 point @43 
     -2268.8922,	       7028.3244,	        840.9095 ; 		 //plane 6 point @44 
     -1733.9506,	       7023.1402,	          1.4708 ; 		 //plane 6 point @45 
     -2268.8922,	       7028.3244,	        840.9095 ; 		 //plane 7 point @46 
     -3321.4760,	      -1452.4562,	         35.9687 ; 		 //plane 7 point @47 
     -3522.8012,	      -1527.8048,	        812.6791 ; 		 //plane 7 point @48 
     -3448.8809,	       5414.0568,	       4687.7224 ; 		 //plane 7 point @49 
     -3224.8933,	       7039.6037,	       4751.2214 ; 		 //plane 7 point @50 
     -2268.8922,	       7028.3244,	        840.9095 ; 		 //plane 7 point @51 
     -3224.8933,	       7039.6037,	       4751.2214 ; 		 //plane 8 point @52 
     -3448.8809,	       5414.0568,	       4687.7224 ; 		 //plane 8 point @53 
     -3436.4488,	       5377.5886,	       6793.0959 ; 		 //plane 8 point @54 
     -3208.0702,	       7041.1385,	       6756.0295 ; 		 //plane 8 point @55 
     -3224.8933,	       7039.6037,	       4751.2214 ; 		 //plane 8 point @56 
     -3208.0702,	       7041.1385,	       6756.0295 ; 		 //plane 9 point @57 
     -3428.6247,	       5434.5802,	       6791.8260 ; 		 //plane 9 point @58 
     -3225.3698,	       5532.9442,	       7619.7587 ; 		 //plane 9 point @59 
     -3009.1219,	       7040.1994,	       7626.9745 ; 		 //plane 9 point @60 
     -3208.0702,	       7041.1385,	       6756.0295 ; 		 //plane 9 point @61 
     -3225.3698,	       5532.9442,	       7619.7587 ; 		 //plane 10 point @62 
     -3436.2558,	       5430.8872,	       6760.7419 ; 		 //plane 10 point @63 
     -3510.7131,	      -4806.8491,	       6776.0361 ; 		 //plane 10 point @64 
     -3309.0646,	      -4808.8452,	       7600.5347 ; 		 //plane 10 point @65 
     -3225.3698,	       5532.9442,	       7619.7587 ; 		 //plane 10 point @66 
     -3448.8809,	       5414.0568,	       4687.7224 ; 		 //plane 11 point @67 
     -3522.8012,	      -1527.8048,	        812.6791 ; 		 //plane 11 point @68 
     -3546.6849,	      -4806.4930,	        811.2163 ; 		 //plane 11 point @69 
     -3510.7131,	      -4806.8491,	       6776.0361 ; 		 //plane 11 point @70 
     -3436.6394,	       5378.1476,	       6760.8207 ; 		 //plane 11 point @71 
     -3448.8809,	       5414.0568,	       4687.7224 ; 		 //plane 11 point @72 
     -3338.7631,	      -4808.5512,	          6.7693 ; 		 //plane 12 point @73 
     -3313.6323,	      -1449.5206,	          5.7075 ; 		 //plane 12 point @74 
     -3522.8012,	      -1527.8048,	        812.6791 ; 		 //plane 12 point @75 
     -3546.6849,	      -4806.4930,	        811.2163 ; 		 //plane 12 point @76 
     -3338.7631,	      -4808.5512,	          6.7693 ; 		 //plane 12 point @77 
     -1121.8912,	       7025.5924,	       9071.2510 ; 		 //plane 13 point @78 
     -1127.2981,	       7024.4645,	       7667.6564 ; 		 //plane 13 point @79 
     -1223.5738,	      -4829.4894,	       7645.6141 ; 		 //plane 13 point @80 
     -1218.1009,	      -4829.5436,	       9068.8531 ; 		 //plane 13 point @81 
     -1121.8912,	       7025.5924,	       9071.2510 ; 		 //plane 13 point @82 
