Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73394,	   7.02314,	   0.00454
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.82439,	   6.97655,	  -0.00890
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.72685,	  -4.87850,	  -0.00517
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.33876,	  -4.80855,	   0.01190
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.31413,	  -1.51725,	   0.01088
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73394,	   7.02314,	   0.00454
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.11662,	   7.02436,	   7.66987
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.99850,	   7.04010,	   7.63181
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21476,	   5.53284,	   7.62487
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.29849,	  -4.80895,	   7.60562
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.21294,	  -4.82959,	   7.64780
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.11662,	   7.02436,	   7.66987
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.82445,	   6.98413,	   9.07371
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.10926,	   7.02547,	   9.07346
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.20549,	  -4.82967,	   9.07103
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.72685,	  -4.87850,	   9.07128
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.82445,	   6.98413,	   9.07371
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73394,	   7.02314,	   0.00454
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.82439,	   6.97655,	  -0.00890
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.82445,	   6.98413,	   9.07371
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.10926,	   7.02547,	   9.07346
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.11662,	   7.02436,	   7.66987
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.99850,	   7.04010,	   7.63181
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.19866,	   7.04105,	   6.76114
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21827,	   7.03954,	   4.75636
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.26771,	   7.02832,	   0.84472
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73394,	   7.02314,	   0.00454
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.33876,	  -4.80855,	   0.01190
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.72685,	  -4.87850,	  -0.00517
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.72685,	  -4.87850,	   9.07128
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.20549,	  -4.82967,	   9.07103
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.21294,	  -4.82959,	   7.64780
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.29849,	  -4.80895,	   7.60562
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.50129,	  -4.80694,	   6.78140
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.54556,	  -4.80650,	   0.81664
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.33876,	  -4.80855,	   0.01190
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.82439,	   6.97655,	  -0.00890
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.72685,	  -4.87850,	  -0.00517
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.72685,	  -4.87850,	   9.07128
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.82445,	   6.98413,	   9.07371
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.82439,	   6.97655,	  -0.00890
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73394,	   7.02314,	   0.00454
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.31413,	  -1.51725,	   0.01088
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.26771,	   7.02832,	   0.84472
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73394,	   7.02314,	   0.00454
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.26771,	   7.02832,	   0.84472
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.31413,	  -1.51725,	   0.01088
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.52167,	  -1.52781,	   0.81812
50   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.44235,	   5.41400,	   4.69315
51   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21827,	   7.03954,	   4.75636
52   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.26771,	   7.02832,	   0.84472
53   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21827,	   7.03954,	   4.75636
54   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.44235,	   5.41400,	   4.69315
55   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.42699,	   5.37750,	   6.79850
56   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.19866,	   7.04105,	   6.76114
57   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21827,	   7.03954,	   4.75636
58   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.19866,	   7.04105,	   6.76114
59   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.42699,	   5.37750,	   6.79850
60   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21476,	   5.53284,	   7.62487
61   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.99850,	   7.04010,	   7.63181
62   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.19866,	   7.04105,	   6.76114
63   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21476,	   5.53284,	   7.62487
64   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.42699,	   5.37750,	   6.79850
65   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.50129,	  -4.80694,	   6.78140
66   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.29849,	  -4.80895,	   7.60562
67   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21476,	   5.53284,	   7.62487
68   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.44235,	   5.41400,	   4.69315
69   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.52167,	  -1.52781,	   0.81812
70   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.54556,	  -4.80650,	   0.81664
71   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.50129,	  -4.80694,	   6.78140
72   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.42699,	   5.37750,	   6.79850
73   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.44235,	   5.41400,	   4.69315
74   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.33876,	  -4.80855,	   0.01190
75   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.31413,	  -1.51725,	   0.01088
76   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.52167,	  -1.52781,	   0.81812
77   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.54556,	  -4.80650,	   0.81664
78   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.33876,	  -4.80855,	   0.01190
79   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.10926,	   7.02547,	   9.07346
80   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.11662,	   7.02436,	   7.66987
81   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.21294,	  -4.82959,	   7.64780
82   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.20549,	  -4.82967,	   9.07103
