  -1733.9415000000,	    7023.1428000000,	       4.5361000000 ; 		 //plane 0 point @1 
   3824.3889000000,	    6976.5549000000,	      -8.8986000000 ; 		 //plane 0 point @2 
   3726.8468000000,	   -4878.4976000000,	      -5.1700000000 ; 		 //plane 0 point @3 
  -3338.7597000000,	   -4808.5467000000,	      11.9047000000 ; 		 //plane 0 point @4 
  -3314.1331000000,	   -1517.2466000000,	      10.8755000000 ; 		 //plane 0 point @5 
  -1733.9415000000,	    7023.1428000000,	       4.5361000000 ; 		 //plane 0 point @6 
  -1116.6219000000,	    7024.3608000000,	    7669.8702000000 ; 		 //plane 1 point @7 
  -2998.5005000000,	    7040.0985000000,	    7631.8072000000 ; 		 //plane 1 point @8 
  -3214.7601000000,	    5532.8437000000,	    7624.8714000000 ; 		 //plane 1 point @9 
  -3298.4944000000,	   -4808.9453000000,	    7605.6215000000 ; 		 //plane 1 point @10 
  -1212.9429000000,	   -4829.5927000000,	    7647.7985000000 ; 		 //plane 1 point @11 
  -1116.6219000000,	    7024.3608000000,	    7669.8702000000 ; 		 //plane 1 point @12 
   3824.4512000000,	    6984.1268000000,	    9073.7135000000 ; 		 //plane 2 point @13 
  -1109.2619000000,	    7025.4693000000,	    9073.4559000000 ; 		 //plane 2 point @14 
  -1205.4896000000,	   -4829.6665000000,	    9071.0286000000 ; 		 //plane 2 point @15 
   3726.8468000000,	   -4878.4976000000,	    9071.2846000000 ; 		 //plane 2 point @16 
   3824.4512000000,	    6984.1268000000,	    9073.7135000000 ; 		 //plane 2 point @17 
  -1733.9415000000,	    7023.1428000000,	       4.5361000000 ; 		 //plane 3 point @18 
   3824.3889000000,	    6976.5549000000,	      -8.8986000000 ; 		 //plane 3 point @19 
   3824.4512000000,	    6984.1268000000,	    9073.7135000000 ; 		 //plane 3 point @20 
  -1109.2619000000,	    7025.4693000000,	    9073.4559000000 ; 		 //plane 3 point @21 
  -1116.6219000000,	    7024.3608000000,	    7669.8702000000 ; 		 //plane 3 point @22 
  -2998.5005000000,	    7040.0985000000,	    7631.8072000000 ; 		 //plane 3 point @23 
  -3198.6606000000,	    7041.0498000000,	    6761.1398000000 ; 		 //plane 3 point @24 
  -3218.2734000000,	    7039.5427000000,	    4756.3570000000 ; 		 //plane 3 point @25 
  -2267.7146000000,	    7028.3161000000,	     844.7185000000 ; 		 //plane 3 point @26 
  -1733.9415000000,	    7023.1428000000,	       4.5361000000 ; 		 //plane 3 point @27 
  -3338.7597000000,	   -4808.5467000000,	      11.9047000000 ; 		 //plane 4 point @28 
   3726.8468000000,	   -4878.4976000000,	      -5.1700000000 ; 		 //plane 4 point @29 
   3726.8468000000,	   -4878.4976000000,	    9071.2846000000 ; 		 //plane 4 point @30 
  -1205.4896000000,	   -4829.6665000000,	    9071.0286000000 ; 		 //plane 4 point @31 
  -1212.9429000000,	   -4829.5927000000,	    7647.7985000000 ; 		 //plane 4 point @32 
  -3298.4944000000,	   -4808.9453000000,	    7605.6215000000 ; 		 //plane 4 point @33 
  -3501.2900000000,	   -4806.9376000000,	    6781.4043000000 ; 		 //plane 4 point @34 
  -3545.5620000000,	   -4806.4993000000,	     816.6403000000 ; 		 //plane 4 point @35 
  -3338.7597000000,	   -4808.5467000000,	      11.9047000000 ; 		 //plane 4 point @36 
   3824.3889000000,	    6976.5549000000,	      -8.8986000000 ; 		 //plane 5 point @37 
   3726.8468000000,	   -4878.4976000000,	      -5.1700000000 ; 		 //plane 5 point @38 
   3726.8468000000,	   -4878.4976000000,	    9071.2846000000 ; 		 //plane 5 point @39 
   3824.4512000000,	    6984.1268000000,	    9073.7135000000 ; 		 //plane 5 point @40 
   3824.3889000000,	    6976.5549000000,	      -8.8986000000 ; 		 //plane 5 point @41 
  -1733.9415000000,	    7023.1428000000,	       4.5361000000 ; 		 //plane 6 point @42 
  -3314.1331000000,	   -1517.2466000000,	      10.8755000000 ; 		 //plane 6 point @43 
  -2267.7146000000,	    7028.3161000000,	     844.7185000000 ; 		 //plane 6 point @44 
  -1733.9415000000,	    7023.1428000000,	       4.5361000000 ; 		 //plane 6 point @45 
  -2267.7146000000,	    7028.3161000000,	     844.7185000000 ; 		 //plane 7 point @46 
  -3314.1331000000,	   -1517.2466000000,	      10.8755000000 ; 		 //plane 7 point @47 
  -3521.6722000000,	   -1527.8112000000,	     818.1151000000 ; 		 //plane 7 point @48 
  -3442.3512000000,	    5413.9969000000,	    4693.1474000000 ; 		 //plane 7 point @49 
  -3218.2734000000,	    7039.5427000000,	    4756.3570000000 ; 		 //plane 7 point @50 
  -2267.7146000000,	    7028.3161000000,	     844.7185000000 ; 		 //plane 7 point @51 
  -3218.2734000000,	    7039.5427000000,	    4756.3570000000 ; 		 //plane 8 point @52 
  -3442.3512000000,	    5413.9969000000,	    4693.1474000000 ; 		 //plane 8 point @53 
  -3426.9894000000,	    5377.4997000000,	    6798.5010000000 ; 		 //plane 8 point @54 
  -3198.6606000000,	    7041.0498000000,	    6761.1398000000 ; 		 //plane 8 point @55 
  -3218.2734000000,	    7039.5427000000,	    4756.3570000000 ; 		 //plane 8 point @56 
  -3198.6606000000,	    7041.0498000000,	    6761.1398000000 ; 		 //plane 9 point @57 
  -3426.9894000000,	    5377.4997000000,	    6798.5010000000 ; 		 //plane 9 point @58 
  -3214.7601000000,	    5532.8437000000,	    7624.8714000000 ; 		 //plane 9 point @59 
  -2998.5005000000,	    7040.0985000000,	    7631.8072000000 ; 		 //plane 9 point @60 
  -3198.6606000000,	    7041.0498000000,	    6761.1398000000 ; 		 //plane 9 point @61 
  -3214.7601000000,	    5532.8437000000,	    7624.8714000000 ; 		 //plane 10 point @62 
  -3426.9894000000,	    5377.4997000000,	    6798.5010000000 ; 		 //plane 10 point @63 
  -3501.2900000000,	   -4806.9376000000,	    6781.4043000000 ; 		 //plane 10 point @64 
  -3298.4944000000,	   -4808.9453000000,	    7605.6215000000 ; 		 //plane 10 point @65 
  -3214.7601000000,	    5532.8437000000,	    7624.8714000000 ; 		 //plane 10 point @66 
  -3442.3512000000,	    5413.9969000000,	    4693.1474000000 ; 		 //plane 11 point @67 
  -3521.6722000000,	   -1527.8112000000,	     818.1151000000 ; 		 //plane 11 point @68 
  -3545.5620000000,	   -4806.4993000000,	     816.6403000000 ; 		 //plane 11 point @69 
  -3501.2900000000,	   -4806.9376000000,	    6781.4043000000 ; 		 //plane 11 point @70 
  -3426.9894000000,	    5377.4997000000,	    6798.5010000000 ; 		 //plane 11 point @71 
  -3442.3512000000,	    5413.9969000000,	    4693.1474000000 ; 		 //plane 11 point @72 
  -3338.7597000000,	   -4808.5467000000,	      11.9047000000 ; 		 //plane 12 point @73 
  -3314.1331000000,	   -1517.2466000000,	      10.8755000000 ; 		 //plane 12 point @74 
  -3521.6722000000,	   -1527.8112000000,	     818.1151000000 ; 		 //plane 12 point @75 
  -3545.5620000000,	   -4806.4993000000,	     816.6403000000 ; 		 //plane 12 point @76 
  -3338.7597000000,	   -4808.5467000000,	      11.9047000000 ; 		 //plane 12 point @77 
  -1109.2619000000,	    7025.4693000000,	    9073.4559000000 ; 		 //plane 13 point @78 
  -1116.6219000000,	    7024.3608000000,	    7669.8702000000 ; 		 //plane 13 point @79 
  -1212.9429000000,	   -4829.5927000000,	    7647.7985000000 ; 		 //plane 13 point @80 
  -1205.4896000000,	   -4829.6665000000,	    9071.0286000000 ; 		 //plane 13 point @81 
  -1109.2619000000,	    7025.4693000000,	    9073.4559000000 ; 		 //plane 13 point @82 
