   2679.2907000000,	    7476.2325000000,	      -7.4974000000 ; 		 //plane 0 point @1 
  -2907.4905000000,	    7463.6009000000,	     -12.5335000000 ; 		 //plane 0 point @2 
  -2829.8889000000,	   -4396.9488000000,	      -4.2594000000 ; 		 //plane 0 point @3 
   4242.8396000000,	   -4379.2039000000,	       2.1150000000 ; 		 //plane 0 point @4 
   4219.4650000000,	    -891.1629000000,	      -0.3188000000 ; 		 //plane 0 point @5 
   2679.2907000000,	    7476.2325000000,	      -7.4974000000 ; 		 //plane 0 point @6 
   2077.2334000000,	    7484.1616000000,	    7644.3497000000 ; 		 //plane 1 point @7 
   3938.7626000000,	    7488.3309000000,	    7613.4115000000 ; 		 //plane 1 point @8 
   4150.8696000000,	    5930.4959000000,	    7605.6397000000 ; 		 //plane 1 point @9 
   4236.2966000000,	   -4379.2203000000,	    7576.1241000000 ; 		 //plane 1 point @10 
   2137.3709000000,	   -4384.4863000000,	    7611.0062000000 ; 		 //plane 1 point @11 
   2077.2334000000,	    7484.1616000000,	    7644.3497000000 ; 		 //plane 1 point @12 
  -2907.5627000000,	    7474.6327000000,	    9074.4100000000 ; 		 //plane 2 point @13 
   2059.6458000000,	    7485.8484000000,	    9066.4858000000 ; 		 //plane 2 point @14 
   2119.4847000000,	   -4384.5312000000,	    9058.0068000000 ; 		 //plane 2 point @15 
  -2829.8889000000,	   -4396.9488000000,	    9065.9017000000 ; 		 //plane 2 point @16 
  -2907.5627000000,	    7474.6327000000,	    9074.4100000000 ; 		 //plane 2 point @17 
   2679.2907000000,	    7476.2325000000,	      -7.4974000000 ; 		 //plane 3 point @18 
  -2907.4905000000,	    7463.6009000000,	     -12.5335000000 ; 		 //plane 3 point @19 
  -2907.5627000000,	    7474.6327000000,	    9074.4100000000 ; 		 //plane 3 point @20 
   2059.6458000000,	    7485.8484000000,	    9066.4858000000 ; 		 //plane 3 point @21 
   2077.2334000000,	    7484.1616000000,	    7644.3497000000 ; 		 //plane 3 point @22 
   3938.7626000000,	    7488.3309000000,	    7613.4115000000 ; 		 //plane 3 point @23 
   4153.9739000000,	    7487.7525000000,	    6736.4474000000 ; 		 //plane 3 point @24 
   4166.9505000000,	    7485.3846000000,	    4761.8312000000 ; 		 //plane 3 point @25 
   3211.5342000000,	    7478.4789000000,	     852.0897000000 ; 		 //plane 3 point @26 
   2679.2907000000,	    7476.2325000000,	      -7.4974000000 ; 		 //plane 3 point @27 
   4242.8396000000,	   -4379.2039000000,	       2.1150000000 ; 		 //plane 4 point @28 
  -2829.8889000000,	   -4396.9488000000,	      -4.2594000000 ; 		 //plane 4 point @29 
  -2829.8889000000,	   -4396.9488000000,	    9065.9017000000 ; 		 //plane 4 point @30 
   2119.4847000000,	   -4384.5312000000,	    9058.0068000000 ; 		 //plane 4 point @31 
   2137.3709000000,	   -4384.4863000000,	    7611.0062000000 ; 		 //plane 4 point @32 
   4236.2966000000,	   -4379.2203000000,	    7576.1241000000 ; 		 //plane 4 point @33 
   4434.1799000000,	   -4378.7238000000,	    6779.9091000000 ; 		 //plane 4 point @34 
   4451.5834000000,	   -4378.6801000000,	     828.3788000000 ; 		 //plane 4 point @35 
   4242.8396000000,	   -4379.2039000000,	       2.1150000000 ; 		 //plane 4 point @36 
  -2907.4905000000,	    7463.6009000000,	     -12.5335000000 ; 		 //plane 5 point @37 
  -2829.8889000000,	   -4396.9488000000,	      -4.2594000000 ; 		 //plane 5 point @38 
  -2829.8889000000,	   -4396.9488000000,	    9065.9017000000 ; 		 //plane 5 point @39 
  -2907.5627000000,	    7474.6327000000,	    9074.4100000000 ; 		 //plane 5 point @40 
  -2907.4905000000,	    7463.6009000000,	     -12.5335000000 ; 		 //plane 5 point @41 
   2679.2907000000,	    7476.2325000000,	      -7.4974000000 ; 		 //plane 6 point @42 
   4219.4650000000,	    -891.1629000000,	      -0.3188000000 ; 		 //plane 6 point @43 
   3211.5342000000,	    7478.4789000000,	     852.0897000000 ; 		 //plane 6 point @44 
   2679.2907000000,	    7476.2325000000,	      -7.4974000000 ; 		 //plane 6 point @45 
   3211.5342000000,	    7478.4789000000,	     852.0897000000 ; 		 //plane 7 point @46 
   4219.4650000000,	    -891.1629000000,	      -0.3188000000 ; 		 //plane 7 point @47 
   4434.1722000000,	    -937.9653000000,	     848.3269000000 ; 		 //plane 7 point @48 
   4388.7232000000,	    5844.3412000000,	    4693.1648000000 ; 		 //plane 7 point @49 
   4166.9505000000,	    7485.3846000000,	    4761.8312000000 ; 		 //plane 7 point @50 
   3211.5342000000,	    7478.4789000000,	     852.0897000000 ; 		 //plane 7 point @51 
   4166.9505000000,	    7485.3846000000,	    4761.8312000000 ; 		 //plane 8 point @52 
   4388.7232000000,	    5844.3412000000,	    4693.1648000000 ; 		 //plane 8 point @53 
   4383.0236000000,	    5789.4711000000,	    6736.8607000000 ; 		 //plane 8 point @54 
   4153.9739000000,	    7487.7525000000,	    6736.4474000000 ; 		 //plane 8 point @55 
   4166.9505000000,	    7485.3846000000,	    4761.8312000000 ; 		 //plane 8 point @56 
   4153.9739000000,	    7487.7525000000,	    6736.4474000000 ; 		 //plane 9 point @57 
   4383.0236000000,	    5789.4711000000,	    6736.8607000000 ; 		 //plane 9 point @58 
   4150.8696000000,	    5930.4959000000,	    7605.6397000000 ; 		 //plane 9 point @59 
   3938.7626000000,	    7488.3309000000,	    7613.4115000000 ; 		 //plane 9 point @60 
   4153.9739000000,	    7487.7525000000,	    6736.4474000000 ; 		 //plane 9 point @61 
   4150.8696000000,	    5930.4959000000,	    7605.6397000000 ; 		 //plane 10 point @62 
   4383.0236000000,	    5789.4711000000,	    6736.8607000000 ; 		 //plane 10 point @63 
   4434.1799000000,	   -4378.7238000000,	    6779.9091000000 ; 		 //plane 10 point @64 
   4236.2966000000,	   -4379.2203000000,	    7576.1241000000 ; 		 //plane 10 point @65 
   4150.8696000000,	    5930.4959000000,	    7605.6397000000 ; 		 //plane 10 point @66 
   4388.7232000000,	    5844.3412000000,	    4693.1648000000 ; 		 //plane 11 point @67 
   4434.1722000000,	    -937.9653000000,	     848.3269000000 ; 		 //plane 11 point @68 
   4451.5834000000,	   -4378.6801000000,	     828.3788000000 ; 		 //plane 11 point @69 
   4434.1799000000,	   -4378.7238000000,	    6779.9091000000 ; 		 //plane 11 point @70 
   4383.0236000000,	    5789.4711000000,	    6736.8607000000 ; 		 //plane 11 point @71 
   4388.7232000000,	    5844.3412000000,	    4693.1648000000 ; 		 //plane 11 point @72 
   4242.8396000000,	   -4379.2039000000,	       2.1150000000 ; 		 //plane 12 point @73 
   4219.4650000000,	    -891.1629000000,	      -0.3188000000 ; 		 //plane 12 point @74 
   4434.1722000000,	    -937.9653000000,	     848.3269000000 ; 		 //plane 12 point @75 
   4451.5834000000,	   -4378.6801000000,	     828.3788000000 ; 		 //plane 12 point @76 
   4242.8396000000,	   -4379.2039000000,	       2.1150000000 ; 		 //plane 12 point @77 
   2059.6458000000,	    7485.8484000000,	    9066.4858000000 ; 		 //plane 13 point @78 
   2077.2334000000,	    7484.1616000000,	    7644.3497000000 ; 		 //plane 13 point @79 
   2137.3709000000,	   -4384.4863000000,	    7611.0062000000 ; 		 //plane 13 point @80 
   2119.4847000000,	   -4384.5312000000,	    9058.0068000000 ; 		 //plane 13 point @81 
   2059.6458000000,	    7485.8484000000,	    9066.4858000000 ; 		 //plane 13 point @82 
