Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.17057,	   5.71734,	  -0.01628
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70937,	   5.60431,	  -0.00838
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49351,	  -6.99361,	  -0.01240
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.14309,	  -6.87583,	  -0.02002
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.17057,	   5.71734,	  -0.01628
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.59937,	   5.63136,	   7.61076
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68038,	   5.59721,	   7.57495
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.47415,	  -6.99327,	   7.61887
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.39747,	  -6.95642,	   7.65460
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.59937,	   5.63136,	   7.61076
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.17055,	   5.70828,	   9.05055
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.59051,	   5.63007,	   9.05261
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.38884,	  -6.95626,	   9.06236
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.14309,	  -6.87583,	   9.06039
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.17055,	   5.70828,	   9.05055
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.17057,	   5.71734,	  -0.01628
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70937,	   5.60431,	  -0.00838
