Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.67336,	   5.72560,	  -0.01457
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70937,	   5.60431,	  -0.01273
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49350,	  -6.99362,	  -0.01676
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.79365,	  -6.86429,	  -0.01857
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.67336,	   5.72560,	  -0.01457
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60622,	   5.63124,	   7.60831
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68719,	   5.59709,	   7.57062
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.48100,	  -6.99339,	   7.61452
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.40436,	  -6.95654,	   7.65212
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60622,	   5.63124,	   7.60831
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.67345,	   5.71653,	   9.05262
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.59866,	   5.62992,	   9.05016
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.39699,	  -6.95641,	   9.05989
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.79365,	  -6.86429,	   9.06230
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.67345,	   5.71653,	   9.05262
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.67336,	   5.72560,	  -0.01457
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70937,	   5.60431,	  -0.01273
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.90860,	   5.60027,	   0.75187
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.89655,	   5.59450,	   6.71928
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68719,	   5.59709,	   7.57062
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60622,	   5.63124,	   7.60831
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.59866,	   5.62992,	   9.05016
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.67345,	   5.71653,	   9.05262
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.67336,	   5.72560,	  -0.01457
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.79365,	  -6.86429,	  -0.01857
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49350,	  -6.99362,	  -0.01676
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.69844,	  -6.99725,	   0.76971
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68640,	  -6.99704,	   6.77918
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.48100,	  -6.99339,	   7.61452
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.40436,	  -6.95654,	   7.65212
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.39699,	  -6.95641,	   9.05989
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.79365,	  -6.86429,	   9.06230
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.79365,	  -6.86429,	  -0.01857
