      3660.6188,	       5725.3870,	        -13.9023 ; 		 //plane 0 point @1 
     -3709.3666,	       5604.3106,	        -14.0004 ; 		 //plane 0 point @2 
     -3493.4973,	      -6993.6154,	        -18.0301 ; 		 //plane 0 point @3 
      3702.6871,	      -6865.9002,	        -17.9312 ; 		 //plane 0 point @4 
      3660.6188,	       5725.3870,	        -13.9023 ; 		 //plane 0 point @5 
     -1608.2164,	       5631.2029,	       7607.5899 ; 		 //plane 1 point @6 
     -3689.1788,	       5597.0544,	       7569.3558 ; 		 //plane 1 point @7 
     -3482.9972,	      -6993.4291,	       7613.2566 ; 		 //plane 1 point @8 
     -1406.3630,	      -6956.5737,	       7651.4022 ; 		 //plane 1 point @9 
     -1608.2164,	       5631.2029,	       7607.5899 ; 		 //plane 1 point @10 
      3660.6491,	       5716.3150,	       9053.2821 ; 		 //plane 2 point @11 
     -1601.0280,	       5629.8782,	       9049.4488 ; 		 //plane 2 point @12 
     -1399.3674,	      -6956.4496,	       9059.1647 ; 		 //plane 2 point @13 
      3702.6871,	      -6865.9002,	       9062.8766 ; 		 //plane 2 point @14 
      3660.6491,	       5716.3150,	       9053.2821 ; 		 //plane 2 point @15 
      3660.6188,	       5725.3870,	        -13.9023 ; 		 //plane 3 point @16 
     -3709.3666,	       5604.3106,	        -14.0004 ; 		 //plane 3 point @17 
     -3908.7990,	       5600.2692,	        750.5495 ; 		 //plane 3 point @18 
     -3898.3089,	       5594.4706,	       6717.9611 ; 		 //plane 3 point @19 
     -3689.1788,	       5597.0544,	       7569.3558 ; 		 //plane 3 point @20 
     -1608.2164,	       5631.2029,	       7607.5899 ; 		 //plane 3 point @21 
     -1601.0280,	       5629.8782,	       9049.4488 ; 		 //plane 3 point @22 
      3660.6491,	       5716.3150,	       9053.2821 ; 		 //plane 3 point @23 
      3660.6188,	       5725.3870,	        -13.9023 ; 		 //plane 3 point @24 
      3702.6871,	      -6865.9002,	        -17.9312 ; 		 //plane 4 point @25 
     -3493.4973,	      -6993.6154,	        -18.0301 ; 		 //plane 4 point @26 
     -3698.6434,	      -6997.2563,	        768.3904 ; 		 //plane 4 point @27 
     -3688.1800,	      -6997.0706,	       6777.8621 ; 		 //plane 4 point @28 
     -3482.9972,	      -6993.4291,	       7613.2566 ; 		 //plane 4 point @29 
     -1406.3630,	      -6956.5737,	       7651.4022 ; 		 //plane 4 point @30 
     -1399.3674,	      -6956.4496,	       9059.1647 ; 		 //plane 4 point @31 
      3702.6871,	      -6865.9002,	       9062.8766 ; 		 //plane 4 point @32 
      3702.6871,	      -6865.9002,	        -17.9312 ; 		 //plane 4 point @33 
      3660.6188,	       5725.3870,	        -13.9023 ; 		 //plane 5 point @34 
      3702.6871,	      -6865.9002,	        -17.9312 ; 		 //plane 5 point @35 
      3702.6871,	      -6865.9002,	       9062.8766 ; 		 //plane 5 point @36 
      3660.6491,	       5716.3150,	       9053.2821 ; 		 //plane 5 point @37 
      3660.6188,	       5725.3870,	        -13.9023 ; 		 //plane 5 point @38 
     -3709.3666,	       5604.3106,	        -14.0004 ; 		 //plane 6 point @39 
     -3493.4973,	      -6993.6154,	        -18.0301 ; 		 //plane 6 point @40 
     -3698.6434,	      -6997.2563,	        768.3904 ; 		 //plane 6 point @41 
     -3908.7990,	       5600.2692,	        750.5495 ; 		 //plane 6 point @42 
     -3709.3666,	       5604.3106,	        -14.0004 ; 		 //plane 6 point @43 
     -3908.7990,	       5600.2692,	        750.5495 ; 		 //plane 7 point @44 
     -3698.6434,	      -6997.2563,	        768.3904 ; 		 //plane 7 point @45 
     -3688.1800,	      -6997.0706,	       6777.8621 ; 		 //plane 7 point @46 
     -3898.3089,	       5594.4706,	       6717.9611 ; 		 //plane 7 point @47 
     -3908.7990,	       5600.2692,	        750.5495 ; 		 //plane 7 point @48 
     -3898.3089,	       5594.4706,	       6717.9611 ; 		 //plane 8 point @49 
     -3688.1800,	      -6997.0706,	       6777.8621 ; 		 //plane 8 point @50 
     -3482.9972,	      -6993.4291,	       7613.2566 ; 		 //plane 8 point @51 
     -3689.1788,	       5597.0544,	       7569.3558 ; 		 //plane 8 point @52 
     -3898.3089,	       5594.4706,	       6717.9611 ; 		 //plane 8 point @53 
     -1608.2164,	       5631.2029,	       7607.5899 ; 		 //plane 9 point @54 
     -1406.3630,	      -6956.5737,	       7651.4022 ; 		 //plane 9 point @55 
     -1399.3674,	      -6956.4496,	       9059.1647 ; 		 //plane 9 point @56 
     -1601.0280,	       5629.8782,	       9049.4488 ; 		 //plane 9 point @57 
     -1608.2164,	       5631.2029,	       7607.5899 ; 		 //plane 9 point @58 
