      3693.7214,	       5725.9306,	        -15.6482 ; 		 //plane 0 point @1 
     -3709.3708,	       5604.3110,	        -10.7059 ; 		 //plane 0 point @2 
     -3493.5055,	      -6993.6151,	        -14.7303 ; 		 //plane 0 point @3 
      3939.1631,	      -6861.7036,	        -19.6893 ; 		 //plane 0 point @4 
      3693.7214,	       5725.9306,	        -15.6482 ; 		 //plane 0 point @5 
     -1603.0331,	       5631.2951,	       7609.4520 ; 		 //plane 1 point @6 
     -3684.0210,	       5597.1464,	       7572.6349 ; 		 //plane 1 point @7 
     -3477.8107,	      -6993.3366,	       7616.5474 ; 		 //plane 1 point @8 
     -1401.1511,	      -6956.4810,	       7653.2790 ; 		 //plane 1 point @9 
     -1603.0331,	       5631.2951,	       7609.4520 ; 		 //plane 1 point @10 
      3693.8981,	       5716.8690,	       9051.5575 ; 		 //plane 2 point @11 
     -1594.8632,	       5629.9879,	       9051.3057 ; 		 //plane 2 point @12 
     -1393.1972,	      -6956.3398,	       9061.0364 ; 		 //plane 2 point @13 
      3939.1631,	      -6861.7036,	       9061.2849 ; 		 //plane 2 point @14 
      3693.8981,	       5716.8690,	       9051.5575 ; 		 //plane 2 point @15 
      3693.7214,	       5725.9306,	        -15.6482 ; 		 //plane 3 point @16 
     -3709.3708,	       5604.3110,	        -10.7059 ; 		 //plane 3 point @17 
     -3908.2828,	       5600.2789,	        753.9796 ; 		 //plane 3 point @18 
     -3893.7307,	       5594.5524,	       6721.3827 ; 		 //plane 3 point @19 
     -3684.0210,	       5597.1464,	       7572.6349 ; 		 //plane 3 point @20 
     -1603.0331,	       5631.2951,	       7609.4520 ; 		 //plane 3 point @21 
     -1594.8632,	       5629.9879,	       9051.3057 ; 		 //plane 3 point @22 
      3693.8981,	       5716.8690,	       9051.5575 ; 		 //plane 3 point @23 
      3693.7214,	       5725.9306,	        -15.6482 ; 		 //plane 3 point @24 
      3939.1631,	      -6861.7036,	        -19.6893 ; 		 //plane 4 point @25 
     -3493.5055,	      -6993.6151,	        -14.7303 ; 		 //plane 4 point @26 
     -3698.1163,	      -6997.2464,	        771.8296 ; 		 //plane 4 point @27 
     -3683.5621,	      -6996.9881,	       6781.2928 ; 		 //plane 4 point @28 
     -3477.8107,	      -6993.3366,	       7616.5474 ; 		 //plane 4 point @29 
     -1401.1511,	      -6956.4810,	       7653.2790 ; 		 //plane 4 point @30 
     -1393.1972,	      -6956.3398,	       9061.0364 ; 		 //plane 4 point @31 
      3939.1631,	      -6861.7036,	       9061.2849 ; 		 //plane 4 point @32 
      3939.1631,	      -6861.7036,	        -19.6893 ; 		 //plane 4 point @33 
      3693.7214,	       5725.9306,	        -15.6482 ; 		 //plane 5 point @34 
      3939.1631,	      -6861.7036,	        -19.6893 ; 		 //plane 5 point @35 
      3939.1631,	      -6861.7036,	       9061.2849 ; 		 //plane 5 point @36 
      3693.8981,	       5716.8690,	       9051.5575 ; 		 //plane 5 point @37 
      3693.7214,	       5725.9306,	        -15.6482 ; 		 //plane 5 point @38 
     -3709.3708,	       5604.3110,	        -10.7059 ; 		 //plane 6 point @39 
     -3493.5055,	      -6993.6151,	        -14.7303 ; 		 //plane 6 point @40 
     -3698.1163,	      -6997.2464,	        771.8296 ; 		 //plane 6 point @41 
     -3908.2828,	       5600.2789,	        753.9796 ; 		 //plane 6 point @42 
     -3709.3708,	       5604.3110,	        -10.7059 ; 		 //plane 6 point @43 
     -3908.2828,	       5600.2789,	        753.9796 ; 		 //plane 7 point @44 
     -3698.1163,	      -6997.2464,	        771.8296 ; 		 //plane 7 point @45 
     -3683.5621,	      -6996.9881,	       6781.2928 ; 		 //plane 7 point @46 
     -3893.7307,	       5594.5524,	       6721.3827 ; 		 //plane 7 point @47 
     -3908.2828,	       5600.2789,	        753.9796 ; 		 //plane 7 point @48 
     -3893.7307,	       5594.5524,	       6721.3827 ; 		 //plane 8 point @49 
     -3683.5621,	      -6996.9881,	       6781.2928 ; 		 //plane 8 point @50 
     -3477.8107,	      -6993.3366,	       7616.5474 ; 		 //plane 8 point @51 
     -3684.0210,	       5597.1464,	       7572.6349 ; 		 //plane 8 point @52 
     -3893.7307,	       5594.5524,	       6721.3827 ; 		 //plane 8 point @53 
     -1603.0331,	       5631.2951,	       7609.4520 ; 		 //plane 9 point @54 
     -1401.1511,	      -6956.4810,	       7653.2790 ; 		 //plane 9 point @55 
     -1393.1972,	      -6956.3398,	       9061.0364 ; 		 //plane 9 point @56 
     -1594.8632,	       5629.9879,	       9051.3057 ; 		 //plane 9 point @57 
     -1603.0331,	       5631.2951,	       7609.4520 ; 		 //plane 9 point @58 
