Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64276,	   5.72509,	  -0.01298
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70936,	   5.60431,	  -0.01578
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49349,	  -6.99362,	  -0.01981
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.57532,	  -6.86816,	  -0.01712
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64276,	   5.72509,	  -0.01298
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.61101,	   5.63115,	   7.60658
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.69196,	   5.59700,	   7.56759
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.48579,	  -6.99348,	   7.61148
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.40917,	  -6.95662,	   7.65039
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.61101,	   5.63115,	   7.60658
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64272,	   5.71602,	   9.05419
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60435,	   5.62982,	   9.04845
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.40269,	  -6.95651,	   9.05815
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.57532,	  -6.86816,	   9.06360
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64272,	   5.71602,	   9.05419
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.64276,	   5.72509,	  -0.01298
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70936,	   5.60431,	  -0.01578
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.90908,	   5.60026,	   0.74870
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.90078,	   5.59443,	   6.71611
