Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66572,	   5.72547,	  -0.01417
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70937,	   5.60431,	  -0.01349
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49350,	  -6.99362,	  -0.01752
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.73907,	  -6.86525,	  -0.01818
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66572,	   5.72547,	  -0.01417
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60742,	   5.63122,	   7.60788
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68838,	   5.59707,	   7.56986
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.48220,	  -6.99341,	   7.61376
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.40556,	  -6.95656,	   7.65169
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60742,	   5.63122,	   7.60788
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66577,	   5.71640,	   9.05302
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60008,	   5.62990,	   9.04974
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.39842,	  -6.95643,	   9.05945
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.73907,	  -6.86525,	   9.06265
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66577,	   5.71640,	   9.05302
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66572,	   5.72547,	  -0.01417
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70937,	   5.60431,	  -0.01349
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.90872,	   5.60027,	   0.75108
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.89760,	   5.59448,	   6.71849
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68838,	   5.59707,	   7.56986
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60742,	   5.63122,	   7.60788
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60008,	   5.62990,	   9.04974
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66577,	   5.71640,	   9.05302
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66572,	   5.72547,	  -0.01417
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.73907,	  -6.86525,	  -0.01818
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49350,	  -6.99362,	  -0.01752
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.69856,	  -6.99725,	   0.76892
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68747,	  -6.99706,	   6.77839
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.48220,	  -6.99341,	   7.61376
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.40556,	  -6.95656,	   7.65169
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.39842,	  -6.95643,	   9.05945
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.73907,	  -6.86525,	   9.06265
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.73907,	  -6.86525,	  -0.01818
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66572,	   5.72547,	  -0.01417
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.73907,	  -6.86525,	  -0.01818
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.73907,	  -6.86525,	   9.06265
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66577,	   5.71640,	   9.05302
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.66572,	   5.72547,	  -0.01417
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70937,	   5.60431,	  -0.01349
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49350,	  -6.99362,	  -0.01752
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.69856,	  -6.99725,	   0.76892
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.90872,	   5.60027,	   0.75108
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70937,	   5.60431,	  -0.01349
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.90872,	   5.60027,	   0.75108
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.69856,	  -6.99725,	   0.76892
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68747,	  -6.99706,	   6.77839
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.89760,	   5.59448,	   6.71849
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.90872,	   5.60027,	   0.75108
