      3665.7162,	       5725.4707,	        -14.1681 ; 		 //plane 0 point @1 
     -3709.3674,	       5604.3106,	        -13.4932 ; 		 //plane 0 point @2 
     -3493.4987,	      -6993.6154,	        -17.5221 ; 		 //plane 0 point @3 
      3739.0738,	      -6865.2545,	        -18.1809 ; 		 //plane 0 point @4 
      3665.7162,	       5725.4707,	        -14.1681 ; 		 //plane 0 point @5 
     -1607.4185,	       5631.2171,	       7607.8768 ; 		 //plane 1 point @6 
     -3688.3849,	       5597.0685,	       7569.8609 ; 		 //plane 1 point @7 
     -3482.1988,	      -6993.4148,	       7613.7634 ; 		 //plane 1 point @8 
     -1405.5607,	      -6956.5595,	       7651.6914 ; 		 //plane 1 point @9 
     -1607.4185,	       5631.2171,	       7607.8768 ; 		 //plane 1 point @10 
      3665.7691,	       5716.4003,	       9053.0192 ; 		 //plane 2 point @11 
     -1600.0790,	       5629.8951,	       9049.7350 ; 		 //plane 2 point @12 
     -1398.4175,	      -6956.4327,	       9059.4532 ; 		 //plane 2 point @13 
      3739.0738,	      -6865.2545,	       9062.6522 ; 		 //plane 2 point @14 
      3665.7691,	       5716.4003,	       9053.0192 ; 		 //plane 2 point @15 
      3665.7162,	       5725.4707,	        -14.1681 ; 		 //plane 3 point @16 
     -3709.3674,	       5604.3106,	        -13.4932 ; 		 //plane 3 point @17 
     -3908.7196,	       5600.2707,	        751.0776 ; 		 //plane 3 point @18 
     -3897.6042,	       5594.4832,	       6718.4881 ; 		 //plane 3 point @19 
     -3688.3849,	       5597.0685,	       7569.8609 ; 		 //plane 3 point @20 
     -1607.4185,	       5631.2171,	       7607.8768 ; 		 //plane 3 point @21 
     -1600.0790,	       5629.8951,	       9049.7350 ; 		 //plane 3 point @22 
      3665.7691,	       5716.4003,	       9053.0192 ; 		 //plane 3 point @23 
      3665.7162,	       5725.4707,	        -14.1681 ; 		 //plane 3 point @24 
      3739.0738,	      -6865.2545,	        -18.1809 ; 		 //plane 4 point @25 
     -3493.4987,	      -6993.6154,	        -17.5221 ; 		 //plane 4 point @26 
     -3698.5624,	      -6997.2548,	        768.9199 ; 		 //plane 4 point @27 
     -3687.4692,	      -6997.0579,	       6778.3905 ; 		 //plane 4 point @28 
     -3482.1988,	      -6993.4148,	       7613.7634 ; 		 //plane 4 point @29 
     -1405.5607,	      -6956.5595,	       7651.6914 ; 		 //plane 4 point @30 
     -1398.4175,	      -6956.4327,	       9059.4532 ; 		 //plane 4 point @31 
      3739.0738,	      -6865.2545,	       9062.6522 ; 		 //plane 4 point @32 
      3739.0738,	      -6865.2545,	        -18.1809 ; 		 //plane 4 point @33 
      3665.7162,	       5725.4707,	        -14.1681 ; 		 //plane 5 point @34 
      3739.0738,	      -6865.2545,	        -18.1809 ; 		 //plane 5 point @35 
      3739.0738,	      -6865.2545,	       9062.6522 ; 		 //plane 5 point @36 
      3665.7691,	       5716.4003,	       9053.0192 ; 		 //plane 5 point @37 
      3665.7162,	       5725.4707,	        -14.1681 ; 		 //plane 5 point @38 
     -3709.3674,	       5604.3106,	        -13.4932 ; 		 //plane 6 point @39 
     -3493.4987,	      -6993.6154,	        -17.5221 ; 		 //plane 6 point @40 
     -3698.5624,	      -6997.2548,	        768.9199 ; 		 //plane 6 point @41 
     -3908.7196,	       5600.2707,	        751.0776 ; 		 //plane 6 point @42 
     -3709.3674,	       5604.3106,	        -13.4932 ; 		 //plane 6 point @43 
     -3908.7196,	       5600.2707,	        751.0776 ; 		 //plane 7 point @44 
     -3698.5624,	      -6997.2548,	        768.9199 ; 		 //plane 7 point @45 
     -3687.4692,	      -6997.0579,	       6778.3905 ; 		 //plane 7 point @46 
     -3897.6042,	       5594.4832,	       6718.4881 ; 		 //plane 7 point @47 
     -3908.7196,	       5600.2707,	        751.0776 ; 		 //plane 7 point @48 
     -3897.6042,	       5594.4832,	       6718.4881 ; 		 //plane 8 point @49 
     -3687.4692,	      -6997.0579,	       6778.3905 ; 		 //plane 8 point @50 
     -3482.1988,	      -6993.4148,	       7613.7634 ; 		 //plane 8 point @51 
     -3688.3849,	       5597.0685,	       7569.8609 ; 		 //plane 8 point @52 
     -3897.6042,	       5594.4832,	       6718.4881 ; 		 //plane 8 point @53 
     -1607.4185,	       5631.2171,	       7607.8768 ; 		 //plane 9 point @54 
     -1405.5607,	      -6956.5595,	       7651.6914 ; 		 //plane 9 point @55 
     -1398.4175,	      -6956.4327,	       9059.4532 ; 		 //plane 9 point @56 
     -1600.0790,	       5629.8951,	       9049.7350 ; 		 //plane 9 point @57 
     -1607.4185,	       5631.2171,	       7607.8768 ; 		 //plane 9 point @58 
