Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.69372,	   5.72593,	  -0.01565
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70937,	   5.60431,	  -0.01071
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49351,	  -6.99362,	  -0.01473
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.93916,	  -6.86170,	  -0.01969
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.69372,	   5.72593,	  -0.01565
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60303,	   5.63130,	   7.60945
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68402,	   5.59715,	   7.57263
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.47781,	  -6.99334,	   7.61655
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.40115,	  -6.95648,	   7.65328
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60303,	   5.63130,	   7.60945
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.69390,	   5.71687,	   9.05156
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.59486,	   5.62999,	   9.05131
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.39320,	  -6.95634,	   9.06104
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.93916,	  -6.86170,	   9.06128
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.69390,	   5.71687,	   9.05156
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.69372,	   5.72593,	  -0.01565
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70937,	   5.60431,	  -0.01071
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.90828,	   5.60028,	   0.75398
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.89373,	   5.59455,	   6.72138
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68402,	   5.59715,	   7.57263
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60303,	   5.63130,	   7.60945
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.59486,	   5.62999,	   9.05131
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.69390,	   5.71687,	   9.05156
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.69372,	   5.72593,	  -0.01565
