      3642.7641,	       5725.0938,	        -12.9797 ; 		 //plane 0 point @1 
     -3709.3633,	       5604.3104,	        -15.7766 ; 		 //plane 0 point @2 
     -3493.4919,	      -6993.6156,	        -19.8092 ; 		 //plane 0 point @3 
      3575.3169,	      -6868.1606,	        -17.1169 ; 		 //plane 0 point @4 
      3642.7641,	       5725.0938,	        -12.9797 ; 		 //plane 0 point @5 
     -1611.0105,	       5631.1531,	       7606.5844 ; 		 //plane 1 point @6 
     -3691.9588,	       5597.0048,	       7567.5864 ; 		 //plane 1 point @7 
     -3485.7926,	      -6993.4789,	       7611.4808 ; 		 //plane 1 point @8 
     -1409.1726,	      -6956.6237,	       7650.3889 ; 		 //plane 1 point @9 
     -1611.0105,	       5631.1531,	       7606.5844 ; 		 //plane 1 point @10 
      3642.7155,	       5716.0161,	       9054.1948 ; 		 //plane 2 point @11 
     -1604.3514,	       5629.8191,	       9048.4459 ; 		 //plane 2 point @12 
     -1402.6936,	      -6956.5088,	       9058.1538 ; 		 //plane 2 point @13 
      3575.3169,	      -6868.1606,	       9063.6030 ; 		 //plane 2 point @14 
      3642.7155,	       5716.0161,	       9054.1948 ; 		 //plane 2 point @15 
      3642.7641,	       5725.0938,	        -12.9797 ; 		 //plane 3 point @16 
     -3709.3633,	       5604.3104,	        -15.7766 ; 		 //plane 3 point @17 
     -3909.0763,	       5600.2641,	        748.7000 ; 		 //plane 3 point @18 
     -3900.7764,	       5594.4266,	       6716.1149 ; 		 //plane 3 point @19 
     -3691.9588,	       5597.0048,	       7567.5864 ; 		 //plane 3 point @20 
     -1611.0105,	       5631.1531,	       7606.5844 ; 		 //plane 3 point @21 
     -1604.3514,	       5629.8191,	       9048.4459 ; 		 //plane 3 point @22 
      3642.7155,	       5716.0161,	       9054.1948 ; 		 //plane 3 point @23 
      3642.7641,	       5725.0938,	        -12.9797 ; 		 //plane 3 point @24 
      3575.3169,	      -6868.1606,	        -17.1169 ; 		 //plane 4 point @25 
     -3493.4919,	      -6993.6156,	        -19.8092 ; 		 //plane 4 point @26 
     -3698.9267,	      -6997.2616,	        766.5359 ; 		 //plane 4 point @27 
     -3690.6688,	      -6997.1150,	       6776.0110 ; 		 //plane 4 point @28 
     -3485.7926,	      -6993.4789,	       7611.4808 ; 		 //plane 4 point @29 
     -1409.1726,	      -6956.6237,	       7650.3889 ; 		 //plane 4 point @30 
     -1402.6936,	      -6956.5088,	       9058.1538 ; 		 //plane 4 point @31 
      3575.3169,	      -6868.1606,	       9063.6030 ; 		 //plane 4 point @32 
      3575.3169,	      -6868.1606,	        -17.1169 ; 		 //plane 4 point @33 
      3642.7641,	       5725.0938,	        -12.9797 ; 		 //plane 5 point @34 
      3575.3169,	      -6868.1606,	        -17.1169 ; 		 //plane 5 point @35 
      3575.3169,	      -6868.1606,	       9063.6030 ; 		 //plane 5 point @36 
      3642.7155,	       5716.0161,	       9054.1948 ; 		 //plane 5 point @37 
      3642.7641,	       5725.0938,	        -12.9797 ; 		 //plane 5 point @38 
     -3709.3633,	       5604.3104,	        -15.7766 ; 		 //plane 6 point @39 
     -3493.4919,	      -6993.6156,	        -19.8092 ; 		 //plane 6 point @40 
     -3698.9267,	      -6997.2616,	        766.5359 ; 		 //plane 6 point @41 
     -3909.0763,	       5600.2641,	        748.7000 ; 		 //plane 6 point @42 
     -3709.3633,	       5604.3104,	        -15.7766 ; 		 //plane 6 point @43 
     -3909.0763,	       5600.2641,	        748.7000 ; 		 //plane 7 point @44 
     -3698.9267,	      -6997.2616,	        766.5359 ; 		 //plane 7 point @45 
     -3690.6688,	      -6997.1150,	       6776.0110 ; 		 //plane 7 point @46 
     -3900.7764,	       5594.4266,	       6716.1149 ; 		 //plane 7 point @47 
     -3909.0763,	       5600.2641,	        748.7000 ; 		 //plane 7 point @48 
     -3900.7764,	       5594.4266,	       6716.1149 ; 		 //plane 8 point @49 
     -3690.6688,	      -6997.1150,	       6776.0110 ; 		 //plane 8 point @50 
     -3485.7926,	      -6993.4789,	       7611.4808 ; 		 //plane 8 point @51 
     -3691.9588,	       5597.0048,	       7567.5864 ; 		 //plane 8 point @52 
     -3900.7764,	       5594.4266,	       6716.1149 ; 		 //plane 8 point @53 
     -1611.0105,	       5631.1531,	       7606.5844 ; 		 //plane 9 point @54 
     -1409.1726,	      -6956.6237,	       7650.3889 ; 		 //plane 9 point @55 
     -1402.6936,	      -6956.5088,	       9058.1538 ; 		 //plane 9 point @56 
     -1604.3514,	       5629.8191,	       9048.4459 ; 		 //plane 9 point @57 
     -1611.0105,	       5631.1531,	       7606.5844 ; 		 //plane 9 point @58 
