Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.34418,	   5.72019,	  -0.01575
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70937,	   5.60431,	  -0.00998
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.49351,	  -6.99362,	  -0.01401
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.57896,	  -6.86810,	  -0.01978
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.34418,	   5.72019,	  -0.01575
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60190,	   5.63132,	   7.60986
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68289,	   5.59717,	   7.57335
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.47667,	  -6.99332,	   7.61727
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.40001,	  -6.95646,	   7.65369
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60190,	   5.63132,	   7.60986
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.34435,	   5.71113,	   9.05121
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.59351,	   5.63001,	   9.05171
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.39184,	  -6.95632,	   9.06145
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.57896,	  -6.86810,	   9.06094
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.34435,	   5.71113,	   9.05121
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.34418,	   5.72019,	  -0.01575
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70937,	   5.60431,	  -0.00998
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.90817,	   5.60028,	   0.75473
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.89273,	   5.59457,	   6.72213
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68289,	   5.59717,	   7.57335
