      3344.1765,	       5720.1881,	        -15.7455 ; 		 //plane 0 point @1 
     -3709.3715,	       5604.3111,	         -9.9836 ; 		 //plane 0 point @2 
     -3493.5070,	      -6993.6150,	        -14.0069 ; 		 //plane 0 point @3 
      3578.9604,	      -6868.0964,	        -19.7814 ; 		 //plane 0 point @4 
      3344.1765,	       5720.1881,	        -15.7455 ; 		 //plane 0 point @5 
     -1601.8965,	       5631.3153,	       7609.8598 ; 		 //plane 1 point @6 
     -3682.8899,	       5597.1666,	       7573.3534 ; 		 //plane 1 point @7 
     -3476.6733,	      -6993.3163,	       7617.2684 ; 		 //plane 1 point @8 
     -1400.0082,	      -6956.4606,	       7653.6900 ; 		 //plane 1 point @9 
     -1601.8965,	       5631.3153,	       7609.8598 ; 		 //plane 1 point @10 
      3344.3455,	       5711.1285,	       9051.2103 ; 		 //plane 2 point @11 
     -1593.5115,	       5630.0120,	       9051.7123 ; 		 //plane 2 point @12 
     -1391.8442,	      -6956.3157,	       9061.4462 ; 		 //plane 2 point @13 
      3578.9604,	      -6868.0964,	       9060.9358 ; 		 //plane 2 point @14 
      3344.3455,	       5711.1285,	       9051.2103 ; 		 //plane 2 point @15 
      3344.1765,	       5720.1881,	        -15.7455 ; 		 //plane 3 point @16 
     -3709.3715,	       5604.3111,	         -9.9836 ; 		 //plane 3 point @17 
     -3908.1693,	       5600.2810,	        754.7316 ; 		 //plane 3 point @18 
     -3892.7266,	       5594.5703,	       6722.1325 ; 		 //plane 3 point @19 
     -3682.8899,	       5597.1666,	       7573.3534 ; 		 //plane 3 point @20 
     -1601.8965,	       5631.3153,	       7609.8598 ; 		 //plane 3 point @21 
     -1593.5115,	       5630.0120,	       9051.7123 ; 		 //plane 3 point @22 
      3344.3455,	       5711.1285,	       9051.2103 ; 		 //plane 3 point @23 
      3344.1765,	       5720.1881,	        -15.7455 ; 		 //plane 3 point @24 
      3578.9604,	      -6868.0964,	        -19.7814 ; 		 //plane 4 point @25 
     -3493.5070,	      -6993.6150,	        -14.0069 ; 		 //plane 4 point @26 
     -3698.0004,	      -6997.2443,	        772.5836 ; 		 //plane 4 point @27 
     -3682.5494,	      -6996.9700,	       6782.0446 ; 		 //plane 4 point @28 
     -3476.6733,	      -6993.3163,	       7617.2684 ; 		 //plane 4 point @29 
     -1400.0082,	      -6956.4606,	       7653.6900 ; 		 //plane 4 point @30 
     -1391.8442,	      -6956.3157,	       9061.4462 ; 		 //plane 4 point @31 
      3578.9604,	      -6868.0964,	       9060.9358 ; 		 //plane 4 point @32 
      3578.9604,	      -6868.0964,	        -19.7814 ; 		 //plane 4 point @33 
      3344.1765,	       5720.1881,	        -15.7455 ; 		 //plane 5 point @34 
      3578.9604,	      -6868.0964,	        -19.7814 ; 		 //plane 5 point @35 
      3578.9604,	      -6868.0964,	       9060.9358 ; 		 //plane 5 point @36 
      3344.3455,	       5711.1285,	       9051.2103 ; 		 //plane 5 point @37 
      3344.1765,	       5720.1881,	        -15.7455 ; 		 //plane 5 point @38 
     -3709.3715,	       5604.3111,	         -9.9836 ; 		 //plane 6 point @39 
     -3493.5070,	      -6993.6150,	        -14.0069 ; 		 //plane 6 point @40 
     -3698.0004,	      -6997.2443,	        772.5836 ; 		 //plane 6 point @41 
     -3908.1693,	       5600.2810,	        754.7316 ; 		 //plane 6 point @42 
     -3709.3715,	       5604.3111,	         -9.9836 ; 		 //plane 6 point @43 
     -3908.1693,	       5600.2810,	        754.7316 ; 		 //plane 7 point @44 
     -3698.0004,	      -6997.2443,	        772.5836 ; 		 //plane 7 point @45 
     -3682.5494,	      -6996.9700,	       6782.0446 ; 		 //plane 7 point @46 
     -3892.7266,	       5594.5703,	       6722.1325 ; 		 //plane 7 point @47 
     -3908.1693,	       5600.2810,	        754.7316 ; 		 //plane 7 point @48 
     -3892.7266,	       5594.5703,	       6722.1325 ; 		 //plane 8 point @49 
     -3682.5494,	      -6996.9700,	       6782.0446 ; 		 //plane 8 point @50 
     -3476.6733,	      -6993.3163,	       7617.2684 ; 		 //plane 8 point @51 
     -3682.8899,	       5597.1666,	       7573.3534 ; 		 //plane 8 point @52 
     -3892.7266,	       5594.5703,	       6722.1325 ; 		 //plane 8 point @53 
     -1601.8965,	       5631.3153,	       7609.8598 ; 		 //plane 9 point @54 
     -1400.0082,	      -6956.4606,	       7653.6900 ; 		 //plane 9 point @55 
     -1391.8442,	      -6956.3157,	       9061.4462 ; 		 //plane 9 point @56 
     -1593.5115,	       5630.0120,	       9051.7123 ; 		 //plane 9 point @57 
     -1601.8965,	       5631.3153,	       7609.8598 ; 		 //plane 9 point @58 
