      3170.5659,	       5717.3359,	        -16.2804 ; 		 //plane 0 point @1 
     -3709.3725,	       5604.3113,	         -8.3798 ; 		 //plane 0 point @2 
     -3493.5100,	      -6993.6148,	        -12.4006 ; 		 //plane 0 point @3 
      3143.0915,	      -6875.8320,	        -20.0191 ; 		 //plane 0 point @4 
      3170.5659,	       5717.3359,	        -16.2804 ; 		 //plane 0 point @5 
     -1599.3727,	       5631.3603,	       7610.7646 ; 		 //plane 1 point @6 
     -3680.3781,	       5597.2114,	       7574.9479 ; 		 //plane 1 point @7 
     -3474.1476,	      -6993.2712,	       7618.8687 ; 		 //plane 1 point @8 
     -1397.4705,	      -6956.4155,	       7654.6020 ; 		 //plane 1 point @9 
     -1599.3727,	       5631.3603,	       7610.7646 ; 		 //plane 1 point @10 
      3170.5461,	       5708.2773,	       9050.5521 ; 		 //plane 2 point @11 
     -1590.5099,	       5630.0654,	       9052.6143 ; 		 //plane 2 point @12 
     -1388.8400,	      -6956.2623,	       9062.3554 ; 		 //plane 2 point @13 
      3143.0915,	      -6875.8320,	       9060.3878 ; 		 //plane 2 point @14 
      3170.5461,	       5708.2773,	       9050.5521 ; 		 //plane 2 point @15 
      3170.5659,	       5717.3359,	        -16.2804 ; 		 //plane 3 point @16 
     -3709.3725,	       5604.3113,	         -8.3798 ; 		 //plane 3 point @17 
     -3907.9169,	       5600.2857,	        756.4012 ; 		 //plane 3 point @18 
     -3890.4969,	       5594.6101,	       6723.7967 ; 		 //plane 3 point @19 
     -3680.3781,	       5597.2114,	       7574.9479 ; 		 //plane 3 point @20 
     -1599.3727,	       5631.3603,	       7610.7646 ; 		 //plane 3 point @21 
     -1590.5099,	       5630.0654,	       9052.6143 ; 		 //plane 3 point @22 
      3170.5461,	       5708.2773,	       9050.5521 ; 		 //plane 3 point @23 
      3170.5659,	       5717.3359,	        -16.2804 ; 		 //plane 3 point @24 
      3143.0915,	      -6875.8320,	        -20.0191 ; 		 //plane 4 point @25 
     -3493.5100,	      -6993.6148,	        -12.4006 ; 		 //plane 4 point @26 
     -3697.7427,	      -6997.2395,	        774.2576 ; 		 //plane 4 point @27 
     -3680.3004,	      -6996.9299,	       6783.7131 ; 		 //plane 4 point @28 
     -3474.1476,	      -6993.2712,	       7618.8687 ; 		 //plane 4 point @29 
     -1397.4705,	      -6956.4155,	       7654.6020 ; 		 //plane 4 point @30 
     -1388.8400,	      -6956.2623,	       9062.3554 ; 		 //plane 4 point @31 
      3143.0915,	      -6875.8320,	       9060.3878 ; 		 //plane 4 point @32 
      3143.0915,	      -6875.8320,	        -20.0191 ; 		 //plane 4 point @33 
      3170.5659,	       5717.3359,	        -16.2804 ; 		 //plane 5 point @34 
      3143.0915,	      -6875.8320,	        -20.0191 ; 		 //plane 5 point @35 
      3143.0915,	      -6875.8320,	       9060.3878 ; 		 //plane 5 point @36 
      3170.5461,	       5708.2773,	       9050.5521 ; 		 //plane 5 point @37 
      3170.5659,	       5717.3359,	        -16.2804 ; 		 //plane 5 point @38 
     -3709.3725,	       5604.3113,	         -8.3798 ; 		 //plane 6 point @39 
     -3493.5100,	      -6993.6148,	        -12.4006 ; 		 //plane 6 point @40 
     -3697.7427,	      -6997.2395,	        774.2576 ; 		 //plane 6 point @41 
     -3907.9169,	       5600.2857,	        756.4012 ; 		 //plane 6 point @42 
     -3709.3725,	       5604.3113,	         -8.3798 ; 		 //plane 6 point @43 
     -3907.9169,	       5600.2857,	        756.4012 ; 		 //plane 7 point @44 
     -3697.7427,	      -6997.2395,	        774.2576 ; 		 //plane 7 point @45 
     -3680.3004,	      -6996.9299,	       6783.7131 ; 		 //plane 7 point @46 
     -3890.4969,	       5594.6101,	       6723.7967 ; 		 //plane 7 point @47 
     -3907.9169,	       5600.2857,	        756.4012 ; 		 //plane 7 point @48 
     -3890.4969,	       5594.6101,	       6723.7967 ; 		 //plane 8 point @49 
     -3680.3004,	      -6996.9299,	       6783.7131 ; 		 //plane 8 point @50 
     -3474.1476,	      -6993.2712,	       7618.8687 ; 		 //plane 8 point @51 
     -3680.3781,	       5597.2114,	       7574.9479 ; 		 //plane 8 point @52 
     -3890.4969,	       5594.6101,	       6723.7967 ; 		 //plane 8 point @53 
     -1599.3727,	       5631.3603,	       7610.7646 ; 		 //plane 9 point @54 
     -1397.4705,	      -6956.4155,	       7654.6020 ; 		 //plane 9 point @55 
     -1388.8400,	      -6956.2623,	       9062.3554 ; 		 //plane 9 point @56 
     -1590.5099,	       5630.0654,	       9052.6143 ; 		 //plane 9 point @57 
     -1599.3727,	       5631.3603,	       7610.7646 ; 		 //plane 9 point @58 
