      3668.2643,	       5725.5126,	        -14.3014 ; 		 //plane 0 point @1 
     -3709.3677,	       5604.3107,	        -13.2396 ; 		 //plane 0 point @2 
     -3493.4994,	      -6993.6153,	        -17.2681 ; 		 //plane 0 point @3 
      3757.2664,	      -6864.9316,	        -18.3086 ; 		 //plane 0 point @4 
      3668.2643,	       5725.5126,	        -14.3014 ; 		 //plane 0 point @5 
     -1607.0196,	       5631.2242,	       7608.0202 ; 		 //plane 1 point @6 
     -3687.9880,	       5597.0756,	       7570.1133 ; 		 //plane 1 point @7 
     -3481.7997,	      -6993.4077,	       7614.0168 ; 		 //plane 1 point @8 
     -1405.1596,	      -6956.5523,	       7651.8359 ; 		 //plane 1 point @9 
     -1607.0196,	       5631.2242,	       7608.0202 ; 		 //plane 1 point @10 
      3668.3284,	       5716.4429,	       9052.8875 ; 		 //plane 2 point @11 
     -1599.6046,	       5629.9036,	       9049.8780 ; 		 //plane 2 point @12 
     -1397.9427,	      -6956.4242,	       9059.5973 ; 		 //plane 2 point @13 
      3757.2664,	      -6864.9316,	       9062.5372 ; 		 //plane 2 point @14 
      3668.3284,	       5716.4429,	       9052.8875 ; 		 //plane 2 point @15 
      3668.2643,	       5725.5126,	        -14.3014 ; 		 //plane 3 point @16 
     -3709.3677,	       5604.3107,	        -13.2396 ; 		 //plane 3 point @17 
     -3908.6800,	       5600.2715,	        751.3416 ; 		 //plane 3 point @18 
     -3897.2519,	       5594.4895,	       6718.7515 ; 		 //plane 3 point @19 
     -3687.9880,	       5597.0756,	       7570.1133 ; 		 //plane 3 point @20 
     -1607.0196,	       5631.2242,	       7608.0202 ; 		 //plane 3 point @21 
     -1599.6046,	       5629.9036,	       9049.8780 ; 		 //plane 3 point @22 
      3668.3284,	       5716.4429,	       9052.8875 ; 		 //plane 3 point @23 
      3668.2643,	       5725.5126,	        -14.3014 ; 		 //plane 3 point @24 
      3757.2664,	      -6864.9316,	        -18.3086 ; 		 //plane 4 point @25 
     -3493.4994,	      -6993.6153,	        -17.2681 ; 		 //plane 4 point @26 
     -3698.5219,	      -6997.2540,	        769.1846 ; 		 //plane 4 point @27 
     -3687.1138,	      -6997.0515,	       6778.6546 ; 		 //plane 4 point @28 
     -3481.7997,	      -6993.4077,	       7614.0168 ; 		 //plane 4 point @29 
     -1405.1596,	      -6956.5523,	       7651.8359 ; 		 //plane 4 point @30 
     -1397.9427,	      -6956.4242,	       9059.5973 ; 		 //plane 4 point @31 
      3757.2664,	      -6864.9316,	       9062.5372 ; 		 //plane 4 point @32 
      3757.2664,	      -6864.9316,	        -18.3086 ; 		 //plane 4 point @33 
      3668.2643,	       5725.5126,	        -14.3014 ; 		 //plane 5 point @34 
      3757.2664,	      -6864.9316,	        -18.3086 ; 		 //plane 5 point @35 
      3757.2664,	      -6864.9316,	       9062.5372 ; 		 //plane 5 point @36 
      3668.3284,	       5716.4429,	       9052.8875 ; 		 //plane 5 point @37 
      3668.2643,	       5725.5126,	        -14.3014 ; 		 //plane 5 point @38 
     -3709.3677,	       5604.3107,	        -13.2396 ; 		 //plane 6 point @39 
     -3493.4994,	      -6993.6153,	        -17.2681 ; 		 //plane 6 point @40 
     -3698.5219,	      -6997.2540,	        769.1846 ; 		 //plane 6 point @41 
     -3908.6800,	       5600.2715,	        751.3416 ; 		 //plane 6 point @42 
     -3709.3677,	       5604.3107,	        -13.2396 ; 		 //plane 6 point @43 
     -3908.6800,	       5600.2715,	        751.3416 ; 		 //plane 7 point @44 
     -3698.5219,	      -6997.2540,	        769.1846 ; 		 //plane 7 point @45 
     -3687.1138,	      -6997.0515,	       6778.6546 ; 		 //plane 7 point @46 
     -3897.2519,	       5594.4895,	       6718.7515 ; 		 //plane 7 point @47 
     -3908.6800,	       5600.2715,	        751.3416 ; 		 //plane 7 point @48 
     -3897.2519,	       5594.4895,	       6718.7515 ; 		 //plane 8 point @49 
     -3687.1138,	      -6997.0515,	       6778.6546 ; 		 //plane 8 point @50 
     -3481.7997,	      -6993.4077,	       7614.0168 ; 		 //plane 8 point @51 
     -3687.9880,	       5597.0756,	       7570.1133 ; 		 //plane 8 point @52 
     -3897.2519,	       5594.4895,	       6718.7515 ; 		 //plane 8 point @53 
     -1607.0196,	       5631.2242,	       7608.0202 ; 		 //plane 9 point @54 
     -1405.1596,	      -6956.5523,	       7651.8359 ; 		 //plane 9 point @55 
     -1397.9427,	      -6956.4242,	       9059.5973 ; 		 //plane 9 point @56 
     -1599.6046,	       5629.9036,	       9049.8780 ; 		 //plane 9 point @57 
     -1607.0196,	       5631.2242,	       7608.0202 ; 		 //plane 9 point @58 
