Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.02231,	   5.61459,	  -0.01271
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.06687,	   5.79644,	  -0.00059
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.41448,	  -6.74931,	  -0.00152
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.64208,	  -6.96072,	  -0.01359
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.02231,	   5.61459,	  -0.01271
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.93147,	   5.75782,	   7.61688
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.02156,	   5.81136,	   7.58728
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.38820,	  -6.75010,	   7.61123
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.31545,	  -6.81220,	   7.64061
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.93147,	   5.75782,	   7.61688
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.02289,	   5.63380,	   9.05083
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.92821,	   5.76079,	   9.05534
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.31228,	  -6.81229,	   9.07510
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.64208,	  -6.96072,	   9.07062
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.02289,	   5.63380,	   9.05083
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -4.02231,	   5.61459,	  -0.01271
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.06687,	   5.79644,	  -0.00059
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.26434,	   5.80319,	   0.79720
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.23690,	   5.81503,	   6.70957
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.02156,	   5.81136,	   7.58728
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.93147,	   5.75782,	   7.61688
