     -4007.0339,	       5614.9845,	        -15.3438 ; 		 //plane 0 point @1 
      3066.8572,	       5796.4345,	          3.8354 ; 		 //plane 0 point @2 
      3414.4743,	      -6749.3128,	          2.8793 ; 		 //plane 0 point @3 
     -3651.3857,	      -6960.9955,	        -16.2828 ; 		 //plane 0 point @4 
     -4007.0339,	       5614.9845,	        -15.3438 ; 		 //plane 0 point @5 
       923.8465,	       5757.5931,	       7619.1633 ; 		 //plane 1 point @6 
      3013.9615,	       5811.1357,	       7591.6547 ; 		 //plane 1 point @7 
      3380.5697,	      -6750.3285,	       7615.5961 ; 		 //plane 1 point @8 
      1307.7931,	      -6812.4258,	       7642.8971 ; 		 //plane 1 point @9 
       923.8465,	       5757.5931,	       7619.1633 ; 		 //plane 1 point @10 
     -4007.5760,	       5634.1513,	       9048.2030 ; 		 //plane 2 point @11 
       919.1396,	       5760.5165,	       9057.6221 ; 		 //plane 2 point @12 
      1303.1925,	      -6812.5637,	       9077.3860 ; 		 //plane 2 point @13 
     -3651.3857,	      -6960.9955,	       9067.9459 ; 		 //plane 2 point @14 
     -4007.5760,	       5634.1513,	       9048.2030 ; 		 //plane 2 point @15 
     -4007.0339,	       5614.9845,	        -15.3438 ; 		 //plane 3 point @16 
      3066.8572,	       5796.4345,	          3.8354 ; 		 //plane 3 point @17 
      3263.5303,	       5803.1669,	        801.8236 ; 		 //plane 3 point @18 
      3230.1781,	       5814.8236,	       6714.1622 ; 		 //plane 3 point @19 
      3013.9615,	       5811.1357,	       7591.6547 ; 		 //plane 3 point @20 
       923.8465,	       5757.5931,	       7619.1633 ; 		 //plane 3 point @21 
       919.1396,	       5760.5165,	       9057.6221 ; 		 //plane 3 point @22 
     -4007.5760,	       5634.1513,	       9048.2030 ; 		 //plane 3 point @23 
     -4007.0339,	       5614.9845,	        -15.3438 ; 		 //plane 3 point @24 
     -3651.3857,	      -6960.9955,	        -16.2828 ; 		 //plane 4 point @25 
      3414.4743,	      -6749.3128,	          2.8793 ; 		 //plane 4 point @26 
      3617.8404,	      -6743.2202,	        827.9261 ; 		 //plane 4 point @27 
      3584.5829,	      -6744.2166,	       6787.3133 ; 		 //plane 4 point @28 
      3380.5697,	      -6750.3285,	       7615.5961 ; 		 //plane 4 point @29 
      1307.7931,	      -6812.4258,	       7642.8971 ; 		 //plane 4 point @30 
      1303.1925,	      -6812.5637,	       9077.3860 ; 		 //plane 4 point @31 
     -3651.3857,	      -6960.9955,	       9067.9459 ; 		 //plane 4 point @32 
     -3651.3857,	      -6960.9955,	        -16.2828 ; 		 //plane 4 point @33 
     -4007.0339,	       5614.9845,	        -15.3438 ; 		 //plane 5 point @34 
     -3651.3857,	      -6960.9955,	        -16.2828 ; 		 //plane 5 point @35 
     -3651.3857,	      -6960.9955,	       9067.9459 ; 		 //plane 5 point @36 
     -4007.5760,	       5634.1513,	       9048.2030 ; 		 //plane 5 point @37 
     -4007.0339,	       5614.9845,	        -15.3438 ; 		 //plane 5 point @38 
      3066.8572,	       5796.4345,	          3.8354 ; 		 //plane 6 point @39 
      3414.4743,	      -6749.3128,	          2.8793 ; 		 //plane 6 point @40 
      3617.8404,	      -6743.2202,	        827.9261 ; 		 //plane 6 point @41 
      3263.5303,	       5803.1669,	        801.8236 ; 		 //plane 6 point @42 
      3066.8572,	       5796.4345,	          3.8354 ; 		 //plane 6 point @43 
      3263.5303,	       5803.1669,	        801.8236 ; 		 //plane 7 point @44 
      3617.8404,	      -6743.2202,	        827.9261 ; 		 //plane 7 point @45 
      3584.5829,	      -6744.2166,	       6787.3133 ; 		 //plane 7 point @46 
      3230.1781,	       5814.8236,	       6714.1622 ; 		 //plane 7 point @47 
      3263.5303,	       5803.1669,	        801.8236 ; 		 //plane 7 point @48 
      3230.1781,	       5814.8236,	       6714.1622 ; 		 //plane 8 point @49 
      3584.5829,	      -6744.2166,	       6787.3133 ; 		 //plane 8 point @50 
      3380.5697,	      -6750.3285,	       7615.5961 ; 		 //plane 8 point @51 
      3013.9615,	       5811.1357,	       7591.6547 ; 		 //plane 8 point @52 
      3230.1781,	       5814.8236,	       6714.1622 ; 		 //plane 8 point @53 
       923.8465,	       5757.5931,	       7619.1633 ; 		 //plane 9 point @54 
      1307.7931,	      -6812.4258,	       7642.8971 ; 		 //plane 9 point @55 
      1303.1925,	      -6812.5637,	       9077.3860 ; 		 //plane 9 point @56 
       919.1396,	       5760.5165,	       9057.6221 ; 		 //plane 9 point @57 
       923.8465,	       5757.5931,	       7619.1633 ; 		 //plane 9 point @58 
