Point Id,,,,,,Easting,Northing,Elevation
DEFAULT17,,,,,,,,
1,,,,,,-0.0001,6.0685,1.4136
2,,,,,,0.1534,-1.2157,0.0191
3,,,,,,0.152,-1.2024,0.0164
4,,,,,,0.1602,-1.2014,0.0124
5,,,,,,0.1529,-1.1545,0.0033
6,,,,,,0.2399,-1.2942,0.0006
7,,,,,,0.0716,-1.2571,0.0028
8,,,,,,0.0563,-1.0124,9.0644
9,,,,,,0.2252,-1.0974,9.0682
10,,,,,,0.0348,-1.1482,9.063
11,,,,,,-3.6411,6.029,7.5291
12,,,,,,-3.7593,6.0346,6.6817
13,,,,,,-3.7588,6.0336,4.7605
14,,,,,,-3.7572,6.0312,3.1223
15,,,,,,-3.7536,6.0263,0.5716
16,,,,,,-3.3923,6.0374,0.2397
17,,,,,,-3.3908,6.0351,2.5846
18,,,,,,-3.393,6.0385,4.4325
19,,,,,,-3.3908,6.0347,5.7971
20,,,,,,-3.3887,6.0306,7.2977
21,,,,,,-1.9214,6.0486,0.1848
22,,,,,,-1.9213,6.048,2.6728
23,,,,,,-1.9212,6.0478,4.9778
24,,,,,,-1.9189,6.0413,7.0232
25,,,,,,-1.4162,6.0637,8.9625
26,,,,,,-1.4115,6.0425,7.0105
27,,,,,,-1.4142,6.055,4.2282
28,,,,,,-1.4143,6.0548,1.8009
29,,,,,,-1.4153,6.0595,0.186
30,,,,,,-0.0175,6.074,0.1307
31,,,,,,-0.0174,6.0641,2.9502
32,,,,,,-0.0173,6.0573,5.6586
33,,,,,,-0.0174,6.0647,7.5856
34,,,,,,-0.0176,6.0756,8.8893
35,,,,,,0.5324,6.0844,8.8448
36,,,,,,0.5309,6.067,6.327
37,,,,,,0.5314,6.0709,4.0083
38,,,,,,0.5314,6.0738,2.4494
39,,,,,,0.5003,6.0786,0.1382
40,,,,,,1.9784,6.1053,0.6021
41,,,,,,1.9755,6.0961,2.6386
42,,,,,,1.9725,6.0873,4.7679
43,,,,,,1.9732,6.0897,6.6702
44,,,,,,1.981,6.1138,8.8907
45,,,,,,2.3863,6.1164,8.9209
46,,,,,,2.3775,6.0937,6.6294
47,,,,,,2.3791,6.0975,4.274
48,,,,,,2.382,6.1051,2.4454
49,,,,,,2.3638,6.1087,0.6374
50,,,,,,-2.8637,5.3242,0.2316
51,,,,,,-2.8645,5.3258,2.4211
52,,,,,,-2.8657,5.3277,4.4243
53,,,,,,-2.8662,5.3286,6.0759
54,,,,,,-2.8611,5.3196,7.4451
55,,,,,,-2.3264,5.3379,7.2278
56,,,,,,-2.3213,5.3264,5.8577
57,,,,,,-2.3238,5.3319,3.7279
58,,,,,,-2.3232,5.3309,2.093
59,,,,,,-2.3215,5.3276,0.2558
60,,,,,,-1.0116,5.3527,0.2057
61,,,,,,-1.0097,5.3415,2.8433
62,,,,,,-1.0085,5.3357,5.4604
63,,,,,,-0.9926,5.3381,7.6382
64,,,,,,-0.9719,5.3516,8.9364
65,,,,,,-0.367,5.3548,8.8709
66,,,,,,-0.3659,5.3384,6.4229
67,,,,,,-0.3664,5.3457,3.9454
68,,,,,,-0.3978,5.3514,1.7624
69,,,,,,-0.398,5.3564,0.271
70,,,,,,0.9512,5.37,0.1517
71,,,,,,0.9504,5.3654,2.2894
72,,,,,,0.9646,5.3578,4.6295
73,,,,,,0.981,5.3641,6.7459
74,,,,,,1.0441,5.3852,8.9203
75,,,,,,1.4522,5.3936,8.9093
76,,,,,,1.4069,5.3703,6.7783
77,,,,,,1.4922,5.3678,4.4952
78,,,,,,1.495,5.3776,1.7512
79,,,,,,1.4971,5.3847,0.1657
80,,,,,,2.94,5.4041,0.1769
81,,,,,,2.935,5.3957,2.7732
82,,,,,,2.9297,5.3861,5.3059
83,,,,,,2.9323,5.3907,7.227
84,,,,,,2.9389,5.403,8.7443
85,,,,,,3.304,5.4107,8.8939
86,,,,,,3.291,5.3898,6.5412
87,,,,,,3.3358,5.463,4.4502
88,,,,,,3.2957,5.397,2.826
89,,,,,,3.3008,5.4051,0.1149
90,,,,,,3.365,5.268,0.1395
91,,,,,,3.371,5.2775,2.7649
92,,,,,,3.3838,5.2977,4.9024
93,,,,,,3.389,5.3059,6.7829
94,,,,,,3.3962,5.3174,8.864
95,,,,,,3.3959,4.8249,8.8963
96,,,,,,3.3728,4.7922,6.1883
97,,,,,,3.3658,4.782,4.2931
98,,,,,,3.3601,4.7738,2.414
99,,,,,,3.3528,4.763,0.1497
100,,,,,,3.7187,4.5583,0.1691
101,,,,,,3.7243,4.5654,2.2751
102,,,,,,3.7309,4.5607,4.981
103,,,,,,3.7408,4.5464,7.1974
104,,,,,,3.757,4.5414,8.955
105,,,,,,3.7691,2.6386,8.9357
106,,,,,,3.7901,2.653,6.4641
107,,,,,,3.7706,2.6391,4.3044
108,,,,,,3.7615,2.6327,2.205
109,,,,,,3.7518,2.6258,0.0985
110,,,,,,3.755,2.2311,0.1449
111,,,,,,3.7643,2.2367,2.3916
112,,,,,,3.7714,2.2408,4.7944
113,,,,,,3.7725,2.2416,6.7811
114,,,,,,3.7713,2.241,8.7834
115,,,,,,3.7776,0.7082,0.1824
116,,,,,,3.7809,0.7089,2.6242
117,,,,,,3.785,0.7097,4.6657
118,,,,,,3.7845,0.7097,6.7828
119,,,,,,3.7907,0.7108,8.85
120,,,,,,3.793,0.2356,8.739
121,,,,,,3.7952,0.2357,6.3631
122,,,,,,3.7928,0.2355,4.0545
123,,,,,,3.7888,0.2353,2.1663
124,,,,,,3.7833,0.2348,0.1225
125,,,,,,3.7942,-1.2047,0.1534
126,,,,,,3.8101,-1.2098,2.4963
127,,,,,,3.8147,-1.2111,4.8101
128,,,,,,3.8165,-1.2117,6.5764
129,,,,,,3.8179,-1.212,8.7039
130,,,,,,3.8309,-1.7082,8.8886
131,,,,,,3.8352,-1.7101,6.5235
132,,,,,,3.8155,-1.7016,4.3309
133,,,,,,3.8112,-1.6997,2.2821
134,,,,,,3.8012,-1.6953,0.1329
135,,,,,,3.8264,-3.4203,2.1573
136,,,,,,3.834,-3.4271,3.4776
137,,,,,,3.8353,-3.4286,5.5561
138,,,,,,3.843,-3.4353,7.1073
139,,,,,,3.8443,-3.4362,8.8915
140,,,,,,3.8489,-3.6054,8.7063
141,,,,,,3.8476,-3.6041,6.9798
142,,,,,,3.8453,-3.6022,5.1277
143,,,,,,3.8391,-3.5965,3.3824
144,,,,,,3.8328,-3.5907,2.193
145,,,,,,3.0266,3.5962,0.2096
146,,,,,,3.0358,3.6074,2.1332
147,,,,,,3.0454,3.619,4.4846
148,,,,,,3.0474,3.6013,6.4696
149,,,,,,3.0475,3.581,8.7833
150,,,,,,3.049,3.0557,8.7352
151,,,,,,3.0957,3.1024,6.2812
152,,,,,,3.0527,3.059,4.0993
153,,,,,,3.0468,3.0532,2.1958
154,,,,,,3.0373,3.0435,0.2732
155,,,,,,3.0476,1.7067,0.263
156,,,,,,3.0533,1.71,2.1683
157,,,,,,3.0611,1.7144,4.2473
158,,,,,,3.0667,1.7177,6.3026
159,,,,,,3.0631,1.7157,8.9344
160,,,,,,3.0681,1.1383,8.9039
161,,,,,,3.0677,1.1381,6.3015
162,,,,,,3.0686,1.1382,4.2728
163,,,,,,3.0646,1.1368,2.6617
164,,,,,,3.059,1.1346,0.2894
165,,,,,,3.0738,-0.1944,0.3524
166,,,,,,3.0812,-0.1948,2.1916
167,,,,,,3.0861,-0.1951,4.3447
168,,,,,,3.0934,-0.2009,6.5031
169,,,,,,3.0904,-0.2008,8.8695
170,,,,,,3.1028,-0.7994,8.9224
171,,,,,,3.1032,-0.7996,6.2664
172,,,,,,3.0952,-0.7976,4.1931
173,,,,,,3.0906,-0.7964,2.4256
174,,,,,,3.0793,-0.7937,0.2637
175,,,,,,3.0894,-2.089,0.2577
176,,,,,,3.0979,-2.0947,2.1003
177,,,,,,3.1037,-2.0986,4.0712
178,,,,,,3.1069,-2.1006,6.1625
179,,,,,,3.1172,-2.1075,8.7802
180,,,,,,3.1214,-2.7025,8.7076
181,,,,,,3.1229,-2.7038,6.2553
182,,,,,,3.1147,-2.6969,4.3682
183,,,,,,3.1077,-2.6908,2.0574
184,,,,,,3.0991,-2.6794,0.2808
185,,,,,,3.1295,-4.0343,2.0683
186,,,,,,3.1373,-4.0443,3.7749
187,,,,,,3.1389,-4.0463,5.4085
