Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.35720,	   5.75600,	  -0.00277
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70523,	   5.67038,	   0.00347
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.54855,	  -8.28914,	  -0.00143
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.52676,	  -8.21816,	  -0.00769
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.35720,	   5.75600,	  -0.00277
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.61263,	   5.68898,	   7.67385
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.69273,	   5.66381,	   7.62359
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55448,	  -8.28920,	   7.58492
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.46568,	  -8.26825,	   7.63538
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.61263,	   5.68898,	   7.67385
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.35730,	   5.74799,	   9.08479
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60688,	   5.68780,	   9.09426
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.45993,	  -8.26819,	   9.05630
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.52676,	  -8.21816,	   9.04677
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.35730,	   5.74799,	   9.08479
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.35720,	   5.75600,	  -0.00277
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70523,	   5.67038,	   0.00347
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.90203,	   5.66729,	   0.79422
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.89990,	   5.66205,	   6.76997
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.69273,	   5.66381,	   7.62359
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.61263,	   5.68898,	   7.67385
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60688,	   5.68780,	   9.09426
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.35730,	   5.74799,	   9.08479
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.35720,	   5.75600,	  -0.00277
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.52676,	  -8.21816,	  -0.00769
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.54855,	  -8.28914,	  -0.00143
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76056,	  -8.29127,	   0.85036
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.75851,	  -8.29125,	   6.74422
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55448,	  -8.28920,	   7.58492
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.46568,	  -8.26825,	   7.63538
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.45993,	  -8.26819,	   9.05630
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.52676,	  -8.21816,	   9.04677
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.52676,	  -8.21816,	  -0.00769
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.35720,	   5.75600,	  -0.00277
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.52676,	  -8.21816,	  -0.00769
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.52676,	  -8.21816,	   9.04677
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.35730,	   5.74799,	   9.08479
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.35720,	   5.75600,	  -0.00277
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70523,	   5.67038,	   0.00347
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.54855,	  -8.28914,	  -0.00143
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76056,	  -8.29127,	   0.85036
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.90203,	   5.66729,	   0.79422
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.70523,	   5.67038,	   0.00347
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.90203,	   5.66729,	   0.79422
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.76056,	  -8.29127,	   0.85036
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.75851,	  -8.29125,	   6.74422
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.89990,	   5.66205,	   6.76997
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.90203,	   5.66729,	   0.79422
50   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.89990,	   5.66205,	   6.76997
51   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.75851,	  -8.29125,	   6.74422
52   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55448,	  -8.28920,	   7.58492
53   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.69273,	   5.66381,	   7.62359
54   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.89990,	   5.66205,	   6.76997
55   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.61263,	   5.68898,	   7.67385
56   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.46568,	  -8.26825,	   7.63538
57   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.45993,	  -8.26819,	   9.05630
58   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.60688,	   5.68780,	   9.09426
59   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.61263,	   5.68898,	   7.67385
