      3357.1979,	       5755.9953,	         -2.7721 ; 		 //plane 0 point @1 
     -3705.2267,	       5670.3762,	          3.4698 ; 		 //plane 0 point @2 
     -3548.5522,	      -8289.1436,	         -1.4292 ; 		 //plane 0 point @3 
      3526.7569,	      -8218.1553,	         -7.6876 ; 		 //plane 0 point @4 
      3357.1979,	       5755.9953,	         -2.7721 ; 		 //plane 0 point @5 
     -1612.6343,	       5688.9818,	       7673.8503 ; 		 //plane 1 point @6 
     -3692.7318,	       5663.8103,	       7623.5876 ; 		 //plane 1 point @7 
     -3554.4831,	      -8289.2031,	       7584.9174 ; 		 //plane 1 point @8 
     -1465.6762,	      -8268.2456,	       7635.3775 ; 		 //plane 1 point @9 
     -1612.6343,	       5688.9818,	       7673.8503 ; 		 //plane 1 point @10 
      3357.2950,	       5747.9856,	       9084.7909 ; 		 //plane 2 point @11 
     -1606.8797,	       5687.7994,	       9094.2584 ; 		 //plane 2 point @12 
     -1459.9326,	      -8268.1880,	       9056.3050 ; 		 //plane 2 point @13 
      3526.7569,	      -8218.1553,	       9046.7664 ; 		 //plane 2 point @14 
      3357.2950,	       5747.9856,	       9084.7909 ; 		 //plane 2 point @15 
      3357.1979,	       5755.9953,	         -2.7721 ; 		 //plane 3 point @16 
     -3705.2267,	       5670.3762,	          3.4698 ; 		 //plane 3 point @17 
     -3902.0320,	       5667.2934,	        794.2235 ; 		 //plane 3 point @18 
     -3899.9005,	       5662.0514,	       6769.9658 ; 		 //plane 3 point @19 
     -3692.7318,	       5663.8103,	       7623.5876 ; 		 //plane 3 point @20 
     -1612.6343,	       5688.9818,	       7673.8503 ; 		 //plane 3 point @21 
     -1606.8797,	       5687.7994,	       9094.2584 ; 		 //plane 3 point @22 
      3357.2950,	       5747.9856,	       9084.7909 ; 		 //plane 3 point @23 
      3357.1979,	       5755.9953,	         -2.7721 ; 		 //plane 3 point @24 
      3526.7569,	      -8218.1553,	         -7.6876 ; 		 //plane 4 point @25 
     -3548.5522,	      -8289.1436,	         -1.4292 ; 		 //plane 4 point @26 
     -3760.5604,	      -8291.2707,	        850.3561 ; 		 //plane 4 point @27 
     -3758.5108,	      -8291.2501,	       6744.2244 ; 		 //plane 4 point @28 
     -3554.4831,	      -8289.2031,	       7584.9174 ; 		 //plane 4 point @29 
     -1465.6762,	      -8268.2456,	       7635.3775 ; 		 //plane 4 point @30 
     -1459.9326,	      -8268.1880,	       9056.3050 ; 		 //plane 4 point @31 
      3526.7569,	      -8218.1553,	       9046.7664 ; 		 //plane 4 point @32 
      3526.7569,	      -8218.1553,	         -7.6876 ; 		 //plane 4 point @33 
      3357.1979,	       5755.9953,	         -2.7721 ; 		 //plane 5 point @34 
      3526.7569,	      -8218.1553,	         -7.6876 ; 		 //plane 5 point @35 
      3526.7569,	      -8218.1553,	       9046.7664 ; 		 //plane 5 point @36 
      3357.2950,	       5747.9856,	       9084.7909 ; 		 //plane 5 point @37 
      3357.1979,	       5755.9953,	         -2.7721 ; 		 //plane 5 point @38 
     -3705.2267,	       5670.3762,	          3.4698 ; 		 //plane 6 point @39 
     -3548.5522,	      -8289.1436,	         -1.4292 ; 		 //plane 6 point @40 
     -3760.5604,	      -8291.2707,	        850.3561 ; 		 //plane 6 point @41 
     -3902.0320,	       5667.2934,	        794.2235 ; 		 //plane 6 point @42 
     -3705.2267,	       5670.3762,	          3.4698 ; 		 //plane 6 point @43 
     -3902.0320,	       5667.2934,	        794.2235 ; 		 //plane 7 point @44 
     -3760.5604,	      -8291.2707,	        850.3561 ; 		 //plane 7 point @45 
     -3758.5108,	      -8291.2501,	       6744.2244 ; 		 //plane 7 point @46 
     -3899.9005,	       5662.0514,	       6769.9658 ; 		 //plane 7 point @47 
     -3902.0320,	       5667.2934,	        794.2235 ; 		 //plane 7 point @48 
     -3899.9005,	       5662.0514,	       6769.9658 ; 		 //plane 8 point @49 
     -3758.5108,	      -8291.2501,	       6744.2244 ; 		 //plane 8 point @50 
     -3554.4831,	      -8289.2031,	       7584.9174 ; 		 //plane 8 point @51 
     -3692.7318,	       5663.8103,	       7623.5876 ; 		 //plane 8 point @52 
     -3899.9005,	       5662.0514,	       6769.9658 ; 		 //plane 8 point @53 
     -1612.6343,	       5688.9818,	       7673.8503 ; 		 //plane 9 point @54 
     -1465.6762,	      -8268.2456,	       7635.3775 ; 		 //plane 9 point @55 
     -1459.9326,	      -8268.1880,	       9056.3050 ; 		 //plane 9 point @56 
     -1606.8797,	       5687.7994,	       9094.2584 ; 		 //plane 9 point @57 
     -1612.6343,	       5688.9818,	       7673.8503 ; 		 //plane 9 point @58 
