      3350.2696,	       5755.9098,	          0.4704 ; 		 //plane 0 point @1 
     -3705.2094,	       5670.3781,	         -0.2885 ; 		 //plane 0 point @2 
     -3548.5362,	      -8289.1417,	         -5.1711 ; 		 //plane 0 point @3 
      3524.3755,	      -8218.1807,	         -4.4154 ; 		 //plane 0 point @4 
      3350.2696,	       5755.9098,	          0.4704 ; 		 //plane 0 point @5 
     -1620.2213,	       5688.9065,	       7672.1627 ; 		 //plane 1 point @6 
     -3700.2680,	       5663.7364,	       7619.8379 ; 		 //plane 1 point @7 
     -3561.9873,	      -8289.2767,	       7581.1659 ; 		 //plane 1 point @8 
     -1473.2314,	      -8268.3206,	       7633.6968 ; 		 //plane 1 point @9 
     -1620.2213,	       5688.9065,	       7672.1627 ; 		 //plane 1 point @10 
      3350.3691,	       5747.9189,	       9088.0278 ; 		 //plane 2 point @11 
     -1615.8748,	       5687.7100,	       9092.5758 ; 		 //plane 2 point @12 
     -1468.8963,	      -8268.2771,	       9054.6293 ; 		 //plane 2 point @13 
      3524.3755,	      -8218.1807,	       9050.0283 ; 		 //plane 2 point @14 
      3350.3691,	       5747.9189,	       9088.0278 ; 		 //plane 2 point @15 
      3350.2696,	       5755.9098,	          0.4704 ; 		 //plane 3 point @16 
     -3705.2094,	       5670.3781,	         -0.2885 ; 		 //plane 3 point @17 
     -3902.7984,	       5667.2875,	        790.2697 ; 		 //plane 3 point @18 
     -3906.5905,	       5661.9861,	       6766.0111 ; 		 //plane 3 point @19 
     -3700.2680,	       5663.7364,	       7619.8379 ; 		 //plane 3 point @20 
     -1620.2213,	       5688.9065,	       7672.1627 ; 		 //plane 3 point @21 
     -1615.8748,	       5687.7100,	       9092.5758 ; 		 //plane 3 point @22 
      3350.3691,	       5747.9189,	       9088.0278 ; 		 //plane 3 point @23 
      3350.2696,	       5755.9098,	          0.4704 ; 		 //plane 3 point @24 
      3524.3755,	      -8218.1807,	         -4.4154 ; 		 //plane 4 point @25 
     -3548.5362,	      -8289.1417,	         -5.1711 ; 		 //plane 4 point @26 
     -3761.3888,	      -8291.2772,	        846.4037 ; 		 //plane 4 point @27 
     -3765.1815,	      -8291.3153,	       6740.2711 ; 		 //plane 4 point @28 
     -3561.9873,	      -8289.2767,	       7581.1659 ; 		 //plane 4 point @29 
     -1473.2314,	      -8268.3206,	       7633.6968 ; 		 //plane 4 point @30 
     -1468.8963,	      -8268.2771,	       9054.6293 ; 		 //plane 4 point @31 
      3524.3755,	      -8218.1807,	       9050.0283 ; 		 //plane 4 point @32 
      3524.3755,	      -8218.1807,	         -4.4154 ; 		 //plane 4 point @33 
      3350.2696,	       5755.9098,	          0.4704 ; 		 //plane 5 point @34 
      3524.3755,	      -8218.1807,	         -4.4154 ; 		 //plane 5 point @35 
      3524.3755,	      -8218.1807,	       9050.0283 ; 		 //plane 5 point @36 
      3350.3691,	       5747.9189,	       9088.0278 ; 		 //plane 5 point @37 
      3350.2696,	       5755.9098,	          0.4704 ; 		 //plane 5 point @38 
     -3705.2094,	       5670.3781,	         -0.2885 ; 		 //plane 6 point @39 
     -3548.5362,	      -8289.1417,	         -5.1711 ; 		 //plane 6 point @40 
     -3761.3888,	      -8291.2772,	        846.4037 ; 		 //plane 6 point @41 
     -3902.7984,	       5667.2875,	        790.2697 ; 		 //plane 6 point @42 
     -3705.2094,	       5670.3781,	         -0.2885 ; 		 //plane 6 point @43 
     -3902.7984,	       5667.2875,	        790.2697 ; 		 //plane 7 point @44 
     -3761.3888,	      -8291.2772,	        846.4037 ; 		 //plane 7 point @45 
     -3765.1815,	      -8291.3153,	       6740.2711 ; 		 //plane 7 point @46 
     -3906.5905,	       5661.9861,	       6766.0111 ; 		 //plane 7 point @47 
     -3902.7984,	       5667.2875,	        790.2697 ; 		 //plane 7 point @48 
     -3906.5905,	       5661.9861,	       6766.0111 ; 		 //plane 8 point @49 
     -3765.1815,	      -8291.3153,	       6740.2711 ; 		 //plane 8 point @50 
     -3561.9873,	      -8289.2767,	       7581.1659 ; 		 //plane 8 point @51 
     -3700.2680,	       5663.7364,	       7619.8379 ; 		 //plane 8 point @52 
     -3906.5905,	       5661.9861,	       6766.0111 ; 		 //plane 8 point @53 
     -1620.2213,	       5688.9065,	       7672.1627 ; 		 //plane 9 point @54 
     -1473.2314,	      -8268.3206,	       7633.6968 ; 		 //plane 9 point @55 
     -1468.8963,	      -8268.2771,	       9054.6293 ; 		 //plane 9 point @56 
     -1615.8748,	       5687.7100,	       9092.5758 ; 		 //plane 9 point @57 
     -1620.2213,	       5688.9065,	       7672.1627 ; 		 //plane 9 point @58 
