Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68815,	   5.96233,	  -0.02319
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.36036,	   5.97666,	  -0.03266
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.39383,	  -7.98994,	  -0.01392
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.66773,	  -7.99680,	  -0.00445
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68815,	   5.96233,	  -0.02319
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.28389,	   5.97264,	   7.62412
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.34884,	   5.97684,	   7.57548
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.40352,	  -7.98993,	   7.57786
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.31464,	  -7.99196,	   7.62706
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.28389,	   5.97264,	   7.62412
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68815,	   5.96257,	   9.04986
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.28540,	   5.97268,	   9.05427
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.31615,	  -7.99196,	   9.05942
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.66773,	  -7.99680,	   9.05500
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68815,	   5.96257,	   9.04986
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68815,	   5.96233,	  -0.02319
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.36036,	   5.97666,	  -0.03266
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.56739,	   5.97711,	   0.77739
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.55363,	   5.97723,	   6.70633
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.34884,	   5.97684,	   7.57548
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.28389,	   5.97264,	   7.62412
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.28540,	   5.97268,	   9.05427
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68815,	   5.96257,	   9.04986
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68815,	   5.96233,	  -0.02319
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.66773,	  -7.99680,	  -0.00445
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.39383,	  -7.98994,	  -0.01392
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.60646,	  -7.98974,	   0.81802
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.59263,	  -7.98975,	   6.77528
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.40352,	  -7.98993,	   7.57786
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.31464,	  -7.99196,	   7.62706
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.31615,	  -7.99196,	   9.05942
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.66773,	  -7.99680,	   9.05500
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.66773,	  -7.99680,	  -0.00445
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68815,	   5.96233,	  -0.02319
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.66773,	  -7.99680,	  -0.00445
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.66773,	  -7.99680,	   9.05500
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68815,	   5.96257,	   9.04986
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.68815,	   5.96233,	  -0.02319
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.36036,	   5.97666,	  -0.03266
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.39383,	  -7.98994,	  -0.01392
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.60646,	  -7.98974,	   0.81802
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.56739,	   5.97711,	   0.77739
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.36036,	   5.97666,	  -0.03266
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.56739,	   5.97711,	   0.77739
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.60646,	  -7.98974,	   0.81802
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.59263,	  -7.98975,	   6.77528
