     -3688.1545,	       5962.3270,	        -23.1866 ; 		 //plane 0 point @1 
      3360.3628,	       5976.6633,	        -32.6577 ; 		 //plane 0 point @2 
      3393.8307,	      -7989.9416,	        -13.9241 ; 		 //plane 0 point @3 
     -3667.7287,	      -7996.7957,	         -4.4455 ; 		 //plane 0 point @4 
     -3688.1545,	       5962.3270,	        -23.1866 ; 		 //plane 0 point @5 
      1283.8897,	       5972.6416,	       7624.1165 ; 		 //plane 1 point @6 
      3348.8380,	       5976.8404,	       7575.4773 ; 		 //plane 1 point @7 
      3403.5205,	      -7989.9322,	       7577.8559 ; 		 //plane 1 point @8 
      1314.6387,	      -7991.9597,	       7627.0582 ; 		 //plane 1 point @9 
      1283.8897,	       5972.6416,	       7624.1165 ; 		 //plane 1 point @10 
     -3688.1549,	       5962.5661,	       9049.8572 ; 		 //plane 2 point @11 
      1285.3965,	       5972.6824,	       9054.2740 ; 		 //plane 2 point @12 
      1316.1480,	      -7991.9582,	       9059.4248 ; 		 //plane 2 point @13 
     -3667.7287,	      -7996.7957,	       9054.9968 ; 		 //plane 2 point @14 
     -3688.1549,	       5962.5661,	       9049.8572 ; 		 //plane 2 point @15 
     -3688.1545,	       5962.3270,	        -23.1866 ; 		 //plane 3 point @16 
      3360.3628,	       5976.6633,	        -32.6577 ; 		 //plane 3 point @17 
      3567.3934,	       5977.1058,	        777.3936 ; 		 //plane 3 point @18 
      3553.6316,	       5977.2341,	       6706.3349 ; 		 //plane 3 point @19 
      3348.8380,	       5976.8404,	       7575.4773 ; 		 //plane 3 point @20 
      1283.8897,	       5972.6416,	       7624.1165 ; 		 //plane 3 point @21 
      1285.3965,	       5972.6824,	       9054.2740 ; 		 //plane 3 point @22 
     -3688.1549,	       5962.5661,	       9049.8572 ; 		 //plane 3 point @23 
     -3688.1545,	       5962.3270,	        -23.1866 ; 		 //plane 3 point @24 
     -3667.7287,	      -7996.7957,	         -4.4455 ; 		 //plane 4 point @25 
      3393.8307,	      -7989.9416,	        -13.9241 ; 		 //plane 4 point @26 
      3606.4564,	      -7989.7352,	        818.0176 ; 		 //plane 4 point @27 
      3592.6294,	      -7989.7486,	       6775.2825 ; 		 //plane 4 point @28 
      3403.5205,	      -7989.9322,	       7577.8559 ; 		 //plane 4 point @29 
      1314.6387,	      -7991.9597,	       7627.0582 ; 		 //plane 4 point @30 
      1316.1480,	      -7991.9582,	       9059.4248 ; 		 //plane 4 point @31 
     -3667.7287,	      -7996.7957,	       9054.9968 ; 		 //plane 4 point @32 
     -3667.7287,	      -7996.7957,	         -4.4455 ; 		 //plane 4 point @33 
     -3688.1545,	       5962.3270,	        -23.1866 ; 		 //plane 5 point @34 
     -3667.7287,	      -7996.7957,	         -4.4455 ; 		 //plane 5 point @35 
     -3667.7287,	      -7996.7957,	       9054.9968 ; 		 //plane 5 point @36 
     -3688.1549,	       5962.5661,	       9049.8572 ; 		 //plane 5 point @37 
     -3688.1545,	       5962.3270,	        -23.1866 ; 		 //plane 5 point @38 
      3360.3628,	       5976.6633,	        -32.6577 ; 		 //plane 6 point @39 
      3393.8307,	      -7989.9416,	        -13.9241 ; 		 //plane 6 point @40 
      3606.4564,	      -7989.7352,	        818.0176 ; 		 //plane 6 point @41 
      3567.3934,	       5977.1058,	        777.3936 ; 		 //plane 6 point @42 
      3360.3628,	       5976.6633,	        -32.6577 ; 		 //plane 6 point @43 
      3567.3934,	       5977.1058,	        777.3936 ; 		 //plane 7 point @44 
      3606.4564,	      -7989.7352,	        818.0176 ; 		 //plane 7 point @45 
      3592.6294,	      -7989.7486,	       6775.2825 ; 		 //plane 7 point @46 
      3553.6316,	       5977.2341,	       6706.3349 ; 		 //plane 7 point @47 
      3567.3934,	       5977.1058,	        777.3936 ; 		 //plane 7 point @48 
      3553.6316,	       5977.2341,	       6706.3349 ; 		 //plane 8 point @49 
      3592.6294,	      -7989.7486,	       6775.2825 ; 		 //plane 8 point @50 
      3403.5205,	      -7989.9322,	       7577.8559 ; 		 //plane 8 point @51 
      3348.8380,	       5976.8404,	       7575.4773 ; 		 //plane 8 point @52 
      3553.6316,	       5977.2341,	       6706.3349 ; 		 //plane 8 point @53 
      1283.8897,	       5972.6416,	       7624.1165 ; 		 //plane 9 point @54 
      1314.6387,	      -7991.9597,	       7627.0582 ; 		 //plane 9 point @55 
      1316.1480,	      -7991.9582,	       9059.4248 ; 		 //plane 9 point @56 
      1285.3965,	       5972.6824,	       9054.2740 ; 		 //plane 9 point @57 
      1283.8897,	       5972.6416,	       7624.1165 ; 		 //plane 9 point @58 
