     -3695.3905,	       5962.3021,	        -29.0586 ; 		 //plane 0 point @1 
      3360.4095,	       5976.6760,	        -25.3255 ; 		 //plane 0 point @2 
      3393.8874,	      -7989.9288,	         -6.5546 ; 		 //plane 0 point @3 
     -3662.1554,	      -7996.8004,	        -10.2980 ; 		 //plane 0 point @4 
     -3695.3905,	       5962.3021,	        -29.0586 ; 		 //plane 0 point @5 
      1269.6005,	       5972.6337,	       7627.5465 ; 		 //plane 1 point @6 
      3334.6363,	       5976.8392,	       7582.7746 ; 		 //plane 1 point @7 
      3389.3594,	      -7989.9332,	       7585.2302 ; 		 //plane 1 point @8 
      1300.3891,	      -7991.9676,	       7630.5204 ; 		 //plane 1 point @9 
      1269.6005,	       5972.6337,	       7627.5465 ; 		 //plane 1 point @10 
     -3695.3911,	       5962.5593,	       9043.9998 ; 		 //plane 2 point @11 
      1268.4290,	       5972.6718,	       9057.7043 ; 		 //plane 2 point @12 
      1299.2159,	      -7991.9687,	       9062.8873 ; 		 //plane 2 point @13 
     -3662.1554,	      -7996.8004,	       9049.1876 ; 		 //plane 2 point @14 
     -3695.3911,	       5962.5593,	       9043.9998 ; 		 //plane 2 point @15 
     -3695.3905,	       5962.3021,	        -29.0586 ; 		 //plane 3 point @16 
      3360.4095,	       5976.6760,	        -25.3255 ; 		 //plane 3 point @17 
      3565.9227,	       5977.1177,	        785.1121 ; 		 //plane 3 point @18 
      3541.0573,	       5977.2351,	       6714.0172 ; 		 //plane 3 point @19 
      3334.6363,	       5976.8392,	       7582.7746 ; 		 //plane 3 point @20 
      1269.6005,	       5972.6337,	       7627.5465 ; 		 //plane 3 point @21 
      1268.4290,	       5972.6718,	       9057.7043 ; 		 //plane 3 point @22 
     -3695.3911,	       5962.5593,	       9043.9998 ; 		 //plane 3 point @23 
     -3695.3905,	       5962.3021,	        -29.0586 ; 		 //plane 3 point @24 
     -3662.1554,	      -7996.8004,	        -10.2980 ; 		 //plane 4 point @25 
      3393.8874,	      -7989.9288,	         -6.5546 ; 		 //plane 4 point @26 
      3604.9548,	      -7989.7233,	        825.7839 ; 		 //plane 4 point @27 
      3579.9710,	      -7989.7476,	       6783.0124 ; 		 //plane 4 point @28 
      3389.3594,	      -7989.9332,	       7585.2302 ; 		 //plane 4 point @29 
      1300.3891,	      -7991.9676,	       7630.5204 ; 		 //plane 4 point @30 
      1299.2159,	      -7991.9687,	       9062.8873 ; 		 //plane 4 point @31 
     -3662.1554,	      -7996.8004,	       9049.1876 ; 		 //plane 4 point @32 
     -3662.1554,	      -7996.8004,	        -10.2980 ; 		 //plane 4 point @33 
     -3695.3905,	       5962.3021,	        -29.0586 ; 		 //plane 5 point @34 
     -3662.1554,	      -7996.8004,	        -10.2980 ; 		 //plane 5 point @35 
     -3662.1554,	      -7996.8004,	       9049.1876 ; 		 //plane 5 point @36 
     -3695.3911,	       5962.5593,	       9043.9998 ; 		 //plane 5 point @37 
     -3695.3905,	       5962.3021,	        -29.0586 ; 		 //plane 5 point @38 
      3360.4095,	       5976.6760,	        -25.3255 ; 		 //plane 6 point @39 
      3393.8874,	      -7989.9288,	         -6.5546 ; 		 //plane 6 point @40 
      3604.9548,	      -7989.7233,	        825.7839 ; 		 //plane 6 point @41 
      3565.9227,	       5977.1177,	        785.1121 ; 		 //plane 6 point @42 
      3360.4095,	       5976.6760,	        -25.3255 ; 		 //plane 6 point @43 
      3565.9227,	       5977.1177,	        785.1121 ; 		 //plane 7 point @44 
      3604.9548,	      -7989.7233,	        825.7839 ; 		 //plane 7 point @45 
      3579.9710,	      -7989.7476,	       6783.0124 ; 		 //plane 7 point @46 
      3541.0573,	       5977.2351,	       6714.0172 ; 		 //plane 7 point @47 
      3565.9227,	       5977.1177,	        785.1121 ; 		 //plane 7 point @48 
      3541.0573,	       5977.2351,	       6714.0172 ; 		 //plane 8 point @49 
      3579.9710,	      -7989.7476,	       6783.0124 ; 		 //plane 8 point @50 
      3389.3594,	      -7989.9332,	       7585.2302 ; 		 //plane 8 point @51 
      3334.6363,	       5976.8392,	       7582.7746 ; 		 //plane 8 point @52 
      3541.0573,	       5977.2351,	       6714.0172 ; 		 //plane 8 point @53 
      1269.6005,	       5972.6337,	       7627.5465 ; 		 //plane 9 point @54 
      1300.3891,	      -7991.9676,	       7630.5204 ; 		 //plane 9 point @55 
      1299.2159,	      -7991.9687,	       9062.8873 ; 		 //plane 9 point @56 
      1268.4290,	       5972.6718,	       9057.7043 ; 		 //plane 9 point @57 
      1269.6005,	       5972.6337,	       7627.5465 ; 		 //plane 9 point @58 
