      4087.9867,	       8561.2002,	         34.9101 ; 		 //plane 0 point @1 
     -3018.6174,	       8744.4768,	         44.5849 ; 		 //plane 0 point @2 
     -2323.6591,	        271.8002,	        -12.1387 ; 		 //plane 0 point @3 
     -1346.1851,	      -4556.8344,	        -45.1586 ; 		 //plane 0 point @4 
      4250.2206,	      -4684.2003,	        -52.6656 ; 		 //plane 0 point @5 
      4087.9867,	       8561.2002,	         34.9101 ; 		 //plane 0 point @6 
     -3003.1118,	       8753.0053,	       7642.7196 ; 		 //plane 1 point @7 
     -2804.9826,	      -4523.6343,	       7566.3563 ; 		 //plane 1 point @8 
      -730.8683,	      -4570.8381,	       7606.0905 ; 		 //plane 1 point @9 
      -909.2316,	       8699.0554,	       7682.7944 ; 		 //plane 1 point @10 
     -3003.1118,	       8753.0053,	       7642.7196 ; 		 //plane 1 point @11 
      -902.2840,	       8700.5487,	       9106.1243 ; 		 //plane 2 point @12 
      -723.8403,	      -4570.9980,	       9041.2817 ; 		 //plane 2 point @13 
      4250.2206,	      -4684.2003,	       9032.2217 ; 		 //plane 2 point @14 
      4087.8562,	       8571.8522,	       9096.9615 ; 		 //plane 2 point @15 
      -902.2840,	       8700.5487,	       9106.1243 ; 		 //plane 2 point @16 
      4087.9867,	       8561.2002,	         34.9101 ; 		 //plane 3 point @17 
     -3007.0106,	       8744.1774,	         44.5691 ; 		 //plane 3 point @18 
     -3203.6877,	       8750.1906,	        845.5482 ; 		 //plane 3 point @19 
     -3197.9784,	       8757.0928,	       6844.7120 ; 		 //plane 3 point @20 
     -3003.1118,	       8753.0053,	       7642.7196 ; 		 //plane 3 point @21 
      -909.2316,	       8699.0554,	       7682.7944 ; 		 //plane 3 point @22 
      -902.2840,	       8700.5487,	       9106.1243 ; 		 //plane 3 point @23 
      4087.8562,	       8571.8522,	       9096.9615 ; 		 //plane 3 point @24 
      4087.9867,	       8561.2002,	         34.9101 ; 		 //plane 3 point @25 
     -1346.1851,	      -4556.8344,	        -45.1586 ; 		 //plane 4 point @26 
      4250.2206,	      -4684.2003,	        -52.6656 ; 		 //plane 4 point @27 
      4250.2206,	      -4684.2003,	       9032.2217 ; 		 //plane 4 point @28 
      -723.8403,	      -4570.9980,	       9041.2817 ; 		 //plane 4 point @29 
      -730.8683,	      -4570.8381,	       7606.0905 ; 		 //plane 4 point @30 
     -2804.9826,	      -4523.6343,	       7566.3563 ; 		 //plane 4 point @31 
     -3015.6513,	      -4518.8398,	       6703.6618 ; 		 //plane 4 point @32 
     -3018.4721,	      -4518.7756,	       3789.0152 ; 		 //plane 4 point @33 
     -2413.1038,	      -4532.5529,	       1290.5119 ; 		 //plane 4 point @34 
     -1346.1851,	      -4556.8344,	        -45.1586 ; 		 //plane 4 point @35 
      4087.9867,	       8561.2002,	         34.9101 ; 		 //plane 5 point @36 
      4250.2206,	      -4684.2003,	        -52.6656 ; 		 //plane 5 point @37 
      4250.2206,	      -4684.2003,	       9032.2217 ; 		 //plane 5 point @38 
      4087.8562,	       8571.8522,	       9096.9615 ; 		 //plane 5 point @39 
      4087.9867,	       8561.2002,	         34.9101 ; 		 //plane 5 point @40 
     -2323.6591,	        271.8002,	        -12.1387 ; 		 //plane 6 point @41 
     -2989.7402,	       8392.4167,	         42.2279 ; 		 //plane 6 point @42 
     -2713.6134,	         89.8858,	        523.3070 ; 		 //plane 6 point @43 
     -2323.6591,	        271.8002,	        -12.1387 ; 		 //plane 6 point @44 
     -3203.6877,	       8750.1906,	        845.5482 ; 		 //plane 7 point @45 
     -3001.4334,	       8744.0069,	         21.8555 ; 		 //plane 7 point @46 
     -2716.2527,	        169.2445,	        518.7087 ; 		 //plane 7 point @47 
     -3085.8805,	        260.4794,	       2008.5655 ; 		 //plane 7 point @48 
