   4087.9867000000,	    8561.2002000000,	      34.9101000000 ; 		 //plane 0 point @1 
  -3007.0106000000,	    8744.1774000000,	      44.5691000000 ; 		 //plane 0 point @2 
  -2323.6591000000,	     271.8002000000,	     -12.1387000000 ; 		 //plane 0 point @3 
  -1346.1851000000,	   -4556.8344000000,	     -45.1586000000 ; 		 //plane 0 point @4 
   4250.2206000000,	   -4684.2003000000,	     -52.6656000000 ; 		 //plane 0 point @5 
   4087.9867000000,	    8561.2002000000,	      34.9101000000 ; 		 //plane 0 point @6 
  -3003.1118000000,	    8753.0053000000,	    7642.7196000000 ; 		 //plane 1 point @7 
  -2804.9826000000,	   -4523.6343000000,	    7566.3563000000 ; 		 //plane 1 point @8 
   -730.8683000000,	   -4570.8381000000,	    7606.0905000000 ; 		 //plane 1 point @9 
   -909.2316000000,	    8699.0554000000,	    7682.7944000000 ; 		 //plane 1 point @10 
  -3003.1118000000,	    8753.0053000000,	    7642.7196000000 ; 		 //plane 1 point @11 
   -902.2840000000,	    8700.5487000000,	    9106.1243000000 ; 		 //plane 2 point @12 
   -723.8403000000,	   -4570.9980000000,	    9041.2817000000 ; 		 //plane 2 point @13 
   4250.2206000000,	   -4684.2003000000,	    9032.2217000000 ; 		 //plane 2 point @14 
   4087.8562000000,	    8571.8522000000,	    9096.9615000000 ; 		 //plane 2 point @15 
   -902.2840000000,	    8700.5487000000,	    9106.1243000000 ; 		 //plane 2 point @16 
   4087.9867000000,	    8561.2002000000,	      34.9101000000 ; 		 //plane 3 point @17 
  -3007.0106000000,	    8744.1774000000,	      44.5691000000 ; 		 //plane 3 point @18 
  -3203.6877000000,	    8750.1906000000,	     845.5482000000 ; 		 //plane 3 point @19 
  -3197.9784000000,	    8757.0928000000,	    6844.7120000000 ; 		 //plane 3 point @20 
  -3003.1118000000,	    8753.0053000000,	    7642.7196000000 ; 		 //plane 3 point @21 
   -909.2316000000,	    8699.0554000000,	    7682.7944000000 ; 		 //plane 3 point @22 
   -902.2840000000,	    8700.5487000000,	    9106.1243000000 ; 		 //plane 3 point @23 
   4087.8562000000,	    8571.8522000000,	    9096.9615000000 ; 		 //plane 3 point @24 
   4087.9867000000,	    8561.2002000000,	      34.9101000000 ; 		 //plane 3 point @25 
  -1346.1851000000,	   -4556.8344000000,	     -45.1586000000 ; 		 //plane 4 point @26 
   4250.2206000000,	   -4684.2003000000,	     -52.6656000000 ; 		 //plane 4 point @27 
   4250.2206000000,	   -4684.2003000000,	    9032.2217000000 ; 		 //plane 4 point @28 
   -723.8403000000,	   -4570.9980000000,	    9041.2817000000 ; 		 //plane 4 point @29 
   -730.8683000000,	   -4570.8381000000,	    7606.0905000000 ; 		 //plane 4 point @30 
  -2804.9826000000,	   -4523.6343000000,	    7566.3563000000 ; 		 //plane 4 point @31 
  -3015.6513000000,	   -4518.8398000000,	    6703.6618000000 ; 		 //plane 4 point @32 
  -3018.4721000000,	   -4518.7756000000,	    3789.0152000000 ; 		 //plane 4 point @33 
  -2413.1038000000,	   -4532.5529000000,	    1290.5119000000 ; 		 //plane 4 point @34 
  -1346.1851000000,	   -4556.8344000000,	     -45.1586000000 ; 		 //plane 4 point @35 
   4087.9867000000,	    8561.2002000000,	      34.9101000000 ; 		 //plane 5 point @36 
   4250.2206000000,	   -4684.2003000000,	     -52.6656000000 ; 		 //plane 5 point @37 
   4250.2206000000,	   -4684.2003000000,	    9032.2217000000 ; 		 //plane 5 point @38 
   4087.8562000000,	    8571.8522000000,	    9096.9615000000 ; 		 //plane 5 point @39 
   4087.9867000000,	    8561.2002000000,	      34.9101000000 ; 		 //plane 5 point @40 
  -2323.6591000000,	     271.8002000000,	     -12.1387000000 ; 		 //plane 6 point @41 
  -3007.0106000000,	    8744.1774000000,	      44.5691000000 ; 		 //plane 6 point @42 
  -2716.2527000000,	     169.2445000000,	     518.7087000000 ; 		 //plane 6 point @43 
  -2323.6591000000,	     271.8002000000,	     -12.1387000000 ; 		 //plane 6 point @44 
  -3203.6877000000,	    8750.1906000000,	     845.5482000000 ; 		 //plane 7 point @45 
  -3007.0106000000,	    8744.1774000000,	      44.5691000000 ; 		 //plane 7 point @46 
  -2716.2527000000,	     169.2445000000,	     518.7087000000 ; 		 //plane 7 point @47 
  -3085.8805000000,	     260.4794000000,	    2008.5655000000 ; 		 //plane 7 point @48 
  -3203.6877000000,	    8750.1906000000,	     845.5482000000 ; 		 //plane 7 point @49 
  -2413.1038000000,	   -4532.5529000000,	    1290.5119000000 ; 		 //plane 8 point @50 
  -2716.2527000000,	     169.2445000000,	     518.7087000000 ; 		 //plane 8 point @51 
  -3085.8805000000,	     260.4794000000,	    2008.5655000000 ; 		 //plane 8 point @52 
  -3018.4721000000,	   -4518.7756000000,	    3789.0152000000 ; 		 //plane 8 point @53 
  -2413.1038000000,	   -4532.5529000000,	    1290.5119000000 ; 		 //plane 8 point @54 
  -2323.6591000000,	     271.8002000000,	     -12.1387000000 ; 		 //plane 9 point @55 
  -1346.1851000000,	   -4556.8344000000,	     -45.1586000000 ; 		 //plane 9 point @56 
  -2413.1038000000,	   -4532.5529000000,	    1290.5119000000 ; 		 //plane 9 point @57 
  -2716.2527000000,	     169.2445000000,	     518.7087000000 ; 		 //plane 9 point @58 
  -2323.6591000000,	     271.8002000000,	     -12.1387000000 ; 		 //plane 9 point @59 
  -3203.6877000000,	    8750.1906000000,	     845.5482000000 ; 		 //plane 10 point @60 
  -3085.8805000000,	     260.4794000000,	    2008.5655000000 ; 		 //plane 10 point @61 
  -3018.4721000000,	   -4518.7756000000,	    3789.0152000000 ; 		 //plane 10 point @62 
  -3015.6513000000,	   -4518.8398000000,	    6703.6618000000 ; 		 //plane 10 point @63 
  -3197.9784000000,	    8757.0928000000,	    6844.7120000000 ; 		 //plane 10 point @64 
  -3203.6877000000,	    8750.1906000000,	     845.5482000000 ; 		 //plane 10 point @65 
  -3197.9784000000,	    8757.0928000000,	    6844.7120000000 ; 		 //plane 11 point @66 
  -3015.6513000000,	   -4518.8398000000,	    6703.6618000000 ; 		 //plane 11 point @67 
  -2804.9826000000,	   -4523.6343000000,	    7566.3563000000 ; 		 //plane 11 point @68 
  -3003.1118000000,	    8753.0053000000,	    7642.7196000000 ; 		 //plane 11 point @69 
  -3197.9784000000,	    8757.0928000000,	    6844.7120000000 ; 		 //plane 11 point @70 
   -909.2316000000,	    8699.0554000000,	    7682.7944000000 ; 		 //plane 12 point @71 
   -730.8683000000,	   -4570.8381000000,	    7606.0905000000 ; 		 //plane 12 point @72 
   -723.8403000000,	   -4570.9980000000,	    9041.2817000000 ; 		 //plane 12 point @73 
   -902.2840000000,	    8700.5487000000,	    9106.1243000000 ; 		 //plane 12 point @74 
   -909.2316000000,	    8699.0554000000,	    7682.7944000000 ; 		 //plane 12 point @75 
