     -3934.4991,	       5318.9139,	         -2.0644 ; 		 //plane 0 point @1 
      3154.8819,	       5416.6954,	         -6.5209 ; 		 //plane 0 point @2 
      2623.6850,	      -3145.7704,	         -7.5376 ; 		 //plane 0 point @3 
      1816.7015,	      -7881.4441,	         -7.7762 ; 		 //plane 0 point @4 
     -3774.3944,	      -7964.8418,	         -4.2626 ; 		 //plane 0 point @5 
     -3934.4991,	       5318.9139,	         -2.0644 ; 		 //plane 0 point @6 
      3116.4340,	       5409.6115,	       7590.8765 ; 		 //plane 1 point @7 
      3279.8646,	      -7859.6194,	       7575.2283 ; 		 //plane 1 point @8 
      1204.6361,	      -7890.5738,	       7611.1602 ; 		 //plane 1 point @9 
      1033.4395,	       5380.8515,	       7626.9451 ; 		 //plane 1 point @10 
      3116.4340,	       5409.6115,	       7590.8765 ; 		 //plane 1 point @11 
      1017.7156,	       5379.3980,	       9060.5893 ; 		 //plane 2 point @12 
      1188.7559,	      -7890.8107,	       9057.6068 ; 		 //plane 2 point @13 
     -3774.3944,	      -7964.8418,	       9063.8335 ; 		 //plane 2 point @14 
     -3934.4049,	       5311.0924,	       9066.8033 ; 		 //plane 2 point @15 
      1017.7156,	       5379.3980,	       9060.5893 ; 		 //plane 2 point @16 
     -3934.4991,	       5318.9139,	         -2.0644 ; 		 //plane 3 point @17 
      3118.3105,	       5416.1909,	         -6.4979 ; 		 //plane 3 point @18 
      3325.3733,	       5418.3177,	        838.7255 ; 		 //plane 3 point @19 
      3316.1364,	       5413.1004,	       6739.3571 ; 		 //plane 3 point @20 
      3116.4340,	       5409.6115,	       7590.8765 ; 		 //plane 3 point @21 
      1033.4395,	       5380.8515,	       7626.9451 ; 		 //plane 3 point @22 
      1017.7156,	       5379.3980,	       9060.5893 ; 		 //plane 3 point @23 
     -3934.4049,	       5311.0924,	       9066.8033 ; 		 //plane 3 point @24 
     -3934.4991,	       5318.9139,	         -2.0644 ; 		 //plane 3 point @25 
      1816.7015,	      -7881.4441,	         -7.7762 ; 		 //plane 4 point @26 
     -3774.3944,	      -7964.8418,	         -4.2626 ; 		 //plane 4 point @27 
     -3774.3944,	      -7964.8418,	       9063.8335 ; 		 //plane 4 point @28 
      1188.7559,	      -7890.8107,	       9057.6068 ; 		 //plane 4 point @29 
      1204.6361,	      -7890.5738,	       7611.1602 ; 		 //plane 4 point @30 
      3279.8646,	      -7859.6194,	       7575.2283 ; 		 //plane 4 point @31 
      3479.6861,	      -7856.6388,	       6723.2272 ; 		 //plane 4 point @32 
      3484.0414,	      -7856.5738,	       3959.7434 ; 		 //plane 4 point @33 
      2822.4279,	      -7866.4426,	       1266.4779 ; 		 //plane 4 point @34 
      1816.7015,	      -7881.4441,	         -7.7762 ; 		 //plane 4 point @35 
     -3934.4991,	       5318.9139,	         -2.0644 ; 		 //plane 5 point @36 
     -3774.3944,	      -7964.8418,	         -4.2626 ; 		 //plane 5 point @37 
     -3774.3944,	      -7964.8418,	       9063.8335 ; 		 //plane 5 point @38 
     -3934.4049,	       5311.0924,	       9066.8033 ; 		 //plane 5 point @39 
     -3934.4991,	       5318.9139,	         -2.0644 ; 		 //plane 5 point @40 
      2623.6850,	      -3145.7704,	         -7.5376 ; 		 //plane 6 point @41 
      3097.9228,	       4498.5605,	         -6.6299 ; 		 //plane 6 point @42 
      3070.5938,	      -3256.9483,	        584.1970 ; 		 //plane 6 point @43 
      2623.6850,	      -3145.7704,	         -7.5376 ; 		 //plane 6 point @44 
      3325.3733,	       5418.3177,	        838.7255 ; 		 //plane 7 point @45 
      3101.1558,	       5416.0147,	        -76.5230 ; 		 //plane 7 point @46 
      3070.9696,	      -3150.3004,	        576.0724 ; 		 //plane 7 point @47 
      3429.1828,	      -3159.2416,	       2039.4296 ; 		 //plane 7 point @48 
      3325.3733,	       5418.3177,	        838.7255 ; 		 //plane 7 point @49 
      2822.4279,	      -7866.4426,	       1266.4779 ; 		 //plane 8 point @50 
      3065.8168,	      -3150.1718,	        555.0224 ; 		 //plane 8 point @51 
      3429.1828,	      -3159.2416,	       2039.4296 ; 		 //plane 8 point @52 
      3484.0414,	      -7856.5738,	       3959.7434 ; 		 //plane 8 point @53 
      2822.4279,	      -7866.4426,	       1266.4779 ; 		 //plane 8 point @54 
      2623.6850,	      -3145.7704,	         -7.5376 ; 		 //plane 9 point @55 
      1816.7015,	      -7881.4441,	         -7.7762 ; 		 //plane 9 point @56 
      2822.4279,	      -7866.4426,	       1266.4779 ; 		 //plane 9 point @57 
      3060.4368,	      -3254.4216,	        570.7486 ; 		 //plane 9 point @58 
      2623.6850,	      -3145.7704,	         -7.5376 ; 		 //plane 9 point @59 
      3325.3733,	       5418.3177,	        838.7255 ; 		 //plane 10 point @60 
      3429.1828,	      -3159.2416,	       2039.4296 ; 		 //plane 10 point @61 
      3484.0414,	      -7856.5738,	       3959.7434 ; 		 //plane 10 point @62 
      3479.6861,	      -7856.6388,	       6723.2272 ; 		 //plane 10 point @63 
      3316.1364,	       5413.1004,	       6739.3571 ; 		 //plane 10 point @64 
      3325.3733,	       5418.3177,	        838.7255 ; 		 //plane 10 point @65 
      3316.1364,	       5413.1004,	       6739.3571 ; 		 //plane 11 point @66 
      3479.6861,	      -7856.6388,	       6723.2272 ; 		 //plane 11 point @67 
      3279.8646,	      -7859.6194,	       7575.2283 ; 		 //plane 11 point @68 
      3116.4340,	       5409.6115,	       7590.8765 ; 		 //plane 11 point @69 
      3316.1364,	       5413.1004,	       6739.3571 ; 		 //plane 11 point @70 
      1033.4395,	       5380.8515,	       7626.9451 ; 		 //plane 12 point @71 
      1204.6361,	      -7890.5738,	       7611.1602 ; 		 //plane 12 point @72 
      1188.7559,	      -7890.8107,	       9057.6068 ; 		 //plane 12 point @73 
      1017.7156,	       5379.3980,	       9060.5893 ; 		 //plane 12 point @74 
      1033.4395,	       5380.8515,	       7626.9451 ; 		 //plane 12 point @75 
